Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194	3/15	3.409322218189512e-09	5.216262993829953e-06	0	0	800.0	15597.401862720995	FGB;FGA;FGG
Reactome_2016	p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708	3/15	3.409322218189512e-09	2.608131496914976e-06	0	0	800.0	15597.401862720995	FGB;FGA;FGG
Reactome_2016	Platelet degranulation_Homo sapiens_R-HSA-114608	4/105	3.571112054002577e-09	1.8212671475413144e-06	0	0	152.38095238095238	2963.8687679908912	FGB;FGA;FGG;ALB
Reactome_2016	Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005	4/110	4.312056379217557e-09	1.6493615650507157e-06	0	0	145.45454545454544	2801.7237714134553	FGB;FGA;FGG;ALB
Reactome_2016	Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875	3/22	1.1533436496458214e-08	3.529231567916214e-06	0	0	545.4545454545454	9969.826635715215	FGB;FGA;FGG
Reactome_2016	Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192	3/27	2.1898059384533117e-08	5.584005143055944e-06	0	0	444.44444444444434	7838.607918501634	FGB;FGA;FGG
Reactome_2016	Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009	3/37	5.81274928753407e-08	1.2705009157038752e-05	0	0	324.3243243243243	5403.4466224153475	FGB;FGA;FGG
Reactome_2016	MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135	3/38	6.310519182811031e-08	1.2068867937126098e-05	0	0	315.7894736842105	5235.304039394579	FGB;FGA;FGG
Reactome_2016	Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877	3/39	6.835890950114476e-08	1.1621014615194611e-05	0	0	307.6923076923077	5076.459671114095	FGB;FGA;FGG
Reactome_2016	Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002	4/253	1.2379823667647134e-07	1.8941130211500115e-05	0	0	63.24110671936759	1005.8253103634146	FGB;FGA;FGG;ALB
Reactome_2016	Integrin cell surface interactions_Homo sapiens_R-HSA-216083	3/67	3.5758083248480175e-07	4.9736243063795145e-05	0	0	179.1044776119403	2658.609742480765	FGB;FGA;FGG
Reactome_2016	Hemostasis_Homo sapiens_R-HSA-109582	4/552	2.807659291052216e-06	0.00035797655960915755	0	0	28.98550724637681	370.5263598335587	FGB;FGA;FGG;ALB
Reactome_2016	GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812	3/235	1.5739843949551512e-05	0.0018524585571395237	0	0	51.06382978723404	564.7309904315191	FGB;FGA;FGG
Reactome_2016	SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336	3/235	1.5739843949551512e-05	0.001720140088772415	0	0	51.06382978723404	564.7309904315191	FGB;FGA;FGG
Reactome_2016	SOS-mediated signalling_Homo sapiens_R-HSA-112412	3/235	1.5739843949551512e-05	0.0016054640828542539	0	0	51.06382978723404	564.7309904315191	FGB;FGA;FGG
Reactome_2016	SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347	3/235	1.5739843949551512e-05	0.001505122577675863	0	0	51.06382978723404	564.7309904315191	FGB;FGA;FGG
Reactome_2016	RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001	3/235	1.5739843949551512e-05	0.0014165859554596358	0	0	51.06382978723404	564.7309904315191	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700	3/236	1.5941299352535763e-05	0.0013550104449655395	0	0	50.847457627118644	561.6913918326533	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712	3/236	1.5941299352535763e-05	0.001283694105756827	0	0	50.847457627118644	561.6913918326533	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706	3/236	1.5941299352535763e-05	0.0012195094004689858	0	0	50.847457627118644	561.6913918326533	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693	3/236	1.5941299352535763e-05	0.0011614375242561769	0	0	50.847457627118644	561.6913918326533	FGB;FGA;FGG
Reactome_2016	ARMS-mediated activation_Homo sapiens_R-HSA-170984	3/239	1.6555901298941205e-05	0.0011513876812445473	0	0	50.20920502092049	552.7414868156201	FGB;FGA;FGG
Reactome_2016	Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706	3/239	1.6555901298941205e-05	0.001101327347277393	0	0	50.20920502092049	552.7414868156201	FGB;FGA;FGG
Reactome_2016	Frs2-mediated activation_Homo sapiens_R-HSA-170968	3/240	1.6764203783967925e-05	0.0010687179912279552	0	0	50.0	549.8132335964285	FGB;FGA;FGG
Reactome_2016	MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996	3/241	1.697423547252967e-05	0.0010388232109188155	0	0	49.79253112033194	546.9118966292568	FGB;FGA;FGG
