Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Striated Muscle Contraction Homo sapiens R-HSA-390522	7/34	1.0527995821207527e-15	1.6107833606447519e-12	0	0	216.71826625387	7474.032958876327	MYBPC1;MYBPC2;MYL1;TNNC1;MYL2;TNNI1;NEB
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	8/196	5.078756612303836e-12	3.885248808412435e-09	0	0	42.96455424274973	1117.334249007717	MYLPF;MYBPC1;MYBPC2;MYL1;TNNC1;MYL2;TNNI1;NEB
Reactome_2016	Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148	3/60	2.403515740586927e-05	0.012257930276993326	0	0	52.631578947368425	559.7891004006618	MYH1;MYH2;MYH7
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	3/420	0.006938350551150183	1.0	0	0	7.518796992481202	37.37361808614285	MYH1;MYH2;MYH7
Reactome_2016	Creatine metabolism Homo sapiens R-HSA-71288	1/10	0.009461510512395743	1.0	0	0	105.26315789473685	490.58139316316345	CKM
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	3/492	0.010693270508641049	1.0	0	0	6.418485237483955	29.12798883052809	MYH1;MYH2;MYH7
Reactome_2016	Smooth Muscle Contraction Homo sapiens R-HSA-445355	1/33	0.03090228961324308	1.0	0	0	31.897926634768737	110.90669857440399	MYLPF
Reactome_2016	Metabolism of polyamines Homo sapiens R-HSA-351202	1/84	0.07688718207239005	1.0	0	0	12.531328320802007	32.14807142139791	CKM
Reactome_2016	Regulation of actin dynamics for phagocytic cup formation Homo sapiens R-HSA-2029482	1/97	0.08827379654488644	1.0	0	0	10.851871947911015	26.34087867915041	MYH2
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	1/120	0.1080940988994387	1.0	0	0	8.771929824561402	19.515378465801852	MYH2
Reactome_2016	Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	1/335	0.2746424392492445	1.0	0	0	3.1421838177533385	4.060597794966334	CKM
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	1/807	0.5429234582607416	1.0	0	0	1.304376182090915	0.79669592360255	MYH2
Reactome_2016	Immune System Homo sapiens R-HSA-168256	1/1547	0.7835322073588427	1.0	0	0	0.6804341169666247	0.16598721532328328	MYH2
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	1/1908	0.8513083246166536	1.0	0	0	0.5516936996579499	0.08881215239377759	CKM
