Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Apoptotic cleavage of cell adhesion  proteins Homo sapiens R-HSA-351906	1/11	0.012036547438812549	1.0	0	0	82.64462809917354	365.27335849570125	DSG3
Reactome_2016	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex Homo sapiens R-HSA-75035	1/12	0.013123899368825872	1.0	0	0	75.75757575757575	328.28184330560316	SFN
Reactome_2016	Apoptosis Homo sapiens R-HSA-109581	2/163	0.01370292994885573	1.0	0	0	11.154489682097044	47.85438487600571	SFN;DSG3
Reactome_2016	Programmed Cell Death Homo sapiens R-HSA-5357801	2/166	0.014185370094036712	1.0	0	0	10.95290251916758	46.610559918301576	SFN;DSG3
Reactome_2016	Activation of BAD and translocation to mitochondria Homo sapiens R-HSA-111447	1/15	0.016379106794774147	1.0	0	0	60.6060606060606	249.19689286530965	SFN
Reactome_2016	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	1/18	0.019624065171284413	1.0	0	0	50.5050505050505	198.53528540567984	MUC21
Reactome_2016	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest Homo sapiens R-HSA-6804114	1/18	0.019624065171284413	1.0	0	0	50.5050505050505	198.53528540567984	SFN
Reactome_2016	Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	1/18	0.019624065171284413	1.0	0	0	50.5050505050505	198.53528540567984	MUC21
Reactome_2016	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	1/20	0.02178169181492411	1.0	0	0	45.45454545454545	173.9402494109619	MUC21
Reactome_2016	Termination of O-glycan biosynthesis Homo sapiens R-HSA-977068	1/26	0.02822741185950772	1.0	0	0	34.96503496503497	124.73642382583387	MUC21
Reactome_2016	Activation of BH3-only proteins Homo sapiens R-HSA-114452	1/29	0.031435050111481094	1.0	0	0	31.34796238244514	108.45867595668459	SFN
Reactome_2016	Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	1/37	0.03993942012916417	1.0	0	0	24.57002457002457	79.1250975343632	DSG3
Reactome_2016	Intrinsic Pathway for Apoptosis Homo sapiens R-HSA-109606	1/42	0.04521840670763814	1.0	0	0	21.645021645021643	67.01842093059949	SFN
Reactome_2016	TP53 Regulates Transcription of Cell Cycle Genes Homo sapiens R-HSA-6791312	1/48	0.05151662087178671	1.0	0	0	18.939393939393934	56.1714164395039	SFN
Reactome_2016	Apoptotic execution  phase Homo sapiens R-HSA-75153	1/51	0.054650837368504415	1.0	0	0	17.825311942959	51.814451730641224	DSG3
Reactome_2016	Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148	1/60	0.06399428148789535	1.0	0	0	15.15151515151515	41.65093259645767	SFN
Reactome_2016	RHO GTPases activate PKNs Homo sapiens R-HSA-5625740	1/60	0.06399428148789535	1.0	0	0	15.15151515151515	41.65093259645767	SFN
Reactome_2016	Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	1/62	0.06605859834459576	1.0	0	0	14.662756598240467	39.841833975933696	MUC21
Reactome_2016	O-linked glycosylation of mucins Homo sapiens R-HSA-913709	1/66	0.07017420225965537	1.0	0	0	13.77410468319559	36.594690422448565	MUC21
Reactome_2016	G2/M DNA damage checkpoint Homo sapiens R-HSA-69473	1/78	0.0824174006878716	1.0	0	0	11.655011655011654	29.09042763361508	SFN
Reactome_2016	TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897	1/84	0.08848114479384046	1.0	0	0	10.822510822510822	26.24421864550053	SFN
Reactome_2016	Diseases of glycosylation Homo sapiens R-HSA-3781865	1/88	0.09250237037972572	1.0	0	0	10.330578512396693	24.592159184559158	MUC21
Reactome_2016	O-linked glycosylation Homo sapiens R-HSA-5173105	1/110	0.11431818134243753	1.0	0	0	8.264462809917353	17.923716148497466	MUC21
Reactome_2016	G2/M Checkpoints Homo sapiens R-HSA-69481	1/150	0.1527070307118959	1.0	0	0	6.0606060606060606	11.389297122257284	SFN
Reactome_2016	Cell Cycle Checkpoints Homo sapiens R-HSA-69620	1/182	0.18226922297134585	1.0	0	0	4.995004995004996	8.50284933975158	SFN
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	1/255	0.24606731342240734	1.0	0	0	3.5650623885918	4.9987527582236115	SFN
Reactome_2016	Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	1/348	0.3204832594677855	1.0	0	0	2.6123301985370952	2.972636459078868	SFN
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	1/367	0.33479841433046936	1.0	0	0	2.4770869457517954	2.7104946161691323	SFN
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	1/420	0.3732246094476344	1.0	0	0	2.1645021645021645	2.133278940409284	SFN
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	1/492	0.4220445241196021	1.0	0	0	1.8477457501847747	1.5939476406489592	SFN
Reactome_2016	Post-translational protein modification Homo sapiens R-HSA-597592	1/521	0.4406639861243935	1.0	0	0	1.7448961786773685	1.4298946609354266	MUC21
Reactome_2016	Cell Cycle Homo sapiens R-HSA-1640170	1/566	0.4684271503226641	1.0	0	0	1.6061676839061998	1.2180769112918532	SFN
Reactome_2016	Disease Homo sapiens R-HSA-1643685	1/725	0.5563622396247444	1.0	0	0	1.2539184952978055	0.7352171620760973	MUC21
Reactome_2016	Generic Transcription Pathway Homo sapiens R-HSA-212436	1/812	0.5984107147402087	1.0	0	0	1.1195700850873265	0.5748745486267681	SFN
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.7032771858986933	1.0	0	0	0.8464533604198408	0.297955116677288	MUC21
Reactome_2016	Gene Expression Homo sapiens R-HSA-74160	1/1631	0.8462627870724349	1.0	0	0	0.5573825316314586	0.09304127116224994	SFN
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	1/2465	0.9447192852693168	1.0	0	0	0.3687995574405311	0.020972689744542243	SFN
