Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Striated Muscle Contraction Homo sapiens R-HSA-390522	6/34	8.066686228796865e-13	1.2342029930059206e-09	0	0	168.06722689075633	4679.97704863421	MYBPC1;MYBPC2;MYL1;TNNT1;TNNC2;TNNI1
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	8/196	1.3446414726652365e-11	1.0286507265889058e-08	0	0	38.87269193391642	973.0732209325216	MYLPF;MYBPC1;MYBPC2;MYL1;TNNT1;TNNC2;TNNI1;TRDN
Reactome_2016	Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148	3/60	3.284887289973361e-05	0.01675292517886414	0	0	47.619047619047635	491.59967257774605	MYH1;MYH2;MYH7
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	3/420	0.00923276375943132	1.0	0	0	6.802721088435375	31.870726823563587	MYH1;MYH2;MYH7
Reactome_2016	Creatine metabolism Homo sapiens R-HSA-71288	1/10	0.01045276151186767	1.0	0	0	95.23809523809527	434.37038818788994	CKM
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	3/492	0.01415450925704439	1.0	0	0	5.807200929152149	24.725447330137147	MYH1;MYH2;MYH7
Reactome_2016	Smooth Muscle Contraction Homo sapiens R-HSA-445355	1/33	0.034100779588340006	1.0	0	0	28.860028860028862	97.50173255774432	MYLPF
Reactome_2016	Ion homeostasis Homo sapiens R-HSA-5578775	1/51	0.0522314930213008	1.0	0	0	18.674136321195146	55.12735110047273	TRDN
Reactome_2016	Metabolism of polyamines Homo sapiens R-HSA-351202	1/84	0.0846325675053562	1.0	0	0	11.337868480725625	27.998142038043	CKM
Reactome_2016	Regulation of actin dynamics for phagocytic cup formation Homo sapiens R-HSA-2029482	1/97	0.0971046684691041	1.0	0	0	9.818360333824252	22.8960807644488	MYH2
Reactome_2016	Stimuli-sensing channels Homo sapiens R-HSA-2672351	1/100	0.0999597740324998	1.0	0	0	9.523809523809524	21.93321365330642	TRDN
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	1/120	0.11877522680649008	1.0	0	0	7.936507936507938	16.908908113996787	MYH2
Reactome_2016	Cardiac conduction Homo sapiens R-HSA-5576891	1/135	0.13264034416058992	1.0	0	0	7.0546737213403885	14.251245099835419	TRDN
Reactome_2016	Ion channel transport Homo sapiens R-HSA-983712	1/203	0.19293117952452415	1.0	0	0	4.691531785127845	7.719548376460207	TRDN
Reactome_2016	Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168	1/260	0.2403730480537835	1.0	0	0	3.6630036630036633	5.221843207059495	TRIM63
Reactome_2016	Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	1/305	0.2759385847023861	1.0	0	0	3.1225604996096803	4.0205369468237615	TRIM63
Reactome_2016	Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	1/335	0.2987616907608349	1.0	0	0	2.8429282160625444	3.434567289973625	CKM
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	1/594	0.4692530468620651	1.0	0	0	1.6033349366682699	1.2131042335900422	TRDN
Reactome_2016	Immune System Homo sapiens R-HSA-168256	2/1547	0.4910357466706808	1.0	0	0	1.2312617354634159	0.8757205651832974	MYH2;TRIM63
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	1/762	0.5578716263721027	1.0	0	0	1.249843769528809	0.7294418239392543	TRIM63
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	1/807	0.5790998089406186	1.0	0	0	1.1801498790346374	0.6446927889008391	MYH2
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	1/1908	0.8783501714000573	1.0	0	0	0.499151442547669	0.06474490185888324	CKM
