Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Histidine catabolism Homo sapiens R-HSA-70921	1/7	0.0024477534600423037	1.0	0	0	408.16326530612236	2454.116175579901	HDC
Reactome_2016	Regulation of KIT signaling Homo sapiens R-HSA-1433559	1/16	0.005587341707821481	1.0	0	0	178.5714285714286	926.2949373464503	KIT
Reactome_2016	Metabolism of Angiotensinogen to Angiotensins Homo sapiens R-HSA-2022377	1/16	0.005587341707821481	1.0	0	0	178.5714285714286	926.2949373464503	CPA3
Reactome_2016	Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	1/18	0.006283877774032595	1.0	0	0	158.7301587301587	804.7250808131479	SLC18A2
Reactome_2016	Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	1/18	0.006283877774032595	1.0	0	0	158.7301587301587	804.7250808131479	SLC18A2
Reactome_2016	Na+/Cl- dependent neurotransmitter transporters Homo sapiens R-HSA-442660	1/19	0.00663198906678106	1.0	0	0	150.37593984962402	754.2632345422302	SLC18A2
Reactome_2016	Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	2/395	0.007651131765512331	1.0	0	0	14.466546112115731	70.49405712668329	KIT;MS4A2
Reactome_2016	Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	1/23	0.008023389804178622	1.0	0	0	124.22360248447204	599.4278605655687	SLC18A2
Reactome_2016	Amine compound SLC transporters Homo sapiens R-HSA-425428	1/30	0.010454323550630109	1.0	0	0	95.23809523809523	434.35615706994537	SLC18A2
Reactome_2016	Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	1/32	0.011147937810724552	1.0	0	0	89.2857142857143	401.47328106179634	TPSAB1
Reactome_2016	Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism Homo sapiens R-HSA-6788656	1/41	0.01426404896544071	1.0	0	0	69.68641114982579	296.1681509148771	HDC
Reactome_2016	Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	1/51	0.01771652174638986	1.0	0	0	56.022408963585434	225.95280911930905	SLC18A2
Reactome_2016	Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	1/61	0.021158626475049302	1.0	0	0	46.8384074941452	180.59520306725798	KIT
Reactome_2016	Peptide hormone metabolism Homo sapiens R-HSA-2980736	1/81	0.0280118340691475	1.0	0	0	35.273368606701936	126.10681526524216	CPA3
Reactome_2016	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	1/83	0.028694887374752887	1.0	0	0	34.42340791738382	122.23877150905106	KIT
Reactome_2016	PI3K/AKT Signaling in Cancer Homo sapiens R-HSA-2219528	1/86	0.029718695945433443	1.0	0	0	33.222591362126245	116.80993149863545	KIT
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	2/807	0.02983508404350042	1.0	0	0	7.080899274207826	24.868615762569362	KIT;MS4A2
Reactome_2016	Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	1/90	0.031082335183760745	1.0	0	0	31.74603174603175	110.19414672039736	KIT
