Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	8/301	1.121224361923584e-05	0.017154732737430834	0	0	7.48678115202845	85.3381063793797	KCNH3;DLG4;EPB41L1;CAMK2A;KCNN1;APBA1;KCNAB2;CALM1
Reactome_2016	CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729	3/15	1.8917705058591045e-05	0.014472044369822154	0	0	56.338028169014095	612.6992844401278	DLG4;CAMK2A;CALM1
Reactome_2016	Ras activation uopn Ca2+ infux through NMDA receptor Homo sapiens R-HSA-442982	3/17	2.8128933793167077e-05	0.014345756234515212	0	0	49.71002485501243	520.8970259661395	DLG4;CAMK2A;CALM1
Reactome_2016	Signaling by EGFR Homo sapiens R-HSA-177929	8/355	3.658609617810503e-05	0.013994181788125174	0	0	6.3479468359452484	64.8496236497583	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;EPN1;SPTBN2
Reactome_2016	RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	3/21	5.445924868517141e-05	0.01666453009766245	0	0	40.24144869215292	395.0928718926482	LIMK1;NF2;CALM1
Reactome_2016	CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742	3/27	0.00011795398913787851	0.030078267230159026	0	0	31.298904538341155	283.1053499874344	DLG4;CAMK2A;CALM1
Reactome_2016	Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907	8/432	0.00014372942866682062	0.03141514655146223	0	0	5.216484089723526	46.15324983543957	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;DGKZ;SPTBN2
Reactome_2016	Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	7/329	0.0001649965222275086	0.03155558487601102	0	0	5.9934072520227755	52.2000968636192	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	7/329	0.0001649965222275086	0.028049408778676458	0	0	5.9934072520227755	52.2000968636192	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	7/329	0.0001649965222275086	0.025244467900808816	0	0	5.9934072520227755	52.2000968636192	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Signaling by FGFR4 Homo sapiens R-HSA-5654743	7/332	0.0001744518774529441	0.02426467022754586	0	0	5.939249957576785	51.39744730853661	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	7/332	0.0001744518774529441	0.02224261437525037	0	0	5.939249957576785	51.39744730853661	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Signaling by FGFR3 Homo sapiens R-HSA-5654741	7/333	0.00017769950463491317	0.020913864776262857	0	0	5.921414372118599	51.13388002638442	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Trafficking of AMPA receptors Homo sapiens R-HSA-399719	3/31	0.00017943071485787402	0.01960921383803909	0	0	27.260336210813264	235.14006581187218	EPB41L1;DLG4;CAMK2A
Reactome_2016	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	3/31	0.00017943071485787402	0.01830193291550315	0	0	27.260336210813264	235.14006581187218	EPB41L1;DLG4;CAMK2A
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	6/235	0.00018691165882359312	0.01787342737500609	0	0	7.192088702427329	61.74317865464634	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	6/235	0.00018691165882359312	0.01682204929412338	0	0	7.192088702427329	61.74317865464634	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	6/235	0.00018691165882359312	0.015887491000005416	0	0	7.192088702427329	61.74317865464634	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	6/235	0.00018691165882359312	0.015051307263163024	0	0	7.192088702427329	61.74317865464634	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	6/235	0.00018691165882359312	0.014298741900004875	0	0	7.192088702427329	61.74317865464634	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Signaling by FGFR1 Homo sapiens R-HSA-5654736	7/336	0.00018773755499071083	0.013678021863608931	0	0	5.868544600938966	50.35484480352023	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	6/236	0.0001912555843227512	0.013300956546082241	0	0	7.1616137502984	61.317019956629544	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	6/236	0.0001912555843227512	0.012722654087556923	0	0	7.1616137502984	61.317019956629544	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	6/236	0.0001912555843227512	0.012192543500575387	0	0	7.1616137502984	61.317019956629544	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	6/236	0.0001912555843227512	0.011704841760552372	0	0	7.1616137502984	61.317019956629544	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	6/239	0.00020476810670533302	0.012049815509967674	0	0	7.071719017031057	60.064581808501174	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	6/239	0.00020476810670533302	0.01160352604663554	0	0	7.071719017031057	60.064581808501174	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Downstream signal transduction Homo sapiens R-HSA-186763	7/341	0.00020548498568774857	0.01122828671793769	0	0	5.7824955598694805	49.09418291132727	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	6/240	0.00020943602254495773	0.011049555672199491	0	0	7.042253521126762	59.65557920343332	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	6/241	0.00021418757477026035	0.01092356631328328	0	0	7.0130325521594274	59.250716446087026	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	DAP12 signaling Homo sapiens R-HSA-2424491	7/344	0.0002167688969872375	0.010698593948079786	0	0	5.7320668195217825	48.35960640304801	SHC3;DLG4;ADRBK1;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	6/242	0.00021902383419491293	0.010472077072444273	0	0	6.984053078803399	58.84993599438457	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
Reactome_2016	Signaling by Leptin Homo sapiens R-HSA-2586552	6/243	0.00022394587913304707	0.010382945305259454	0	0	6.955312119631366	58.4531813341336	SHC3;DLG4;CAMK2A;DUSP8;CALM1;SPTBN2
