Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Smooth Muscle Contraction Homo sapiens R-HSA-445355	4/33	4.343590069771576e-09	6.645692806750511e-06	0	0	186.4801864801865	3590.5948020071082	ACTA2;MYH11;MYL9;ACTG2
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	5/196	1.0370345451072768e-07	7.933314270070669e-05	0	0	39.2464678178964	631.1511149812637	ACTA2;PLN;MYH11;MYL9;ACTG2
Reactome_2016	RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	3/21	2.833766392526958e-07	0.00014452208601887484	0	0	219.78021978021977	3313.514053491956	FLNA;MYH11;MYL9
Reactome_2016	RHO GTPases activate CIT Homo sapiens R-HSA-5625900	2/16	4.656042999375256e-05	0.01780936447261035	0	0	192.3076923076923	1918.2229844851402	MYH11;MYL9
Reactome_2016	RHO GTPases Activate ROCKs Homo sapiens R-HSA-5627117	2/17	5.274920091662329e-05	0.016141255480486727	0	0	180.99547511312213	1782.7985401308365	MYH11;MYL9
Reactome_2016	Sema4D induced cell migration and growth-cone collapse Homo sapiens R-HSA-416572	2/24	0.00010677607900240272	0.02722790014561269	0	0	128.2051282051282	1172.4072610132764	MYH11;MYL9
Reactome_2016	Sema4D in semaphorin signaling Homo sapiens R-HSA-400685	2/27	0.0001356422922757205	0.029647529597407487	0	0	113.96011396011394	1014.870580187646	MYH11;MYL9
Reactome_2016	EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	2/34	0.00021624086857684936	0.041356066115322436	0	0	90.49773755656106	763.7210533283313	MYH11;MYL9
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	3/255	0.0005329580516934972	0.0906028687878945	0	0	18.099547511312217	136.41751745084565	FLNA;MYH11;MYL9
Reactome_2016	RHO GTPases activate PKNs Homo sapiens R-HSA-5625740	2/60	0.0006757903053544243	0.1033959167192269	0	0	51.282051282051285	374.3398835498909	MYH11;MYL9
Reactome_2016	Semaphorin interactions Homo sapiens R-HSA-373755	2/67	0.0008420030301160657	0.1171149669161437	0	0	45.924225028702644	325.13097336467314	MYH11;MYL9
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	3/367	0.0015286720830225207	0.1949056905853714	0	0	12.575979878432195	81.53455258894822	FLNA;MYH11;MYL9
Reactome_2016	EPH-Ephrin signaling Homo sapiens R-HSA-2682334	2/95	0.0016830277609427814	0.19807942109557355	0	0	32.388663967611336	206.87160709292343	MYH11;MYL9
Reactome_2016	Ca2+ activated K+ channels Homo sapiens R-HSA-1296052	1/9	0.00583590295074904	0.6377808224747165	0	0	170.9401709401709	879.2694492089403	KCNMB1
Reactome_2016	GP1b-IX-V activation signalling Homo sapiens R-HSA-430116	1/10	0.0064823954920370675	0.6612043401877808	0	0	153.84615384615387	775.1792557282664	FLNA
Reactome_2016	Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	1/16	0.01035321251888367	0.9900259471182506	0	0	96.15384615384615	439.46715568589445	FLNA
Reactome_2016	cGMP effects Homo sapiens R-HSA-418457	1/18	0.011640389286531057	1.0	0	0	85.47008547008545	380.6217430237626	KCNMB1
Reactome_2016	Nitric oxide stimulates guanylate cyclase Homo sapiens R-HSA-392154	1/25	0.016133351108423025	1.0	0	0	61.53846153846154	253.9610247487083	KCNMB1
Reactome_2016	Ion homeostasis Homo sapiens R-HSA-5578775	1/51	0.032656971123398215	1.0	0	0	30.165912518853695	103.21861041867754	PLN
Reactome_2016	Ion transport by P-type ATPases Homo sapiens R-HSA-936837	1/55	0.035176210749711605	1.0	0	0	27.97202797202797	93.63315400919966	PLN
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	2/515	0.042787442163850366	1.0	0	0	5.974607916355488	18.82904033955745	MYH11;MYL9
