Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Platelet calcium homeostasis Homo sapiens R-HSA-418360	3/27	1.1651184739594733e-05	0.01782631265157994	0	0	67.34006734006735	764.9900800496481	TRPC3;ATP2A3;ITPR1
Reactome_2016	Platelet homeostasis Homo sapiens R-HSA-418346	4/87	1.2410827312889265e-05	0.009494282894360287	0	0	27.86485545106235	314.78763625079745	TRPC3;ATP2A3;ITPR1;GNG13
Reactome_2016	Elevation of cytosolic Ca2+ levels Homo sapiens R-HSA-139853	2/15	0.0002735057307803723	0.13948792269798987	0	0	80.8080808080808	662.9646854811009	TRPC3;ITPR1
Reactome_2016	Effects of PIP2 hydrolysis Homo sapiens R-HSA-114508	2/27	0.0009030432609384289	0.3454140473089491	0	0	44.89337822671156	314.6909134760432	TRPC3;ITPR1
Reactome_2016	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion Homo sapiens R-HSA-381676	2/42	0.0021811782673054705	0.667440549795474	0	0	28.86002886002886	176.85108394237702	ITPR1;GNG13
Reactome_2016	Ion homeostasis Homo sapiens R-HSA-5578775	2/51	0.0032001783999924646	0.8160454919980786	0	0	23.767082590612002	136.5311638914506	ATP2A3;ITPR1
Reactome_2016	G alpha (q) signalling events Homo sapiens R-HSA-416476	3/191	0.0037887037837906774	0.8281023984571052	0	0	9.519276534983339	53.07692839543378	TRPC3;ITPR1;GNG13
Reactome_2016	Ca2+ pathway Homo sapiens R-HSA-4086398	2/61	0.004546191874778075	0.8694591960513071	0	0	19.87083954297069	107.17268449192652	ITPR1;GNG13
Reactome_2016	Regulation of insulin secretion Homo sapiens R-HSA-422356	2/80	0.007698518081077298	1.0	0	0	15.151515151515152	73.73829432799505	ITPR1;GNG13
Reactome_2016	Opioid Signalling Homo sapiens R-HSA-111885	2/81	0.007885320336379762	1.0	0	0	14.964459408903851	72.46917221616845	ITPR1;GNG13
Reactome_2016	Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955	1/5	0.008223547969126478	1.0	0	0	121.21212121212122	581.9095195907297	SV2C
Reactome_2016	Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981	1/5	0.008223547969126478	1.0	0	0	121.21212121212122	581.9095195907297	SV2C
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	3/253	0.008248592620827305	0.9707959007589058	0	0	7.186489399928135	34.47871135179871	TRPC3;ITPR1;GNG13
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	4/552	0.0124584058363622	1.0	0	0	4.391743522178305	19.259375126549045	TRPC3;ATP2A3;ITPR1;GNG13
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	3/301	0.013192561506860628	1.0	0	0	6.040471156750226	26.14377608236578	KCNN1;SLC1A6;GNG13
Reactome_2016	Integration of energy metabolism Homo sapiens R-HSA-163685	2/110	0.0141630269317427	1.0	0	0	11.019283746556473	46.910418150912705	ITPR1;GNG13
Reactome_2016	Ca2+ activated K+ channels Homo sapiens R-HSA-1296052	1/9	0.014755169717842366	1.0	0	0	67.34006734006735	283.9166173911182	KCNN1
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	4/594	0.015928064229735455	1.0	0	0	4.081216202428323	16.894899213237974	TRPC3;ATP2A3;SLC1A6;GNG13
Reactome_2016	Role of second messengers in netrin-1 signaling Homo sapiens R-HSA-418890	1/10	0.016381547690707304	1.0	0	0	60.60606060606061	249.1878617217349	TRPC3
Reactome_2016	Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799	1/10	0.016381547690707304	1.0	0	0	60.60606060606061	249.1878617217349	SV2C
Reactome_2016	Glycosaminoglycan metabolism Homo sapiens R-HSA-1630316	2/121	0.0169596557057007	1.0	0	0	10.017530678687704	40.840650630562045	HS3ST4;CHST2
Reactome_2016	CLEC7A (Dectin-1) induces NFAT activation Homo sapiens R-HSA-5607763	1/11	0.01800532259639319	1.0	0	0	55.09641873278236	221.32715509624904	ITPR1
Reactome_2016	Reduction of cytosolic Ca++ levels Homo sapiens R-HSA-418359	1/12	0.01962649841488355	1.0	0	0	50.5050505050505	198.52902352917187	ATP2A3
Reactome_2016	Cardiac conduction Homo sapiens R-HSA-5576891	2/135	0.020829431946063414	1.0	0	0	8.978675645342314	34.7599397982799	ATP2A3;ITPR1
Reactome_2016	Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	2/144	0.023493556928503728	1.0	0	0	8.417508417508419	31.574318759928808	ITPR1;GNG13
