Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Sulfide oxidation to sulfate Homo sapiens R-HSA-1614517	1/5	0.001998563431658992	1.0	0	0	500.0	3107.663320341183	SUOX
Reactome_2016	Degradation of cysteine and homocysteine Homo sapiens R-HSA-1614558	1/9	0.0035949086662176283	1.0	0	0	277.77777777777777	1563.399081642436	SUOX
Reactome_2016	Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	2/335	0.007326847960042394	1.0	0	0	14.925373134328355	73.37626678600162	SUOX;RPS23
Reactome_2016	Sulfur amino acid metabolism Homo sapiens R-HSA-1614635	1/25	0.009957991701556104	1.0	0	0	100.0	460.937986410693	SUOX
Reactome_2016	PIWI-interacting RNA (piRNA) biogenesis Homo sapiens R-HSA-5601884	1/29	0.011543198536568492	1.0	0	0	86.20689655172413	384.6257660999916	TDRD6
Reactome_2016	Formation of the ternary complex, and subsequently, the 43S complex Homo sapiens R-HSA-72695	1/50	0.019829161451185108	1.0	0	0	50.0	196.03008121118827	RPS23
Reactome_2016	Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702	1/57	0.022577612257970867	1.0	0	0	43.85964912280701	166.26300314625928	RPS23
Reactome_2016	Translation initiation complex formation Homo sapiens R-HSA-72649	1/57	0.022577612257970867	1.0	0	0	43.85964912280701	166.26300314625928	RPS23
Reactome_2016	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662	1/58	0.0229696971452446	1.0	0	0	43.103448275862064	162.65428651567544	RPS23
Reactome_2016	Viral mRNA Translation Homo sapiens R-HSA-192823	1/84	0.03311572207601827	1.0	0	0	29.76190476190476	101.42104530294472	RPS23
Reactome_2016	Peptide chain elongation Homo sapiens R-HSA-156902	1/84	0.03311572207601827	1.0	0	0	29.76190476190476	101.42104530294472	RPS23
Reactome_2016	Selenocysteine synthesis Homo sapiens R-HSA-2408557	1/87	0.034280463813228634	1.0	0	0	28.73563218390805	96.9304498621618	RPS23
Reactome_2016	Eukaryotic Translation Termination Homo sapiens R-HSA-72764	1/87	0.034280463813228634	1.0	0	0	28.73563218390805	96.9304498621618	RPS23
Reactome_2016	Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	1/89	0.035056276120956284	1.0	0	0	28.089887640449444	94.12361290989814	RPS23
Reactome_2016	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	1/89	0.035056276120956284	1.0	0	0	28.089887640449444	94.12361290989814	RPS23
Reactome_2016	Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	1/96	0.03776732657425956	1.0	0	0	26.041666666666664	85.3205970439473	RPS23
Reactome_2016	Gene Silencing by RNA Homo sapiens R-HSA-211000	1/101	0.03969970871048476	1.0	0	0	24.752475247524753	79.86166902433902	TDRD6
Reactome_2016	Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	1/106	0.041628694578224525	1.0	0	0	23.584905660377355	74.97560320717733	RPS23
Reactome_2016	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	1/106	0.041628694578224525	1.0	0	0	23.584905660377355	74.97560320717733	RPS23
Reactome_2016	L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	1/106	0.041628694578224525	1.0	0	0	23.584905660377355	74.97560320717733	RPS23
