Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Phospholipid metabolism Homo sapiens R-HSA-1483257	3/161	0.014290313280657304	1.0	0	0	5.915409642117718	25.129685680044823	SLC44A1;PIP4K2A;PLD1
Reactome_2016	GRB7 events in ERBB2 signaling Homo sapiens R-HSA-1306955	1/5	0.01565251000400841	1.0	0	0	63.492063492063494	263.9443803944982	ERBB3
Reactome_2016	Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	6/659	0.017347397216705966	1.0	0	0	2.8903822530529664	11.718513765939825	UGT8;FA2H;LIPE;SLC44A1;PIP4K2A;PLD1
Reactome_2016	Choline catabolism Homo sapiens R-HSA-6798163	1/6	0.01875396579159191	1.0	0	0	52.9100529100529	210.38889100770717	SLC44A1
Reactome_2016	GLI proteins bind promoters of Hh responsive genes to promote transcription Homo sapiens R-HSA-5635851	1/7	0.021845805503197258	1.0	0	0	45.351473922902485	173.41253259345928	HHIP
Reactome_2016	Histidine catabolism Homo sapiens R-HSA-70921	1/7	0.021845805503197258	1.0	0	0	45.351473922902485	173.41253259345928	CARNS1
Reactome_2016	NrCAM interactions Homo sapiens R-HSA-447038	1/7	0.021845805503197258	1.0	0	0	45.351473922902485	173.41253259345928	CNTN2
Reactome_2016	Sphingolipid metabolism Homo sapiens R-HSA-428157	2/74	0.02280669112700324	1.0	0	0	8.580008580008581	32.438449726239234	UGT8;FA2H
Reactome_2016	Axonal growth inhibition (RHOA activation) Homo sapiens R-HSA-193634	1/8	0.02492805820599394	1.0	0	0	39.68253968253968	146.49846326714564	MAG
Reactome_2016	Synthesis of PG Homo sapiens R-HSA-1483148	1/8	0.02492805820599394	1.0	0	0	39.68253968253968	146.49846326714564	PLD1
Reactome_2016	Ligand-receptor interactions Homo sapiens R-HSA-5632681	1/8	0.02492805820599394	1.0	0	0	39.68253968253968	146.49846326714564	HHIP
Reactome_2016	p75NTR regulates axonogenesis Homo sapiens R-HSA-193697	1/9	0.028000752973758432	1.0	0	0	35.273368606701936	126.12077168425292	MAG
Reactome_2016	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	2/83	0.028221381295898063	1.0	0	0	7.649646203863073	27.29145447577575	ERBB3;PIP4K2A
Reactome_2016	Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	2/90	0.032752679899456266	1.0	0	0	7.0546737213403885	24.11831034396934	ERBB3;PIP4K2A
Reactome_2016	Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	3/233	0.037183905657759295	1.0	0	0	4.087471898630697	13.455463948207258	ERBB3;PIP4K2A;CD22
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	5/594	0.03899877384458242	1.0	0	0	2.6722248944471167	8.669299003872686	NIPAL4;ABCA2;TF;SLC44A1;TTYH2
Reactome_2016	ERBB2 Activates PTK6 Signaling Homo sapiens R-HSA-8847993	1/13	0.04019653222373102	1.0	0	0	24.420024420024422	78.48533700047142	ERBB3
Reactome_2016	Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	1/13	0.04019653222373102	1.0	0	0	24.420024420024422	78.48533700047142	ERBB3
Reactome_2016	Glycerophospholipid biosynthesis Homo sapiens R-HSA-1483206	2/102	0.0411291639436783	1.0	0	0	6.224712107065049	19.863291777852584	SLC44A1;PLD1
Reactome_2016	Lysosphingolipid and LPA receptors Homo sapiens R-HSA-419408	1/14	0.043221871427467695	1.0	0	0	22.67573696145125	71.23375575525755	S1PR5
Reactome_2016	Platelet degranulation Homo sapiens R-HSA-114608	2/105	0.043337022381591705	1.0	0	0	6.046863189720333	18.97957967610154	TF;LAMP2
