Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	DSCAM interactions Homo sapiens R-HSA-376172	1/11	0.004392244396163033	1.0	0	0	227.27272727272728	1233.6170296741964	DSCAM
Reactome_2016	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels Homo sapiens R-HSA-112308	1/13	0.005189022379499861	1.0	0	0	192.3076923076923	1011.7711472562453	CACNG4
Reactome_2016	LGI-ADAM interactions Homo sapiens R-HSA-5682910	1/14	0.0055872022837974	1.0	0	0	178.57142857142856	926.2993933935477	CACNG4
Reactome_2016	Phase 2 - plateau phase Homo sapiens R-HSA-5576893	1/26	0.010354501736256565	1.0	0	0	96.15384615384615	439.4551830260862	CACNG4
Reactome_2016	Phase 1 - inactivation of fast Na+ channels Homo sapiens R-HSA-5576894	1/27	0.010750872860949598	1.0	0	0	92.59259259259258	419.70077142012093	CACNG4
Reactome_2016	Trafficking of AMPA receptors Homo sapiens R-HSA-399719	1/31	0.012334969042911157	1.0	0	0	80.64516129032258	354.4610515079878	CACNG4
Reactome_2016	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	1/31	0.012334969042911157	1.0	0	0	80.64516129032258	354.4610515079878	CACNG4
Reactome_2016	Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892	1/44	0.01746796731842876	1.0	0	0	56.81818181818182	229.96514285795882	CACNG4
Reactome_2016	ECM proteoglycans Homo sapiens R-HSA-3000178	1/55	0.02179302948367254	1.0	0	0	45.45454545454545	173.91659585331448	TNR
Reactome_2016	Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	1/61	0.024145126293327844	1.0	0	0	40.983606557377044	152.609538075819	PDGFRA
Reactome_2016	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	1/83	0.03272720178912145	1.0	0	0	30.12048192771084	102.99845445443745	PDGFRA
Reactome_2016	PI3K/AKT Signaling in Cancer Homo sapiens R-HSA-2219528	1/86	0.03389235304552857	1.0	0	0	29.069767441860467	98.38854255580117	PDGFRA
Reactome_2016	Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	1/90	0.03544397773863309	1.0	0	0	27.777777777777782	92.7722755796888	PDGFRA
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	2/786	0.03689633926032428	1.0	0	0	6.361323155216285	20.99009503749543	PDGFRA;CACNG4
Reactome_2016	PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	PIP3 activates AKT signaling Homo sapiens R-HSA-1257604	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695	1/122	0.04777868583591738	1.0	0	0	20.491803278688526	62.319172990641796	PDGFRA
Reactome_2016	GAB1 signalosome Homo sapiens R-HSA-180292	1/125	0.0489279568229514	1.0	0	0	20.0	60.348126633936175	PDGFRA
Reactome_2016	PI3K/AKT activation Homo sapiens R-HSA-198203	1/125	0.0489279568229514	1.0	0	0	20.0	60.348126633936175	PDGFRA
Reactome_2016	Cell-Cell communication Homo sapiens R-HSA-1500931	1/131	0.05122285833690137	1.0	0	0	19.083969465648853	56.70933959301649	DSCAM
Reactome_2016	Cardiac conduction Homo sapiens R-HSA-5576891	1/135	0.05275009956416967	1.0	0	0	18.51851851851852	54.484992947320954	CACNG4
Reactome_2016	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	1/142	0.05541759631230282	1.0	0	0	17.6056338028169	50.93060057560986	CACNG4
Reactome_2016	Role of LAT2/NTAL/LAB on calcium mobilization Homo sapiens R-HSA-2730905	1/162	0.06300283360189708	1.0	0	0	15.432098765432098	42.66320333015718	PDGFRA
Reactome_2016	Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	1/192	0.07428075901853666	1.0	0	0	13.020833333333332	33.85290786727328	PDGFRA
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	1/196	0.07577547125294777	1.0	0	0	12.755102040816324	32.907916287615976	CACNG4
Reactome_2016	Transmission across Chemical Synapses Homo sapiens R-HSA-112315	1/211	0.08136185163954485	1.0	0	0	11.848341232227488	29.725696314012605	CACNG4
Reactome_2016	Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	1/233	0.08950176301462505	1.0	0	0	10.72961373390558	25.895890079484	PDGFRA
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	1/235	0.09023861572697534	1.0	0	0	10.638297872340424	25.5882748005853	PDGFRA
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	1/235	0.09023861572697534	1.0	0	0	10.638297872340424	25.5882748005853	PDGFRA
