Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Cholesterol biosynthesis_Homo sapiens_R-HSA-191273	2/23	0.00011415310511857051	0.17465425083141287	0	0	124.22360248447204	1127.6981345675113	MVK;MVD
Reactome_2016	Activation of gene expression by SREBF (SREBP)_Homo sapiens_R-HSA-2426168	2/42	0.0003855442169962099	0.2949413260021005	0	0	68.02721088435375	534.7520184462041	MVK;MVD
Reactome_2016	Regulation of cholesterol biosynthesis by SREBP (SREBF)_Homo sapiens_R-HSA-1655829	2/55	0.0006615177095993662	0.33737403189567666	0	0	51.94805194805195	380.3103274226751	MVK;MVD
Reactome_2016	FasL/ CD95L signaling_Homo sapiens_R-HSA-75157	1/5	0.0034953988931204693	1.0	0	0	285.7142857142857	1616.0879363712995	FAS
Reactome_2016	Synthesis of Dolichyl-phosphate_Homo sapiens_R-HSA-446199	1/6	0.004193119798694676	1.0	0	0	238.09523809523807	1303.4072000200945	MVD
Reactome_2016	CASP8 activity is inhibited_Homo sapiens_R-HSA-5218900	1/11	0.007674930787541143	1.0	0	0	129.87012987012992	632.4410394103229	FAS
Reactome_2016	Regulation by c-FLIP_Homo sapiens_R-HSA-3371378	1/11	0.007674930787541143	1.0	0	0	129.87012987012992	632.4410394103229	FAS
Reactome_2016	Dimerization of procaspase-8_Homo sapiens_R-HSA-69416	1/11	0.007674930787541143	1.0	0	0	129.87012987012992	632.4410394103229	FAS
Reactome_2016	TP53 Regulates Transcription of Death Receptors and Ligands_Homo sapiens_R-HSA-6803211	1/12	0.008369935820942226	1.0	0	0	119.04761904761904	569.4177455070225	FAS
Reactome_2016	Regulation of necroptotic cell death_Homo sapiens_R-HSA-5675482	1/14	0.009758590659951069	1.0	0	0	102.04081632653059	472.4089069978508	FAS
Reactome_2016	Regulated Necrosis_Homo sapiens_R-HSA-5218859	1/16	0.011145440218903038	1.0	0	0	89.2857142857143	401.49328693712084	FAS
Reactome_2016	RIPK1-mediated regulated necrosis_Homo sapiens_R-HSA-5213460	1/16	0.011145440218903038	1.0	0	0	89.2857142857143	401.49328693712084	FAS
Reactome_2016	Ligand-dependent caspase activation_Homo sapiens_R-HSA-140534	1/17	0.01183818865932929	1.0	0	0	84.03361344537817	372.8087937885377	FAS
Reactome_2016	Caspase activation via extrinsic apoptotic signalig pathway_Homo sapiens_R-HSA-5357769	1/27	0.018740936449241897	1.0	0	0	52.9100529100529	210.4256631116291	FAS
Reactome_2016	TP53 Regulates Transcription of Cell Death Genes_Homo sapiens_R-HSA-5633008	1/43	0.02969227956351597	1.0	0	0	33.222591362126245	116.83947555887104	FAS
Reactome_2016	Death Receptor Signalling_Homo sapiens_R-HSA-73887	1/48	0.03309123150218267	1.0	0	0	29.76190476190476	101.44306372004178	FAS
Reactome_2016	Synthesis of substrates in N-glycan biosythesis_Homo sapiens_R-HSA-446219	1/63	0.043221871427467695	1.0	0	0	22.67573696145125	71.23375575525755	MVD
Reactome_2016	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein_Homo sapiens_R-HSA-446193	1/78	0.05325388064665963	1.0	0	0	18.315018315018314	53.712172180482064	MVD
Reactome_2016	Metabolism of lipids and lipoproteins_Homo sapiens_R-HSA-556833	2/659	0.07594493277169476	1.0	0	0	4.335573379579451	11.176010275812411	MVK;MVD
Reactome_2016	Apoptosis_Homo sapiens_R-HSA-109581	1/163	0.10828127992509996	1.0	0	0	8.764241893076251	19.48311125147536	FAS
Reactome_2016	Programmed Cell Death_Homo sapiens_R-HSA-5357801	1/166	0.1101680363222428	1.0	0	0	8.605851979345955	18.98234488690791	FAS
Reactome_2016	Asparagine N-linked glycosylation_Homo sapiens_R-HSA-446203	1/259	0.16685151806400755	1.0	0	0	5.515719801434087	9.87672904274855	MVD
Reactome_2016	Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989	1/348	0.21794036283907064	1.0	0	0	4.105090311986864	6.254243918625447	FAS
Reactome_2016	Post-translational protein modification_Homo sapiens_R-HSA-597592	1/521	0.30902758484322723	1.0	0	0	2.741979709350151	3.2199745948218683	MVD
Reactome_2016	Metabolism_Homo sapiens_R-HSA-1430728	2/1908	0.3915840719236005	1.0	0	0	1.4974543276430068	1.403945857300696	MVK;MVD
Reactome_2016	Generic Transcription Pathway_Homo sapiens_R-HSA-212436	1/812	0.44035476466944107	1.0	0	0	1.7593244194229416	1.442953190714267	FAS
Reactome_2016	Metabolism of proteins_Homo sapiens_R-HSA-392499	1/1074	0.5383719108104565	1.0	0	0	1.330140994945464	0.8236308507752014	MVD
Reactome_2016	Gene Expression_Homo sapiens_R-HSA-74160	1/1631	0.6961893774999293	1.0	0	0	0.8758868354208635	0.31718801922528883	FAS
Reactome_2016	Signal Transduction_Homo sapiens_R-HSA-162582	1/2465	0.8415158006267843	1.0	0	0	0.5795421616922631	0.10000028327294627	FAS
