Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	AMPK inhibits chREBP transcriptional activation activity Homo sapiens R-HSA-163680	1/8	0.012334969042911157	1.0	0	0	80.64516129032258	354.4610515079878	STK11
Reactome_2016	Zinc influx into cells by the SLC39 gene family Homo sapiens R-HSA-442380	1/10	0.015395641764484843	1.0	0	0	64.51612903225806	269.269084640093	SLC39A3
Reactome_2016	Zinc transporters Homo sapiens R-HSA-435354	1/17	0.026035891626597026	1.0	0	0	37.95066413662239	138.45462033112264	SLC39A3
Reactome_2016	Metal ion SLC transporters Homo sapiens R-HSA-425410	1/25	0.03805995059128532	1.0	0	0	25.80645161290323	84.35077974953685	SLC39A3
Reactome_2016	Energy dependent regulation of mTOR by LKB1-AMPK Homo sapiens R-HSA-380972	1/28	0.04253183431893138	1.0	0	0	23.04147465437788	72.75351245727946	STK11
Reactome_2016	mTOR signalling Homo sapiens R-HSA-165159	1/39	0.05875726186108227	1.0	0	0	16.542597187758478	46.88735363855083	STK11
Reactome_2016	PKB-mediated events Homo sapiens R-HSA-109703	1/40	0.06021903535976484	1.0	0	0	16.129032258064516	45.318818946116544	STK11
Reactome_2016	Nuclear Receptor transcription pathway Homo sapiens R-HSA-383280	1/51	0.0761542411780185	1.0	0	0	12.65022137887413	32.57425055208589	NR2F6
Reactome_2016	COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005	1/68	0.1002682623878204	1.0	0	0	9.487666034155598	21.8207406160252	TRAPPC5
Reactome_2016	PI3K Cascade Homo sapiens R-HSA-109704	1/79	0.1155456581169776	1.0	0	0	8.166598611678237	17.624250867798754	STK11
Reactome_2016	Mitochondrial translation initiation Homo sapiens R-HSA-5368286	1/84	0.12240665340316832	1.0	0	0	7.680491551459293	16.132154781199883	MRPL41
Reactome_2016	Mitochondrial translation termination Homo sapiens R-HSA-5419276	1/84	0.12240665340316832	1.0	0	0	7.680491551459293	16.132154781199883	MRPL41
Reactome_2016	Mitochondrial translation elongation Homo sapiens R-HSA-5389840	1/84	0.12240665340316832	1.0	0	0	7.680491551459293	16.132154781199883	MRPL41
Reactome_2016	Regulation of TP53 Activity through Phosphorylation Homo sapiens R-HSA-6804756	1/89	0.1292161299361437	1.0	0	0	7.249003262051468	14.833409573897011	STK11
Reactome_2016	Generic Transcription Pathway Homo sapiens R-HSA-212436	3/812	0.12978998763586205	1.0	0	0	2.3836008263149533	4.866925825230684	ZNF771;STK11;NR2F6
Reactome_2016	Mitochondrial translation Homo sapiens R-HSA-5368287	1/90	0.13057187592621022	1.0	0	0	7.168458781362008	14.593773695042698	MRPL41
Reactome_2016	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366	1/101	0.1453509096429046	1.0	0	0	6.387735547748322	12.31941484320484	SLC39A3
Reactome_2016	Integration of energy metabolism Homo sapiens R-HSA-163685	1/110	0.15726174007999252	1.0	0	0	5.865102639296187	10.849523328399492	STK11
