Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Formation of the ternary complex, and subsequently, the 43S complex_Homo sapiens_R-HSA-72695	1/50	0.0271653448579924	1.0	0	0	36.36363636363636	131.12048014986075	FAU
Reactome_2016	Ribosomal scanning and start codon recognition_Homo sapiens_R-HSA-72702	1/57	0.03091449038178541	1.0	0	0	31.897926634768734	110.89410719630452	FAU
Reactome_2016	Translation initiation complex formation_Homo sapiens_R-HSA-72649	1/57	0.03091449038178541	1.0	0	0	31.897926634768734	110.89410719630452	FAU
Reactome_2016	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S_Homo sapiens_R-HSA-72662	1/58	0.031449009079719786	1.0	0	0	31.34796238244514	108.44475875019188	FAU
Reactome_2016	Viral mRNA Translation_Homo sapiens_R-HSA-192823	1/84	0.0452527727730833	1.0	0	0	21.645021645021643	67.00197692554812	FAU
Reactome_2016	Peptide chain elongation_Homo sapiens_R-HSA-156902	1/84	0.0452527727730833	1.0	0	0	21.645021645021643	67.00197692554812	FAU
Reactome_2016	Selenocysteine synthesis_Homo sapiens_R-HSA-2408557	1/87	0.04683395176457438	1.0	0	0	20.898641588296762	63.97381136940646	FAU
Reactome_2016	Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764	1/87	0.04683395176457438	1.0	0	0	20.898641588296762	63.97381136940646	FAU
Reactome_2016	Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842	1/89	0.04788674820170976	1.0	0	0	20.42900919305413	62.082052468603145	FAU
Reactome_2016	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956	1/89	0.04788674820170976	1.0	0	0	20.42900919305413	62.082052468603145	FAU
Reactome_2016	Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689	1/96	0.051563216555611455	1.0	0	0	18.939393939393934	56.15429390431242	FAU
Reactome_2016	Nonsense-Mediated Decay (NMD)_Homo sapiens_R-HSA-927802	1/106	0.056792929712261776	1.0	0	0	17.152658662092627	49.199715915947216	FAU
Reactome_2016	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975957	1/106	0.056792929712261776	1.0	0	0	17.152658662092627	49.199715915947216	FAU
Reactome_2016	L13a-mediated translational silencing of Ceruloplasmin expression_Homo sapiens_R-HSA-156827	1/106	0.056792929712261776	1.0	0	0	17.152658662092627	49.199715915947216	FAU
Reactome_2016	3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279	1/106	0.056792929712261776	1.0	0	0	17.152658662092627	49.199715915947216	FAU
Reactome_2016	SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339	1/107	0.05731445654280469	1.0	0	0	16.992353440951568	48.5845775938267	FAU
Reactome_2016	GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706	1/107	0.05731445654280469	1.0	0	0	16.992353440951568	48.5845775938267	FAU
Reactome_2016	Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522	1/111	0.05939794346176081	1.0	0	0	16.380016380016382	46.24890540653181	FAU
Reactome_2016	Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737	1/114	0.060957810539318535	1.0	0	0	15.948963317384367	44.61839369375622	FAU
Reactome_2016	Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613	1/114	0.060957810539318535	1.0	0	0	15.948963317384367	44.61839369375622	FAU
Reactome_2016	Influenza Viral RNA Transcription and Replication_Homo sapiens_R-HSA-168273	1/128	0.06820614339416273	1.0	0	0	14.204545454545453	38.14233862352704	FAU
Reactome_2016	Influenza Life Cycle_Homo sapiens_R-HSA-168255	1/136	0.07232517529799498	1.0	0	0	13.36898395721925	35.11474604771465	FAU
Reactome_2016	Influenza Infection_Homo sapiens_R-HSA-168254	1/147	0.07796181792371293	1.0	0	0	12.368583797155225	31.55888789044021	FAU
Reactome_2016	Translation_Homo sapiens_R-HSA-72766	1/151	0.0800037743240655	1.0	0	0	12.040939193257074	30.41157695810154	FAU
Reactome_2016	Major pathway of rRNA processing in the nucleolus_Homo sapiens_R-HSA-6791226	1/166	0.08762455080335183	1.0	0	0	10.95290251916758	26.666966703101217	FAU
Reactome_2016	rRNA processing_Homo sapiens_R-HSA-72312	1/180	0.09468545262186537	1.0	0	0	10.1010101010101	23.81004955542997	FAU
Reactome_2016	Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	1/335	0.16960761309601166	1.0	0	0	5.42740841248304	9.629675267809988	FAU
Reactome_2016	Infectious disease_Homo sapiens_R-HSA-5663205	1/348	0.1756276604247079	1.0	0	0	5.2246603970741905	9.087717297194995	FAU
Reactome_2016	Disease_Homo sapiens_R-HSA-1643685	1/725	0.3338627745037221	1.0	0	0	2.5078369905956106	2.751160439394762	FAU
Reactome_2016	Metabolism of proteins_Homo sapiens_R-HSA-392499	1/1074	0.4551839017674699	1.0	0	0	1.6929067208396815	1.332408603319921	FAU
Reactome_2016	Gene Expression_Homo sapiens_R-HSA-74160	1/1631	0.6078019355653598	1.0	0	0	1.1147650632629171	0.5550484521055797	FAU
Reactome_2016	Metabolism_Homo sapiens_R-HSA-1430728	1/1908	0.6681838834716249	1.0	0	0	0.952925481227368	0.3842118054778799	FAU
