Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Smooth Muscle Contraction Homo sapiens R-HSA-445355	5/33	2.6422452858383553e-11	4.042635287332683e-08	0	0	202.020202020202	4920.567066702118	ACTA2;TPM2;MYH11;MYL9;ACTG2
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	6/196	3.815089368090731e-09	2.918543366589409e-06	0	0	40.81632653061224	791.1959896748829	ACTA2;PLN;TPM2;MYH11;MYL9;ACTG2
Reactome_2016	RHO GTPases activate CIT Homo sapiens R-HSA-5625900	2/16	6.261919708622724e-05	0.03193579051397589	0	0	166.66666666666666	1613.0731106917224	MYH11;MYL9
Reactome_2016	RHO GTPases Activate ROCKs Homo sapiens R-HSA-5627117	2/17	7.093775487935323e-05	0.027133691241352616	0	0	156.8627450980392	1498.6208246717013	MYH11;MYL9
Reactome_2016	RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	2/21	0.00010934695002572602	0.03346016670787216	0	0	126.98412698412695	1158.220279756805	MYH11;MYL9
Reactome_2016	Sema4D induced cell migration and growth-cone collapse Homo sapiens R-HSA-416572	2/24	0.00014352676264691862	0.036599324474964265	0	0	111.11111111111109	983.221004541307	MYH11;MYL9
Reactome_2016	Sema4D in semaphorin signaling Homo sapiens R-HSA-400685	2/27	0.00018229184189191621	0.039843788299233115	0	0	98.76543209876543	850.3606546454628	MYH11;MYL9
Reactome_2016	EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	2/34	0.00029047409965205666	0.055553171558455836	0	0	78.4313725490196	638.7447955663803	MYH11;MYL9
Reactome_2016	RHO GTPases activate PKNs Homo sapiens R-HSA-5625740	2/60	0.0009062132520838293	0.15405625285425098	0	0	44.444444444444436	311.3882623129902	MYH11;MYL9
Reactome_2016	Semaphorin interactions Homo sapiens R-HSA-373755	2/67	0.0011285741249095064	0.1726718411111545	0	0	39.80099502487562	270.1214041555027	MYH11;MYL9
Reactome_2016	EPH-Ephrin signaling Homo sapiens R-HSA-2682334	2/95	0.00225164845488082	0.31318383054251403	0	0	28.070175438596486	171.1183911412386	MYH11;MYL9
Reactome_2016	cGMP effects Homo sapiens R-HSA-418457	1/18	0.01341982690512007	1.0	0	0	74.07407407407406	319.33496635547976	PDE5A
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	2/255	0.015240478567609125	1.0	0	0	10.45751633986928	43.752160283844006	MYH11;MYL9
Reactome_2016	Nitric oxide stimulates guanylate cyclase Homo sapiens R-HSA-392154	1/25	0.018593128566787336	1.0	0	0	53.33333333333334	212.53137058202182	PDE5A
Reactome_2016	Striated Muscle Contraction Homo sapiens R-HSA-390522	1/34	0.02520732187844124	1.0	0	0	39.2156862745098	144.33806964449622	TPM2
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	2/367	0.030116801890079824	1.0	0	0	7.266121707538601	25.450841494176498	MYH11;MYL9
Reactome_2016	Ion homeostasis Homo sapiens R-HSA-5578775	1/51	0.03758743944760645	1.0	0	0	26.1437908496732	85.78000893177379	PLN
Reactome_2016	Ion transport by P-type ATPases Homo sapiens R-HSA-936837	1/55	0.040479004354798134	1.0	0	0	24.24242424242424	77.74477212809019	PLN
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	2/515	0.055693806671090036	1.0	0	0	5.17799352750809	14.95345672002741	MYH11;MYL9
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	2/552	0.06298473150296953	1.0	0	0	4.8309178743961345	13.356825792558226	ITIH3;PDE5A
Reactome_2016	Platelet homeostasis Homo sapiens R-HSA-418346	1/87	0.06332133646728985	1.0	0	0	15.32567049808429	42.29169253078126	PDE5A
Reactome_2016	Phase 1 - Functionalization of compounds Homo sapiens R-HSA-211945	1/92	0.06684426286567174	1.0	0	0	14.492753623188404	39.20854782788656	AOC3
Reactome_2016	Platelet degranulation Homo sapiens R-HSA-114608	1/105	0.07594608250815138	1.0	0	0	12.6984126984127	32.73310007809716	ITIH3
Reactome_2016	Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	1/110	0.0794246668384852	1.0	0	0	12.12121212121212	30.702379315193532	ITIH3
Reactome_2016	Cardiac conduction Homo sapiens R-HSA-5576891	1/135	0.09663500980086953	1.0	0	0	9.876543209876543	23.079646253068454	PLN
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	2/786	0.11560943127617475	1.0	0	0	3.392705682782019	7.319890553478314	MYH11;MYL9
Reactome_2016	Biological oxidations Homo sapiens R-HSA-211859	1/199	0.1393349236139555	1.0	0	0	6.700167504187605	13.205190765114475	AOC3
Reactome_2016	Ion channel transport Homo sapiens R-HSA-983712	1/203	0.1419400993027796	1.0	0	0	6.568144499178983	12.8233178737247	PLN
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	1/253	0.1738898819425557	1.0	0	0	5.270092226613965	9.2191464690838	ITIH3
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	1/594	0.3639064041475549	1.0	0	0	2.2446689113355784	2.269042819017105	PLN
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	2/2465	0.567861825312995	1.0	0	0	1.0818120351588911	0.6121727168614575	MYH11;MYL9
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	1/1908	0.777868520558894	1.0	0	0	0.6988120195667366	0.17554001802671684	AOC3
