Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Transmission across Chemical Synapses Homo sapiens R-HSA-112315	5/211	3.4343563012434786e-07	0.0005254565140902523	0	0	31.5955766192733	470.27697115169593	KCNJ6;CHRNB3;CHRNA4;SLC6A3;SLC18A2
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	5/301	1.981916938713076e-06	0.001516166458115503	0	0	22.1483942414175	290.840443648913	KCNJ6;CHRNB3;CHRNA4;SLC6A3;SLC18A2
Reactome_2016	Highly calcium permeable nicotinic acetylcholine receptors Homo sapiens R-HSA-629597	2/9	1.8842617526792614e-05	0.009609734938664237	0	0	296.29629629629625	3223.522774495832	CHRNB3;CHRNA4
Reactome_2016	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors Homo sapiens R-HSA-629594	2/11	2.8762512286659284e-05	0.011001660949647177	0	0	242.42424242424244	2534.8939819215875	CHRNB3;CHRNA4
Reactome_2016	Presynaptic nicotinic acetylcholine receptors Homo sapiens R-HSA-622323	2/12	3.450012056424365e-05	0.010557036892658557	0	0	222.22222222222217	2283.232830959401	CHRNB3;CHRNA4
Reactome_2016	Activation of Nicotinic Acetylcholine Receptors Homo sapiens R-HSA-629602	2/14	4.752727986362482e-05	0.012119456365224329	0	0	190.47619047619045	1896.0393712113919	CHRNB3;CHRNA4
Reactome_2016	Postsynaptic nicotinic acetylcholine receptors Homo sapiens R-HSA-622327	2/14	4.752727986362482e-05	0.010388105455906571	0	0	190.47619047619045	1896.0393712113919	CHRNB3;CHRNA4
Reactome_2016	Acetylcholine Binding And Downstream Events Homo sapiens R-HSA-181431	2/14	4.752727986362482e-05	0.009089592273918248	0	0	190.47619047619045	1896.0393712113919	CHRNB3;CHRNA4
Reactome_2016	Amine-derived hormones Homo sapiens R-HSA-209776	2/18	7.977048122143578e-05	0.013560981807644085	0	0	148.14814814814812	1397.9788194737368	DDC;TH
Reactome_2016	Na+/Cl- dependent neurotransmitter transporters Homo sapiens R-HSA-442660	2/19	8.911670367707504e-05	0.01363485566259248	0	0	140.35087719298244	1308.8510554294526	SLC6A3;SLC18A2
Reactome_2016	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	3/142	0.0001497655753311121	0.020831030023327413	0	0	28.16901408450704	248.06871316868646	KCNJ6;CHRNB3;CHRNA4
Reactome_2016	Amine compound SLC transporters Homo sapiens R-HSA-425428	2/30	0.00022562415839746908	0.02876708019567731	0	0	88.8888888888889	746.3679963536358	SLC6A3;SLC18A2
Reactome_2016	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366	2/101	0.002540055049565981	0.2989449404489193	0	0	26.4026402640264	157.7708125446621	SLC6A3;SLC18A2
Reactome_2016	Serotonin and melatonin biosynthesis Homo sapiens R-HSA-209931	1/5	0.00374469708393798	0.4092418956017935	0	0	266.6666666666667	1489.9772135328492	DDC
Reactome_2016	Highly sodium permeable acetylcholine nicotinic receptors Homo sapiens R-HSA-629587	1/7	0.005238916894144343	0.534369523202723	0	0	190.47619047619045	1000.3124764962407	CHRNA4
