Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Digestion of dietary lipid Homo sapiens R-HSA-192456	4/17	3.13050162448543e-09	4.7896674854627084e-06	0	0	204.60358056265983	4006.5621650785242	PNLIPRP1;CLPS;CEL;PNLIP
Reactome_2016	Cobalamin (Cbl, vitamin B12) transport and metabolism Homo sapiens R-HSA-196741	4/21	7.848509124996623e-09	6.004109480622416e-06	0	0	165.6314699792961	3091.170557941507	PRSS1;CTRB2;CTRB1;CTRC
Reactome_2016	Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854	6/148	1.349328979051304e-08	6.881577793161652e-06	0	0	35.252643948296125	638.8157459798422	PRSS1;CLPS;CTRB2;CTRB1;CTRC;PNLIP
Reactome_2016	Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923	4/71	1.2267051926383001e-06	0.0004692147361841498	0	0	48.98958971218615	666.8060594196028	PNLIPRP1;CLPS;CEL;PNLIP
Reactome_2016	Metabolism of water-soluble vitamins and cofactors Homo sapiens R-HSA-196849	4/98	4.467880450001393e-06	0.0013671714177004265	0	0	35.49245785270629	437.2172647401316	PRSS1;CTRB2;CTRB1;CTRC
Reactome_2016	Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	3/32	6.446845992341619e-06	0.001643945728047113	0	0	81.52173913043478	974.3412668631751	PRSS1;CTRB2;CTRB1
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	10/1908	2.1750803263518587e-05	0.004754104141883347	0	0	4.557469692826543	48.92835598147622	PNLIPRP1;PRSS1;CLPS;AMY2A;PLA2G1B;CTRB2;CTRB1;CEL;CTRC;PNLIP
Reactome_2016	Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	3/106	0.000237223934623792	0.04536907749680021	0	0	24.610336341263327	205.41031971556674	PRSS1;CTRB2;CTRB1
Reactome_2016	Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	5/659	0.0007857326008936862	0.13357454215192666	0	0	6.597611664577423	47.16562661372552	PNLIPRP1;CLPS;PLA2G1B;CEL;PNLIP
Reactome_2016	Retinoid metabolism and transport Homo sapiens R-HSA-975634	2/42	0.0010591357986062355	0.16204777718675406	0	0	41.407867494824025	283.6563970069118	CLPS;PNLIP
Reactome_2016	Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667	2/51	0.0015585779465969848	0.21678402348121695	0	0	34.10059676044331	220.4256247621479	CLPS;PNLIP
Reactome_2016	Extracellular matrix organization Homo sapiens R-HSA-1474244	3/283	0.004025546315247488	0.5132571551940547	0	0	9.218005838070363	50.838174651951675	PRSS1;CTRB2;CTRB1
Reactome_2016	Visual phototransduction Homo sapiens R-HSA-2187338	2/97	0.005511815868240459	0.6486983291083003	0	0	17.929179740026893	93.24717438718979	CLPS;PNLIP
Reactome_2016	Digestion of dietary carbohydrate Homo sapiens R-HSA-189085	1/8	0.009164554745730224	1.0	0	0	108.69565217391305	510.04478053225824	AMY2A
Reactome_2016	Acyl chain remodelling of PI Homo sapiens R-HSA-1482922	1/16	0.018248789418907417	1.0	0	0	54.34782608695652	217.59002904153988	PLA2G1B
Reactome_2016	Metabolism of Angiotensinogen to Angiotensins Homo sapiens R-HSA-2022377	1/16	0.018248789418907417	1.0	0	0	54.34782608695652	217.59002904153988	CPB1
Reactome_2016	Acyl chain remodelling of PS Homo sapiens R-HSA-1482801	1/17	0.019378702334968384	1.0	0	0	51.15089514066496	201.7176794752598	PLA2G1B
Reactome_2016	Acyl chain remodelling of PG Homo sapiens R-HSA-1482925	1/17	0.019378702334968384	1.0	0	0	51.15089514066496	201.7176794752598	PLA2G1B
Reactome_2016	Acyl chain remodelling of PE Homo sapiens R-HSA-1482839	1/23	0.026132105439598274	1.0	0	0	37.80718336483932	137.79170612958058	PLA2G1B
Reactome_2016	Acyl chain remodelling of PC Homo sapiens R-HSA-1482788	1/25	0.028373337764431305	1.0	0	0	34.78260869565217	123.9062742916768	PLA2G1B
Reactome_2016	Synthesis of PA Homo sapiens R-HSA-1483166	1/28	0.031725938633605226	1.0	0	0	31.05590062111801	107.16213289626393	PLA2G1B
Reactome_2016	Peptide hormone metabolism Homo sapiens R-HSA-2980736	1/81	0.0891620529898079	1.0	0	0	10.735373054213632	25.950614544532872	CPB1
Reactome_2016	Glycerophospholipid biosynthesis Homo sapiens R-HSA-1483206	1/102	0.11100587575178393	1.0	0	0	8.525149190110827	18.739745476300413	PLA2G1B
Reactome_2016	Phospholipid metabolism Homo sapiens R-HSA-1483257	1/161	0.16972765811392942	1.0	0	0	5.401026194977045	9.579044761643633	PLA2G1B
Reactome_2016	Metabolism of carbohydrates Homo sapiens R-HSA-71387	1/282	0.2787636651938442	1.0	0	0	3.0835646006783843	3.938917466211755	AMY2A
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.7192286736460384	1.0	0	0	0.8096510404015871	0.26684149284463216	CPB1
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	2/2465	0.7946650141734619	1.0	0	0	0.7055295881471029	0.16215512404753324	CLPS;PNLIP
