Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3) Homo sapiens R-HSA-5683678	4/5	3.749002157222582e-15	5.735973300550551e-12	0	0	3200.0	106295.31738158168	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Surfactant metabolism Homo sapiens R-HSA-5683826	5/29	4.4532205198793785e-15	3.4067136977077236e-12	0	0	689.6551724137931	22789.757826312816	SFTPB;SLC34A2;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5) Homo sapiens R-HSA-5688849	4/8	5.2483942955708197e-14	2.6766810907411185e-11	0	0	2000.0	61156.53824111397	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4) Homo sapiens R-HSA-5688890	4/8	5.2483942955708197e-14	2.0075108180558387e-11	0	0	2000.0	61156.53824111397	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	ABC transporter disorders Homo sapiens R-HSA-5619084	4/8	5.2483942955708197e-14	1.606008654444671e-11	0	0	2000.0	61156.53824111397	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Diseases associated with surfactant metabolism Homo sapiens R-HSA-5687613	4/10	1.5744418039693904e-13	4.014826600121946e-11	0	0	1600.0	47167.52865542607	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Disorders of transmembrane transporters Homo sapiens R-HSA-5619115	4/15	1.0232345229490588e-12	2.2364983144457997e-10	0	0	1066.6666666666667	29448.58923204084	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Diseases of metabolism Homo sapiens R-HSA-5668914	4/45	1.1156847337006047e-10	2.1337470532024066e-08	0	0	355.5555555555556	8148.047147582253	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	5/1074	4.4258316926669684e-07	7.523913877533845e-05	0	0	18.6219739292365	272.4513489201924	SFTPB;SLC34A2;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Disease Homo sapiens R-HSA-1643685	4/725	8.317484654356602e-06	0.00127257515211656	0	0	22.068965517241374	258.14401487532484	SFTPB;SFTPA2;SFTPC;SFTPA1
Reactome_2016	Sodium-coupled phosphate cotransporters Homo sapiens R-HSA-427652	1/5	0.0012494733811348967	0.17379038846694472	0	0	800.0	5348.0264892237765	SLC34A2
Reactome_2016	Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393	1/99	0.024508443549026968	1.0	0	0	40.40404040404041	149.84798327879497	SLC34A2
Reactome_2016	SLC-mediated transmembrane transport Homo sapiens R-HSA-425407	1/268	0.06523438464665215	1.0	0	0	14.925373134328355	40.742814584776724	SLC34A2
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	1/594	0.13995002251638428	1.0	0	0	6.7340067340067336	13.24222156317785	SLC34A2
