Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Platelet degranulation Homo sapiens R-HSA-114608	8/105	1.0277495339779532e-14	1.5724567869862684e-11	0	0	89.6358543417367	2887.065080879328	FGB;FGA;ORM1;APOH;FGG;ALB;APOA1;ORM2
Reactome_2016	Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	8/110	1.5071953753926397e-14	1.1530044621753694e-11	0	0	85.56149732620321	2723.0751439935752	FGB;FGA;ORM1;APOH;FGG;ALB;APOA1;ORM2
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	8/253	1.293137245335935e-11	6.594999951213269e-09	0	0	37.2006510113927	932.671091704926	FGB;FGA;ORM1;APOH;FGG;ALB;APOA1;ORM2
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	8/552	6.249744428833243e-09	2.390527244028716e-06	0	0	17.050298380221655	322.09250239421755	FGB;FGA;ORM1;APOH;FGG;ALB;APOA1;ORM2
Reactome_2016	Lipoprotein metabolism Homo sapiens R-HSA-174824	4/34	1.6302151327837886e-08	4.988458306318394e-06	0	0	138.4083044982699	2481.9333916318037	ALB;APOA2;APOC3;APOA1
Reactome_2016	Scavenging of heme from plasma Homo sapiens R-HSA-2168880	4/46	5.7006926543655714e-08	1.4536766268632205e-05	0	0	102.30179028132991	1706.403381911495	AMBP;ALB;HP;APOA1
Reactome_2016	Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667	4/51	8.707346799227848e-08	1.903177228974087e-05	0	0	92.2722029988466	1500.0243243336506	APOA2;APOC3;APOA1;GC
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins Homo sapiens R-HSA-354194	3/15	2.3060089156863602e-07	4.410242051250164e-05	0	0	235.29411764705884	3595.9005559575417	FGB;FGA;FGG
Reactome_2016	p130Cas linkage to MAPK signaling for integrins Homo sapiens R-HSA-372708	3/15	2.3060089156863602e-07	3.9202151566668126e-05	0	0	235.29411764705884	3595.9005559575417	FGB;FGA;FGG
Reactome_2016	Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923	4/71	3.3504839751975475e-07	5.126240482052248e-05	0	0	66.28003314001657	988.1684073138647	ALB;APOA2;APOC3;APOA1
Reactome_2016	Chylomicron-mediated lipid transport Homo sapiens R-HSA-174800	3/17	3.442744264155221e-07	4.788544294688626e-05	0	0	207.61245674740485	3089.652611709232	APOA2;APOC3;APOA1
Reactome_2016	Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	4/74	3.961511036755792e-07	5.050926571863634e-05	0	0	63.59300476947536	937.4543798750273	AMBP;ALB;HP;APOA1
Reactome_2016	HDL-mediated lipid transport Homo sapiens R-HSA-194223	3/19	4.900783719307984e-07	5.767845454262474e-05	0	0	185.7585139318886	2698.8298171978877	ALB;APOC3;APOA1
Reactome_2016	Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	3/22	7.776440344533681e-07	8.498538376526096e-05	0	0	160.42780748663102	2256.7374796899576	FGB;FGA;FGG
Reactome_2016	Integrin alphaIIb beta3 signaling Homo sapiens R-HSA-354192	3/27	1.4731568722521896e-06	0.00015026200096972334	0	0	130.718954248366	1755.307572245797	FGB;FGA;FGG
Reactome_2016	Platelet Aggregation (Plug Formation) Homo sapiens R-HSA-76009	3/37	3.8928530140699036e-06	0.00037225406947043464	0	0	95.38950715421305	1188.2068279666255	FGB;FGA;FGG
Reactome_2016	MAP2K and MAPK activation Homo sapiens R-HSA-5674135	3/38	4.224310552457084e-06	0.00038018794972113765	0	0	92.8792569659443	1149.3487145499662	FGB;FGA;FGG
Reactome_2016	Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877	3/39	4.573937324756402e-06	0.0003887846726042942	0	0	90.49773755656106	1112.6820058786827	FGB;FGA;FGG
Reactome_2016	Retinoid metabolism and transport Homo sapiens R-HSA-975634	3/42	5.736541405782683e-06	0.00046194254478144767	0	0	84.03361344537817	1014.1726110740407	APOA2;APOC3;APOA1
Reactome_2016	Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854	4/148	6.3573472494533285e-06	0.00048633706458317967	0	0	31.79650238473768	380.4737477508695	APOA2;APOC3;APOA1;GC
Reactome_2016	Integrin cell surface interactions Homo sapiens R-HSA-216083	3/67	2.3626087672544297e-05	0.0017213292447139413	0	0	52.67778753292361	561.1848488109607	FGB;FGA;FGG
Reactome_2016	Amyloid fiber formation Homo sapiens R-HSA-977225	3/68	2.4703551446813377e-05	0.0017180197142556578	0	0	51.90311418685121	550.6174848474587	APCS;FGA;APOA1
Reactome_2016	Visual phototransduction Homo sapiens R-HSA-2187338	3/97	7.157895938391714e-05	0.004761556863364923	0	0	36.38568829593694	347.29082075938453	APOA2;APOC3;APOA1
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	4/492	0.0006673425480711997	0.04254308743953899	0	0	9.564801530368246	69.9398094553233	AMBP;ALB;HP;APOA1
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	3/235	0.0009642008240483519	0.059009090431759136	0	0	15.018773466833544	104.29353133439531	FGB;FGA;FGG
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	3/235	0.0009642008240483519	0.056739510030537635	0	0	15.018773466833544	104.29353133439531	FGB;FGA;FGG
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	3/235	0.0009642008240483519	0.05463804669607328	0	0	15.018773466833544	104.29353133439531	FGB;FGA;FGG
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	3/235	0.0009642008240483519	0.05268668788549923	0	0	15.018773466833544	104.29353133439531	FGB;FGA;FGG
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	3/235	0.0009642008240483519	0.050869905544619946	0	0	15.018773466833544	104.29353133439531	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	3/236	0.000976102220739044	0.04978121325769125	0	0	14.955134596211368	103.66814420745266	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	3/236	0.000976102220739044	0.04817536766873347	0	0	14.955134596211368	103.66814420745266	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	3/236	0.000976102220739044	0.046669887429085545	0	0	14.955134596211368	103.66814420745266	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	3/236	0.000976102220739044	0.04525564841608296	0	0	14.955134596211368	103.66814420745266	FGB;FGA;FGG
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	3/239	0.0010123669033533502	0.045556510650900765	0	0	14.767413241447208	101.82816964463476	FGB;FGA;FGG
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	3/239	0.0010123669033533502	0.04425489606087503	0	0	14.767413241447208	101.82816964463476	FGB;FGA;FGG
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	3/240	0.001024642938147268	0.04354732487125889	0	0	14.705882352941178	101.22663353099752	FGB;FGA;FGG
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	3/241	0.0010370133630348132	0.04288190393089904	0	0	14.644862094215279	100.63085863178884	FGB;FGA;FGG
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	3/242	0.0010494784688618542	0.042255317298911514	0	0	14.584346135148275	100.04076715404804	FGB;FGA;FGG
Reactome_2016	Signaling by Leptin Homo sapiens R-HSA-2586552	3/243	0.0010620385452050165	0.04166458908111989	0	0	14.524328249818444	99.45628267103932	FGB;FGA;FGG
Reactome_2016	Interleukin receptor SHC signaling Homo sapiens R-HSA-912526	3/245	0.001087444765440651	0.041594762278104914	0	0	14.40576230492197	98.30383558257928	FGB;FGA;FGG
Reactome_2016	Signalling to RAS Homo sapiens R-HSA-167044	3/246	0.0011002914852443401	0.041059657863996096	0	0	14.347202295552368	97.735726652723	FGB;FGA;FGG
Reactome_2016	VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921	3/248	0.001126273578445804	0.04102853750052572	0	0	14.231499051233394	96.61538160204769	FGB;FGA;FGG
Reactome_2016	Interleukin-2 signaling Homo sapiens R-HSA-451927	3/252	0.0011794003606244564	0.041964710505939966	0	0	14.005602240896359	94.43626244577723	FGB;FGA;FGG
Reactome_2016	Signalling to ERKs Homo sapiens R-HSA-187687	3/253	0.001192925917572083	0.04148128758830198	0	0	13.95024412927226	93.90392330230708	FGB;FGA;FGG
Reactome_2016	Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988	3/261	0.0013046857625304874	0.04435931592603656	0	0	13.52265043948614	89.81464587152193	FGB;FGA;FGG
Reactome_2016	NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165	3/266	0.0013777874425951598	0.04582640841675206	0	0	13.26846528084918	87.4030477967071	FGB;FGA;FGG
Reactome_2016	Extracellular matrix organization Homo sapiens R-HSA-1474244	3/283	0.0016455509519189384	0.05356793524331864	0	0	12.471419663271673	79.93780950730869	FGB;FGA;FGG
Reactome_2016	IRS-mediated signalling Homo sapiens R-HSA-112399	3/284	0.0016622449976559494	0.05298405930028339	0	0	12.427506213753107	79.53089704309274	FGB;FGA;FGG
Reactome_2016	MAPK family signaling cascades Homo sapiens R-HSA-5683057	3/284	0.0016622449976559494	0.05190275196762455	0	0	12.427506213753107	79.53089704309274	FGB;FGA;FGG
Reactome_2016	Insulin receptor signalling cascade Homo sapiens R-HSA-74751	3/287	0.001712966924454789	0.05241678788831655	0	0	12.297601967616314	78.32992459572887	FGB;FGA;FGG
Reactome_2016	IGF1R signaling cascade Homo sapiens R-HSA-2428924	3/288	0.0017300883530417116	0.05190265059125135	0	0	12.254901960784313	77.93606373350686	FGB;FGA;FGG
Reactome_2016	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192	3/288	0.0017300883530417116	0.05090452269526575	0	0	12.254901960784313	77.93606373350686	FGB;FGA;FGG
Reactome_2016	IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928	3/288	0.0017300883530417116	0.04994406000290224	0	0	12.254901960784313	77.93606373350686	FGB;FGA;FGG
Reactome_2016	FCERI mediated MAPK activation Homo sapiens R-HSA-2871796	3/289	0.0017473172674739106	0.049507322578427465	0	0	12.212497455729695	77.5453733844055	FGB;FGA;FGG
Reactome_2016	Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	4/659	0.0019735225050982468	0.0548998078690967	0	0	7.140944389895563	44.473339350380726	ALB;APOA2;APOC3;APOA1
Reactome_2016	Signaling by Insulin receptor Homo sapiens R-HSA-74752	3/311	0.002154055098399999	0.05885186250985711	0	0	11.348590883298659	69.68492287878425	FGB;FGA;FGG
Reactome_2016	VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097	3/320	0.0023360866420818315	0.06270548355061759	0	0	11.029411764705882	66.83027343498176	FGB;FGA;FGG
Reactome_2016	Signaling by SCF-KIT Homo sapiens R-HSA-1433557	3/325	0.0024412391362799326	0.06439820480186717	0	0	10.85972850678733	65.32397675128867	FGB;FGA;FGG
Reactome_2016	Signaling by VEGF Homo sapiens R-HSA-194138	3/328	0.0025057259929933194	0.06497899608948778	0	0	10.760401721664277	64.44594801512304	FGB;FGA;FGG
Reactome_2016	Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	3/329	0.002527455543161384	0.06445011635061529	0	0	10.727695333452528	64.15743461267294	FGB;FGA;FGG
Reactome_2016	Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	3/329	0.002527455543161384	0.06339355706617897	0	0	10.727695333452528	64.15743461267294	FGB;FGA;FGG
Reactome_2016	Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	3/329	0.002527455543161384	0.06237108033930513	0	0	10.727695333452528	64.15743461267294	FGB;FGA;FGG
Reactome_2016	Signaling by ERBB4 Homo sapiens R-HSA-1236394	3/330	0.0025493024368510816	0.06191163060924056	0	0	10.695187165775401	63.87096803647719	FGB;FGA;FGG
Reactome_2016	Signaling by FGFR4 Homo sapiens R-HSA-5654743	3/332	0.002593349157933374	0.061997253306844725	0	0	10.630758327427355	63.30409419682176	FGB;FGA;FGG
Reactome_2016	Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	3/332	0.002593349157933374	0.06104344940981634	0	0	10.630758327427355	63.30409419682176	FGB;FGA;FGG
Reactome_2016	Signaling by FGFR3 Homo sapiens R-HSA-5654741	3/333	0.002615549434340006	0.0606331914324274	0	0	10.598834128245896	63.023647003717784	FGB;FGA;FGG
Reactome_2016	Signaling by FGFR1 Homo sapiens R-HSA-5654736	3/336	0.002682860612125389	0.061265324426146926	0	0	10.504201680672267	62.194030053925324	FGB;FGA;FGG
Reactome_2016	Downstream signal transduction Homo sapiens R-HSA-186763	3/341	0.002797427036785544	0.06294210832767473	0	0	10.350181128169744	60.8492861793651	FGB;FGA;FGG
Reactome_2016	DAP12 signaling Homo sapiens R-HSA-2424491	3/344	0.002867605234669712	0.06358602911658925	0	0	10.259917920656637	60.06441187278368	FGB;FGA;FGG
Reactome_2016	Signaling by EGFR Homo sapiens R-HSA-177929	3/355	0.0031342599922456068	0.06850596840193968	0	0	9.942004971002484	57.319259452109506	FGB;FGA;FGG
Reactome_2016	DAP12 interactions Homo sapiens R-HSA-2172127	3/359	0.0032349004433690712	0.0697098264556997	0	0	9.83123054235622	56.36988818302575	FGB;FGA;FGG
Reactome_2016	Signaling by FGFR2 Homo sapiens R-HSA-5654738	3/361	0.0032859627869544963	0.06982670922278306	0	0	9.77676389115203	55.90447043333155	FGB;FGA;FGG
Reactome_2016	Signaling by PDGF Homo sapiens R-HSA-186797	3/364	0.003363488574930609	0.07049503451566894	0	0	9.696186166774405	55.21761387153531	FGB;FGA;FGG
