Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Platelet degranulation Homo sapiens R-HSA-114608	7/105	6.951275034893597e-14	1.0635450803387204e-10	0	0	111.11111111111113	3366.362911212031	FGB;FGA;ORM1;APOH;FGG;ALB;ORM2
Reactome_2016	Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	7/110	9.708006645552864e-14	7.426625083847941e-11	0	0	106.06060606060606	3177.9194288872704	FGB;FGA;ORM1;APOH;FGG;ALB;ORM2
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	7/253	3.5795992395065566e-11	1.8255956121483438e-08	0	0	46.1133069828722	1109.1719118011874	FGB;FGA;ORM1;APOH;FGG;ALB;ORM2
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	7/552	8.250870688307462e-09	3.155958038277604e-06	0	0	21.135265700483092	393.3895825161332	FGB;FGA;ORM1;APOH;FGG;ALB;ORM2
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins Homo sapiens R-HSA-354194	3/15	7.477303779394712e-08	2.288054956494782e-05	0	0	333.33333333333337	5469.602824748834	FGB;FGA;FGG
Reactome_2016	p130Cas linkage to MAPK signaling for integrins Homo sapiens R-HSA-372708	3/15	7.477303779394712e-08	1.906712463745652e-05	0	0	333.33333333333337	5469.602824748834	FGB;FGA;FGG
Reactome_2016	Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	3/22	2.524850480879744e-07	5.51860176535144e-05	0	0	227.27272727272728	3452.7076830630626	FGB;FGA;FGG
Reactome_2016	Integrin alphaIIb beta3 signaling Homo sapiens R-HSA-354192	3/27	4.787528381041481e-07	9.156148028741833e-05	0	0	185.1851851851852	2694.829883021157	FGB;FGA;FGG
Reactome_2016	Lipoprotein metabolism Homo sapiens R-HSA-174824	3/34	9.77134651221229e-07	0.0001661128907076089	0	0	147.05882352941182	2035.0943196019714	ALB;APOA2;APOC3
Reactome_2016	Platelet Aggregation (Plug Formation) Homo sapiens R-HSA-76009	3/37	1.2674919418847194e-06	0.0001939262671083621	0	0	135.13513513513516	1834.9284404038767	FGB;FGA;FGG
Reactome_2016	MAP2K and MAPK activation Homo sapiens R-HSA-5674135	3/38	1.375670762550261e-06	0.00019134329697289995	0	0	131.57894736842107	1775.864357695463	FGB;FGA;FGG
Reactome_2016	Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877	3/39	1.4898081438248103e-06	0.00018995053833766333	0	0	128.20512820512823	1720.110667798872	FGB;FGA;FGG
Reactome_2016	Scavenging of heme from plasma Homo sapiens R-HSA-2168880	3/46	2.468761439877347e-06	0.0002905542310009493	0	0	108.69565217391305	1403.4558667862336	AMBP;ALB;HP
Reactome_2016	Integrin cell surface interactions Homo sapiens R-HSA-216083	3/67	7.735922257537886e-06	0.0008454257895737832	0	0	74.6268656716418	878.3310335300772	FGB;FGA;FGG
Reactome_2016	Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923	3/71	9.21720330437406e-06	0.0009401547370461539	0	0	70.4225352112676	816.5097813840132	ALB;APOA2;APOC3
Reactome_2016	Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	3/74	1.0443377148097947e-05	0.0009986479397868662	0	0	67.56756756756758	774.9690909594666	AMBP;ALB;HP
Reactome_2016	Chylomicron-mediated lipid transport Homo sapiens R-HSA-174800	2/17	4.465619417260624e-05	0.004019057475534562	0	0	196.078431372549	1964.0230456849977	APOA2;APOC3
Reactome_2016	HDL-mediated lipid transport Homo sapiens R-HSA-194223	2/19	5.6111289598260925e-05	0.0047694596158521785	0	0	175.4385964912281	1717.2234254510681	ALB;APOC3
Reactome_2016	Retinoid metabolism and transport Homo sapiens R-HSA-975634	2/42	0.0002803710227625998	0.022577245517198828	0	0	79.36507936507937	649.15847227345	APOA2;APOC3
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	3/235	0.0003257914504036951	0.02492304595588268	0	0	21.27659574468085	170.83517242543587	FGB;FGA;FGG
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	3/235	0.0003257914504036951	0.023736234243697786	0	0	21.27659574468085	170.83517242543587	FGB;FGA;FGG
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	3/235	0.0003257914504036951	0.022657314505347886	0	0	21.27659574468085	170.83517242543587	FGB;FGA;FGG
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	3/235	0.0003257914504036951	0.021672213874680588	0	0	21.27659574468085	170.83517242543587	FGB;FGA;FGG
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	3/235	0.0003257914504036951	0.020769204963235564	0	0	21.27659574468085	170.83517242543587	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	3/236	0.0003298743905111171	0.02018831269928037	0	0	21.186440677966107	169.84742819445688	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	3/236	0.0003298743905111171	0.01941183913392343	0	0	21.186440677966107	169.84742819445688	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	3/236	0.0003298743905111171	0.018692882128963303	0	0	21.186440677966107	169.84742819445688	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	3/236	0.0003298743905111171	0.018025279195786042	0	0	21.186440677966107	169.84742819445688	FGB;FGA;FGG
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	3/239	0.0003423218126289937	0.01806042666628829	0	0	20.92050209205021	166.94057093597203	FGB;FGA;FGG
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	3/239	0.0003423218126289937	0.01745841244407868	0	0	20.92050209205021	166.94057093597203	FGB;FGA;FGG
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	3/240	0.0003465375445121919	0.01710330461624689	0	0	20.833333333333336	165.98998732570004	FGB;FGA;FGG
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	3/241	0.0003507867667551523	0.01677199228548072	0	0	20.74688796680498	165.04838218308433	FGB;FGA;FGG
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	3/242	0.00035506959605595466	0.016462317635321532	0	0	20.66115702479339	164.11563517510686	FGB;FGA;FGG
Reactome_2016	Signaling by Leptin Homo sapiens R-HSA-2586552	3/243	0.00035938614881214257	0.016172376696546416	0	0	20.5761316872428	163.19162806815314	FGB;FGA;FGG
