Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	IRS activation_Homo sapiens_R-HSA-74713	1/5	0.0027472053583369213	1.0	0	0	363.6363636363636	2144.4258608548644	INS
Reactome_2016	Signal attenuation_Homo sapiens_R-HSA-74749	1/10	0.005487567669022947	1.0	0	0	181.8181818181818	946.4127580312836	INS
Reactome_2016	Synthesis, secretion, and deacylation of Ghrelin_Homo sapiens_R-HSA-422085	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.1485279087759	INS
Reactome_2016	Regulation of gene expression in beta cells_Homo sapiens_R-HSA-210745	1/20	0.01094777970285598	1.0	0	0	90.9090909090909	410.4198736492794	INS
Reactome_2016	Insulin processing_Homo sapiens_R-HSA-264876	1/24	0.013124225781325726	1.0	0	0	75.75757575757575	328.27995911619576	INS
Reactome_2016	Insulin receptor recycling_Homo sapiens_R-HSA-77387	1/26	0.014210815676953212	1.0	0	0	69.93006993006993	297.46517041295465	INS
Reactome_2016	Regulation of beta-cell development_Homo sapiens_R-HSA-186712	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	INS
Reactome_2016	Amyloid fiber formation_Homo sapiens_R-HSA-977225	1/68	0.0367794749552908	1.0	0	0	26.7379679144385	88.31057045950347	INS
Reactome_2016	COPI-mediated anterograde transport_Homo sapiens_R-HSA-6807878	1/78	0.04208325933054256	1.0	0	0	23.310023310023308	73.84860741208578	INS
Reactome_2016	Regulation of insulin secretion_Homo sapiens_R-HSA-422356	1/80	0.04314082499469826	1.0	0	0	22.72727272727273	71.43830714872377	INS
Reactome_2016	Peptide hormone metabolism_Homo sapiens_R-HSA-2980736	1/81	0.043669209702019214	1.0	0	0	22.446689113355774	70.28309783824933	INS
Reactome_2016	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling_Homo sapiens_R-HSA-6811558	1/83	0.044725183473176736	1.0	0	0	21.90580503833516	68.0661237096331	INS
Reactome_2016	Negative regulation of the PI3K/AKT network_Homo sapiens_R-HSA-199418	1/90	0.04841274991635465	1.0	0	0	20.2020202020202	61.171557008621505	INS
Reactome_2016	Integration of energy metabolism_Homo sapiens_R-HSA-163685	1/110	0.05887746455604018	1.0	0	0	16.528925619834713	46.814824242929475	INS
Reactome_2016	PI-3K cascade:FGFR1_Homo sapiens_R-HSA-5654689	1/122	0.06510596618845048	1.0	0	0	14.903129657228018	40.711461809939244	INS
Reactome_2016	PI-3K cascade:FGFR3_Homo sapiens_R-HSA-5654710	1/122	0.06510596618845048	1.0	0	0	14.903129657228018	40.711461809939244	INS
Reactome_2016	PI3K events in ERBB4 signaling_Homo sapiens_R-HSA-1250342	1/122	0.06510596618845048	1.0	0	0	14.903129657228018	40.711461809939244	INS
