Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799	1/10	0.001998613376756605	1.0	0	0	500.0	3107.6508252477684	SNAP25
Reactome_2016	RHO GTPases activate KTN1 Homo sapiens R-HSA-5625970	1/11	0.002198311030839341	1.0	0	0	454.54545454545456	2781.848148507021	KIF5A
Reactome_2016	Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	1/17	0.0033958692395375514	1.0	0	0	294.11764705882354	1672.1163280979458	SNAP25
Reactome_2016	Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	1/18	0.0035953576273759936	1.0	0	0	277.77777777777777	1563.364392681569	SNAP25
Reactome_2016	Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430	1/18	0.0035953576273759936	1.0	0	0	277.77777777777777	1563.364392681569	SNAP25
Reactome_2016	GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590	1/19	0.0037948161126764627	0.967678108732498	0	0	263.1578947368421	1466.8735064384866	SNAP25
Reactome_2016	Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	1/23	0.004592351033521324	1.0	0	0	217.3913043478261	1170.2963431096607	SNAP25
Reactome_2016	Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	1/24	0.004791660011821214	0.9164049772608072	0	0	208.3333333333333	1112.6829937093976	SNAP25
Reactome_2016	Insulin processing Homo sapiens R-HSA-264876	1/24	0.004791660011821214	0.8145822020096064	0	0	208.3333333333333	1112.6829937093976	KIF5A
Reactome_2016	Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562	1/27	0.005389407557575397	0.8245793563090358	0	0	185.1851851851852	967.2814472609157	SNAP25
Reactome_2016	Kinesins Homo sapiens R-HSA-983189	1/44	0.008771563165193935	1.0	0	0	113.63636363636364	538.2091191404542	KIF5A
Reactome_2016	Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	1/51	0.010161706815005046	1.0	0	0	98.0392156862745	449.9145938566948	SNAP25
Reactome_2016	Regulation of insulin secretion Homo sapiens R-HSA-422356	1/80	0.015905307995294663	1.0	0	0	62.5	258.81889933029976	SNAP25
Reactome_2016	Peptide hormone metabolism Homo sapiens R-HSA-2980736	1/81	0.01610291644199292	1.0	0	0	61.72839506172839	254.86141221797402	KIF5A
Reactome_2016	COPI-dependent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811434	1/81	0.01610291644199292	1.0	0	0	61.72839506172839	254.86141221797402	KIF5A
Reactome_2016	MHC class II antigen presentation Homo sapiens R-HSA-2132295	1/103	0.020442779355697386	1.0	0	0	48.543689320388346	188.8410459507009	KIF5A
Reactome_2016	Integration of energy metabolism Homo sapiens R-HSA-163685	1/110	0.021820629685473325	1.0	0	0	45.45454545454545	173.85906549155703	SNAP25
Reactome_2016	Golgi-to-ER retrograde transport Homo sapiens R-HSA-8856688	1/110	0.021820629685473325	1.0	0	0	45.45454545454545	173.85906549155703	KIF5A
Reactome_2016	Factors involved in megakaryocyte development and platelet production Homo sapiens R-HSA-983231	1/141	0.0279050759783193	1.0	0	0	35.460992907801426	126.91300255305477	KIF5A
Reactome_2016	Intra-Golgi and retrograde Golgi-to-ER traffic Homo sapiens R-HSA-6811442	1/179	0.03532465949288908	1.0	0	0	27.93296089385475	93.38474831634414	KIF5A
Reactome_2016	Transmission across Chemical Synapses Homo sapiens R-HSA-112315	1/211	0.04153971951500686	1.0	0	0	23.696682464454977	75.38164011192862	SNAP25
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	1/255	0.05003633516673296	1.0	0	0	19.6078431372549	58.725604590987174	KIF5A
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	1/301	0.05885863177620021	1.0	0	0	16.611295681063122	47.05343491427646	SNAP25
Reactome_2016	Infectious disease Homo sapiens R-HSA-5663205	1/348	0.06780910590737588	1.0	0	0	14.367816091954026	38.6646377533826	SNAP25
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	1/367	0.07140920213462891	1.0	0	0	13.623978201634875	35.95815444827954	KIF5A
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	1/420	0.08139647401443288	1.0	0	0	11.904761904761903	29.862182424855362	KIF5A
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	1/492	0.09483476599018936	1.0	0	0	10.16260162601626	23.93921958430691	KIF5A
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	1/552	0.10592025423377477	1.0	0	0	9.057971014492754	20.33576799413929	KIF5A
Reactome_2016	Disease Homo sapiens R-HSA-1643685	1/725	0.13731382411237955	1.0	0	0	6.896551724137932	13.69300886776526	SNAP25
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	1/762	0.14391927724208972	1.0	0	0	6.561679790026246	12.719834063612804	KIF5A
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.19812221786170497	1.0	0	0	4.655493482309124	7.536644212232701	KIF5A
Reactome_2016	Immune System Homo sapiens R-HSA-168256	1/1547	0.2753349996712561	1.0	0	0	3.232062055591467	4.16860614761733	KIF5A
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	1/1908	0.3304039250735147	1.0	0	0	2.6205450733752618	2.9020947527343406	SNAP25
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	1/2465	0.40913922579283774	1.0	0	0	2.028397565922921	1.812778449295404	KIF5A
