Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Immune System Homo sapiens R-HSA-168256	39/1547	4.1052598593764473e-22	6.281047584845964e-19	0	0	6.148800983808157	302.79526338490297	CD86;C1QB;LILRA6;CSF1R;C1QA;SIGLEC9;ITGAM;NCF2;ITGB2;LILRA1;IL2RG;LILRA2;RASGRP4;FCGR3A;C3AR1;CD14;CD300LF;FCGR1A;FCGR1B;LAIR1;FCER1G;LY86;CYBB;IRAK3;LILRB2;LILRB3;LILRB4;LILRB5;OSCAR;LAT2;FGR;HCK;TYROBP;FCGR2A;CD209;CD300E;SIGLEC1;TLR2;C1QC
Reactome_2016	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	17/157	7.035163515581436e-20	5.381900089419799e-17	0	0	26.409818238309768	1164.6936084345787	LILRA6;SIGLEC9;ITGB2;LILRB2;LILRA1;LILRB3;LILRA2;LILRB4;LILRB5;OSCAR;FCGR3A;TYROBP;CD300E;SIGLEC1;CD300LF;FCGR1A;LAIR1
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	23/807	8.773987177505172e-14	4.474733460527638e-11	0	0	6.951370628947925	208.98878686301072	CD86;C1QB;C1QA;FCER1G;ITGAM;ITGB2;LY86;IRAK3;IL2RG;RASGRP4;LAT2;FGR;HCK;FCGR3A;TYROBP;FCGR2A;CD209;C3AR1;CD300E;CD14;FCGR1A;TLR2;C1QC
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	21/762	2.4677549749287347e-12	9.439162779102413e-10	0	0	6.721720760514691	179.65621861864776	CD86;LILRA6;SIGLEC9;NCF2;ITGB2;CYBB;LILRB2;LILRA1;LILRB3;LILRA2;LILRB4;LILRB5;OSCAR;FCGR3A;TYROBP;CD300E;SIGLEC1;CD300LF;FCGR1A;FCGR1B;LAIR1
Reactome_2016	FCGR activation Homo sapiens R-HSA-2029481	5/49	1.6947639531798425e-06	0.0005185977696730317	0	0	24.88800398208064	330.7109777872172	FGR;HCK;FCGR3A;FCGR2A;FCGR1A
Reactome_2016	Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016	6/122	1.0918718669843359e-05	0.0027842732608100557	0	0	11.995201919232304	137.0455649635175	ITGAM;ITGB2;LY86;IRAK3;CD14;TLR2
Reactome_2016	Toll-Like Receptors Cascades Homo sapiens R-HSA-168898	6/140	2.390155357352439e-05	0.005224196709641761	0	0	10.452961672473867	111.23589301111237	ITGAM;ITGB2;LY86;IRAK3;CD14;TLR2
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	5/120	0.00013495092063596292	0.02580936357162791	0	0	10.162601626016258	90.55487191535765	FGR;HCK;FCGR3A;FCGR2A;FCGR1A
Reactome_2016	Complement cascade Homo sapiens R-HSA-166658	4/80	0.00032756422807050115	0.055685918771985206	0	0	12.19512195121951	97.85154153501756	C1QB;C1QA;C3AR1;C1QC
Reactome_2016	Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	4/82	0.00036001027681550787	0.05508157235277271	0	0	11.897679952409279	94.3412014302418	NCF2;CYBB;FCGR1A;FCGR1B
