Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Apoptotic cleavage of cell adhesion  proteins Homo sapiens R-HSA-351906	1/11	0.013667656724254872	1.0	0	0	72.72727272727273	312.19804075139365	DSG3
Reactome_2016	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	1/18	0.02227172987906945	1.0	0	0	44.444444444444436	169.08609436347626	MUC21
Reactome_2016	Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	1/18	0.02227172987906945	1.0	0	0	44.444444444444436	169.08609436347626	MUC21
Reactome_2016	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	1/20	0.02471677377849272	1.0	0	0	40.0	148.0109266195467	MUC21
Reactome_2016	Termination of O-glycan biosynthesis Homo sapiens R-HSA-977068	1/26	0.032016739803822636	1.0	0	0	30.76923076923077	105.89219674129015	MUC21
Reactome_2016	Amine compound SLC transporters Homo sapiens R-HSA-425428	1/30	0.03685421322624585	1.0	0	0	26.666666666666664	88.02094219692344	RHCG
Reactome_2016	Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	1/37	0.045264002735693316	1.0	0	0	21.621621621621625	66.92417738344466	DSG3
Reactome_2016	Apoptotic execution  phase Homo sapiens R-HSA-75153	1/51	0.0618726005630431	1.0	0	0	15.68627450980392	43.649848433322354	DSG3
Reactome_2016	Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	1/62	0.07472727643781603	1.0	0	0	12.903225806451614	33.46980783315944	MUC21
Reactome_2016	O-linked glycosylation of mucins Homo sapiens R-HSA-913709	1/66	0.07935964428957401	1.0	0	0	12.12121212121212	30.712306645500554	MUC21
Reactome_2016	Diseases of glycosylation Homo sapiens R-HSA-3781865	1/88	0.10444235925783217	1.0	0	0	9.090909090909092	20.537454052784287	MUC21
Reactome_2016	Interferon gamma signaling Homo sapiens R-HSA-877300	1/93	0.11005078468978403	1.0	0	0	8.60215053763441	18.983340565442084	GBP6
Reactome_2016	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366	1/101	0.11895419601985732	1.0	0	0	7.920792079207921	16.863499147426776	RHCG
Reactome_2016	O-linked glycosylation Homo sapiens R-HSA-5173105	1/110	0.1288683209334415	1.0	0	0	7.272727272727272	14.901557555757833	MUC21
Reactome_2016	Apoptosis Homo sapiens R-HSA-109581	1/163	0.1851145024353324	1.0	0	0	4.9079754601227	8.278678347388466	DSG3
Reactome_2016	Programmed Cell Death Homo sapiens R-HSA-5357801	1/166	0.18819170203720886	1.0	0	0	4.819277108433735	8.049610332517252	DSG3
Reactome_2016	Interferon Signaling Homo sapiens R-HSA-913531	1/196	0.21835641243624565	1.0	0	0	4.081632653061224	6.210720946067735	GBP6
Reactome_2016	SLC-mediated transmembrane transport Homo sapiens R-HSA-425407	1/268	0.2864251586265837	1.0	0	0	2.985074626865672	3.732173144439325	RHCG
Reactome_2016	Post-translational protein modification Homo sapiens R-HSA-597592	1/521	0.4832949333153162	1.0	0	0	1.5355086372360844	1.116511606456737	MUC21
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	1/594	0.5296167278067399	1.0	0	0	1.3468013468013469	0.8560292109365059	RHCG
Reactome_2016	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	1/620	0.5451307983963689	1.0	0	0	1.2903225806451613	0.7828767949109959	GBP6
Reactome_2016	Disease Homo sapiens R-HSA-1643685	1/725	0.6029315363991191	1.0	0	0	1.1034482758620692	0.5582914504947111	MUC21
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.7486072761291941	1.0	0	0	0.74487895716946	0.21567282227940954	MUC21
Reactome_2016	Immune System Homo sapiens R-HSA-168256	1/1547	0.8665304808557305	1.0	0	0	0.5171299288946347	0.07408299597270426	GBP6
