Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Nef and signal transduction Homo sapiens R-HSA-164944	1/8	0.001998563431658992	1.0	0	0	500.0	3107.663320341183	CD247
Reactome_2016	FGFR2b ligand binding and activation Homo sapiens R-HSA-190377	1/10	0.002497707864196744	1.0	0	0	400.0	2396.9527287989176	FGFBP2
Reactome_2016	NOTCH2 intracellular domain regulates transcription Homo sapiens R-HSA-2197563	1/12	0.002996653029893649	1.0	0	0	333.3333333333333	1936.7530899414508	GZMB
Reactome_2016	Lysosphingolipid and LPA receptors Homo sapiens R-HSA-419408	1/14	0.0034953988931204693	1.0	0	0	285.7142857142857	1616.0879363712995	S1PR5
Reactome_2016	FGFR2 ligand binding and activation Homo sapiens R-HSA-190241	1/20	0.0049904406959516605	1.0	0	0	200.0	1060.0462114592692	FGFBP2
Reactome_2016	Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430	1/21	0.005239439972471158	1.0	0	0	190.47619047619045	1000.2934593987393	CD247
Reactome_2016	Phosphorylation of CD3 and TCR zeta chains Homo sapiens R-HSA-202427	1/24	0.005986138987596017	1.0	0	0	166.66666666666666	853.0514418407834	CD247
Reactome_2016	PD-1 signaling Homo sapiens R-HSA-389948	1/26	0.006483689369798885	1.0	0	0	153.84615384615384	775.1485512989827	CD247
Reactome_2016	The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	1/28	0.006981040634233312	1.0	0	0	142.85714285714286	709.2224693316177	CD247
Reactome_2016	Signaling by NOTCH2 Homo sapiens R-HSA-1980145	1/32	0.007975146000148757	1.0	0	0	125.0	603.9281654062651	GZMB
Reactome_2016	Generation of second messenger molecules Homo sapiens R-HSA-202433	1/35	0.008720202703732128	1.0	0	0	114.28571428571428	541.9557480560673	CD247
Reactome_2016	Intrinsic Pathway for Apoptosis Homo sapiens R-HSA-109606	1/42	0.01045692833454581	1.0	0	0	95.23809523809523	434.33243064158194	GZMB
Reactome_2016	FCGR activation Homo sapiens R-HSA-2029481	1/49	0.012191219830698688	1.0	0	0	81.63265306122447	359.7583079469001	CD247
Reactome_2016	Role of phospholipids in phagocytosis Homo sapiens R-HSA-2029485	1/60	0.014911622845291097	1.0	0	0	66.66666666666667	280.37428755906024	CD247
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	3/2465	0.015418366686314019	1.0	0	0	4.86815415821501	20.31089251875008	FGFBP2;GZMB;S1PR5
Reactome_2016	Costimulation by the CD28 family Homo sapiens R-HSA-388841	1/72	0.017872497764870262	1.0	0	0	55.55555555555554	223.58289918794375	CD247
Reactome_2016	Regulation of actin dynamics for phagocytic cup formation Homo sapiens R-HSA-2029482	1/97	0.024018125407556302	1.0	0	0	41.23711340206185	153.77099003540124	CD247
Reactome_2016	Downstream TCR signaling Homo sapiens R-HSA-202424	1/99	0.024508443549026968	1.0	0	0	40.40404040404041	149.84798327879497	CD247
Reactome_2016	TCR signaling Homo sapiens R-HSA-202403	1/118	0.029156645820732525	1.0	0	0	33.898305084745765	119.83296288751222	CD247
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	1/120	0.029644897761851068	1.0	0	0	33.333333333333336	117.28217501924136	CD247
Reactome_2016	Signaling by NOTCH Homo sapiens R-HSA-157118	1/122	0.03013295326191356	1.0	0	0	32.786885245901644	114.82412830561493	GZMB
Reactome_2016	Host Interactions of HIV factors Homo sapiens R-HSA-162909	1/129	0.031839601372016635	1.0	0	0	31.00775193798449	106.8850988467418	CD247
Reactome_2016	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	1/157	0.03864218727302653	1.0	0	0	25.477707006369428	82.8894436890476	CD247
Reactome_2016	Apoptosis Homo sapiens R-HSA-109581	1/163	0.04009489722901885	1.0	0	0	24.539877300613494	78.93266758069667	GZMB
Reactome_2016	Programmed Cell Death Homo sapiens R-HSA-5357801	1/166	0.04082059338391608	1.0	0	0	24.09638554216868	77.07394180984201	GZMB
