Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	11/157	3.412025662232549e-17	5.2203992632158e-14	0	0	53.89514943655071	2043.5230021136808	CD96;KLRK1;CD8B;CD8A;CD226;CD3G;SLAMF6;CD247;CD3E;ITGAL;CD3D
Reactome_2016	Generation of second messenger molecules Homo sapiens R-HSA-202433	7/35	1.7025626367852334e-14	1.3024604171407034e-11	0	0	153.84615384615387	4877.547192690555	ZAP70;ITK;LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	14/762	7.625295622102507e-14	3.888900767272279e-11	0	0	14.13284877851807	426.87874312626764	CD96;ITK;CD3G;CD3E;ITGAL;CD3D;ZAP70;KLRK1;CD8B;LCK;CD8A;CD226;SLAMF6;CD247
Reactome_2016	Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430	6/21	1.387974236141754e-13	5.309001453242209e-11	0	0	219.78021978021977	6506.760639311599	ZAP70;LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Immune System Homo sapiens R-HSA-168256	17/1547	1.8617958447546815e-13	5.6970952849493246e-11	0	0	8.453085376162301	247.77738528375198	CD96;ITK;CD3G;RASAL3;CD3E;ITGAL;CD3D;ZAP70;KLRK1;CD8B;LCK;CD8A;CAMK4;IL2RB;CD226;SLAMF6;CD247
Reactome_2016	Phosphorylation of CD3 and TCR zeta chains Homo sapiens R-HSA-202427	5/24	1.0314213002653998e-10	2.6301243156767693e-08	0	0	160.25641025641028	3685.082239698729	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	TCR signaling Homo sapiens R-HSA-202403	7/118	1.245905676161077e-10	2.7231938350377834e-08	0	0	45.63233376792699	1040.6904660775244	ZAP70;ITK;LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	PD-1 signaling Homo sapiens R-HSA-389948	5/26	1.5934683711023353e-10	3.047508259733216e-08	0	0	147.92899408284026	3337.2689236625097	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Costimulation by the CD28 family Homo sapiens R-HSA-388841	5/72	3.255764346761215e-08	5.534799389494067e-06	0	0	53.41880341880343	920.9537218752464	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Downstream TCR signaling Homo sapiens R-HSA-202424	5/99	1.6254104502525313e-07	2.486877988886373e-05	0	0	38.85003885003885	607.3168330341878	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	8/807	5.54952702803116e-06	0.000771888759353425	0	0	7.625583833762272	92.28327407501244	ITK;KLRK1;LCK;CAMK4;IL2RB;CD3G;CD247;RASAL3
Reactome_2016	The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	3/28	6.25238536854026e-06	0.0007971791344888831	0	0	82.41758241758242	987.572596818361	CD8B;LCK;CD247
Reactome_2016	Nef and signal transduction Homo sapiens R-HSA-164944	2/8	4.528214327454185e-05	0.0053293599392345405	0	0	192.3076923076923	1923.5764983438146	LCK;CD247
Reactome_2016	DAP12 signaling Homo sapiens R-HSA-2424491	5/344	7.144455765765245e-05	0.007807869515443447	0	0	11.180679785330947	106.73735271054741	KLRK1;LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	DAP12 interactions Homo sapiens R-HSA-2172127	5/359	8.738663472861631e-05	0.008913436742318866	0	0	10.713520462824084	100.11965082195805	KLRK1;LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	3/101	0.00029867111449792365	0.02856042532386395	0	0	22.84843869002285	185.44175646937214	CD2;LCK;ITGAL
Reactome_2016	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters Homo sapiens R-HSA-164938	2/21	0.00033610896412624667	0.030249806771362207	0	0	73.26007326007326	585.939571617547	CD8B;LCK
Reactome_2016	Host Interactions of HIV factors Homo sapiens R-HSA-162909	3/129	0.0006114624687727868	0.05197430984568687	0	0	17.88908765652952	132.37311235060469	CD8B;LCK;CD247
Reactome_2016	Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	4/329	0.0008074443437873144	0.06502051821024164	0	0	9.352349777881694	66.60403487814108	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	4/329	0.0008074443437873144	0.06176949229972956	0	0	9.352349777881694	66.60403487814108	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	4/329	0.0008074443437873144	0.05882808790450434	0	0	9.352349777881694	66.60403487814108	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by FGFR4 Homo sapiens R-HSA-5654743	4/332	0.0008352281044943568	0.05808631817619845	0	0	9.267840593141797	65.68865330291807	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	4/332	0.0008352281044943568	0.05556082608158112	0	0	9.267840593141797	65.68865330291807	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by FGFR3 Homo sapiens R-HSA-5654741	4/333	0.0008446380871917371	0.053845678058473234	0	0	9.24000924000924	65.3878708388521	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by FGFR1 Homo sapiens R-HSA-5654736	4/336	0.0008733189225561428	0.05344711806043593	0	0	9.157509157509157	64.49825779215472	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Downstream signal transduction Homo sapiens R-HSA-186763	4/341	0.0009226434330124957	0.054294017404196857	0	0	9.023234829686444	63.05678061083183	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by EGFR Homo sapiens R-HSA-177929	4/355	0.001071209071910278	0.06070184740824908	0	0	8.667388949079093	59.27598955319792	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by FGFR2 Homo sapiens R-HSA-5654738	4/361	0.0011397660598040686	0.06228007398215087	0	0	8.523332623055616	57.762047716450176	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by PDGF Homo sapiens R-HSA-186797	4/364	0.0011751788330756614	0.062000814296750424	0	0	8.453085376162301	57.02734526293109	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Signaling by FGFR Homo sapiens R-HSA-190236	4/366	0.00119921364295179	0.061159895790541284	0	0	8.406893652795294	56.54551689390193	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037	4/374	0.0012988217810176402	0.0641031395147416	0	0	8.227067050596462	54.67953720910856	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	4/395	0.0015877624661817112	0.07591489291431308	0	0	7.789678675754626	50.20782479326642	ITK;LCK;IL2RB;RASAL3
Reactome_2016	FCGR activation Homo sapiens R-HSA-2029481	2/49	0.001840602226266995	0.0853370123087425	0	0	31.397174254317108	197.72880577792614	CD3G;CD247
Reactome_2016	GPVI-mediated activation cascade Homo sapiens R-HSA-114604	2/53	0.002149889115667816	0.09674501020505173	0	0	29.027576197387518	178.2972137091596	LCK;IL2RB
Reactome_2016	Signalling by NGF Homo sapiens R-HSA-166520	4/450	0.002552724998805839	0.11159054994779813	0	0	6.837606837606838	40.824573424987925	LCK;CAMK4;IL2RB;RASAL3
Reactome_2016	Role of phospholipids in phagocytosis Homo sapiens R-HSA-2029485	2/60	0.002746096342176859	0.1167090945425165	0	0	25.64102564102564	151.21986891540703	CD3G;CD247
Reactome_2016	HIV Infection Homo sapiens R-HSA-162906	3/222	0.0029053467418223245	0.12014001391859885	0	0	10.395010395010397	60.719361075355756	CD8B;LCK;CD247
Reactome_2016	Interleukin-2 signaling Homo sapiens R-HSA-451927	3/252	0.004148139482286545	0.1670171949446951	0	0	9.157509157509157	50.22981101451639	LCK;IL2RB;RASAL3
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	4/552	0.005295920467429163	0.20776303372222105	0	0	5.574136008918618	29.213034994089085	CD2;LCK;IL2RB;ITGAL
Reactome_2016	Regulation of actin dynamics for phagocytic cup formation Homo sapiens R-HSA-2029482	2/97	0.007013879876246297	0.26828090526642084	0	0	15.860428231562253	78.66557103401242	CD3G;CD247
Reactome_2016	Signaling by SCF-KIT Homo sapiens R-HSA-1433557	3/325	0.00838050618600472	0.3127359625509078	0	0	7.100591715976332	33.95394292725128	LCK;IL2RB;RASAL3
Reactome_2016	Signaling by ERBB4 Homo sapiens R-HSA-1236394	3/330	0.008736988142182708	0.3182759966080844	0	0	6.9930069930069925	33.14818010393444	LCK;IL2RB;RASAL3
Reactome_2016	Nef Mediated CD8 Down-regulation Homo sapiens R-HSA-182218	1/7	0.009065844334115208	0.32257539142316904	0	0	109.89010989010988	516.839702956574	CD8B
Reactome_2016	Infectious disease Homo sapiens R-HSA-5663205	3/348	0.010094018403976921	0.3509965490473792	0	0	6.631299734748012	30.47620867245804	CD8B;LCK;CD247
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	2/120	0.01056096917746494	0.359072952033808	0	0	12.82051282051282	58.34090034290195	CD3G;CD247
