Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194	3/15	1.9067019051840425e-08	2.917253914931585e-05	0	0	500.0	8887.652872829836	FGB;FGA;FGG
Reactome_2016	p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708	3/15	1.9067019051840425e-08	1.4586269574657926e-05	0	0	500.0	8887.652872829836	FGB;FGA;FGG
Reactome_2016	Platelet degranulation_Homo sapiens_R-HSA-114608	4/105	4.9394329175125314e-08	2.519110787931391e-05	0	0	95.23809523809523	1602.2314488921595	FGB;FGA;FGG;ALB
Reactome_2016	Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005	4/110	5.960686477037238e-08	2.279962577466743e-05	0	0	90.9090909090909	1512.3177353451772	FGB;FGA;FGG;ALB
Reactome_2016	Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875	3/22	6.445110645276673e-08	1.9722038574546618e-05	0	0	340.9090909090909	5644.554184122916	FGB;FGA;FGG
Reactome_2016	Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192	3/27	1.2230165559448216e-07	3.1186922176592964e-05	0	0	277.77777777777777	4421.326460329564	FGB;FGA;FGG
Reactome_2016	Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009	3/37	3.242787968245513e-07	7.087807987736622e-05	0	0	202.70270270270268	3028.715312256452	FGB;FGA;FGG
Reactome_2016	MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135	3/38	3.520084454182952e-07	6.732161518624895e-05	0	0	197.36842105263162	2932.81789519155	FGB;FGA;FGG
Reactome_2016	Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877	3/39	3.8127132962741454e-07	6.481612603666049e-05	0	0	192.3076923076923	2842.260493081929	FGB;FGA;FGG
Reactome_2016	Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002	4/253	1.6819906282099026e-06	0.0002573445661161151	0	0	39.525691699604735	525.5151212744037	FGB;FGA;FGG;ALB
Reactome_2016	Integrin cell surface interactions_Homo sapiens_R-HSA-216083	3/67	1.9881177381481772e-06	0.000276529103578792	0	0	111.94029850746269	1469.5883089995864	FGB;FGA;FGG
Reactome_2016	Hemostasis_Homo sapiens_R-HSA-109582	4/552	3.678357901657315e-05	0.0046899063246130775	0	0	18.115942028985508	184.97208396289764	FGB;FGA;FGG;ALB
Reactome_2016	GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812	3/235	8.586730372127393e-05	0.010105921130273006	0	0	31.914893617021274	298.80981170155826	FGB;FGA;FGG
Reactome_2016	SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336	3/235	8.586730372127393e-05	0.009384069620967793	0	0	31.914893617021274	298.80981170155826	FGB;FGA;FGG
Reactome_2016	SOS-mediated signalling_Homo sapiens_R-HSA-112412	3/235	8.586730372127393e-05	0.008758464979569941	0	0	31.914893617021274	298.80981170155826	FGB;FGA;FGG
Reactome_2016	SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347	3/235	8.586730372127393e-05	0.008211060918346818	0	0	31.914893617021274	298.80981170155826	FGB;FGA;FGG
Reactome_2016	RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001	3/235	8.586730372127393e-05	0.0077280573349146515	0	0	31.914893617021274	298.80981170155826	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700	3/236	8.695648688752665e-05	0.0073913013854397655	0	0	31.77966101694915	297.1430947609597	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712	3/236	8.695648688752665e-05	0.007002285523048198	0	0	31.77966101694915	297.1430947609597	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706	3/236	8.695648688752665e-05	0.006652171246895789	0	0	31.77966101694915	297.1430947609597	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693	3/236	8.695648688752665e-05	0.0063354011875197975	0	0	31.77966101694915	297.1430947609597	FGB;FGA;FGG
Reactome_2016	ARMS-mediated activation_Homo sapiens_R-HSA-170984	3/239	9.027836491935591e-05	0.006278449923937026	0	0	31.380753138075317	292.23680075509367	FGB;FGA;FGG
Reactome_2016	Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706	3/239	9.027836491935591e-05	0.006005473840287589	0	0	31.380753138075317	292.23680075509367	FGB;FGA;FGG
Reactome_2016	Frs2-mediated activation_Homo sapiens_R-HSA-170968	3/240	9.140388348096191e-05	0.0058269975719113225	0	0	31.25	290.63195598612526	FGB;FGA;FGG
Reactome_2016	MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996	3/241	9.253857309473344e-05	0.005663360673397686	0	0	31.12033195020747	289.04206412674364	FGB;FGA;FGG
Reactome_2016	Prolonged ERK activation events_Homo sapiens_R-HSA-169893	3/242	9.368246859546818e-05	0.005512852959656396	0	0	30.99173553719008	287.46692627049566	FGB;FGA;FGG
Reactome_2016	Signaling by Leptin_Homo sapiens_R-HSA-2586552	3/243	9.483560477962579e-05	0.005374017604178796	0	0	30.8641975308642	285.9063469558904	FGB;FGA;FGG
Reactome_2016	Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526	3/245	9.716973824712205e-05	0.005309632125646312	0	0	30.61224489795918	282.82809887384093	FGB;FGA;FGG
Reactome_2016	Signalling to RAS_Homo sapiens_R-HSA-167044	3/246	9.835080498332631e-05	0.005188852814637561	0	0	30.48780487804878	281.310055740209	FGB;FGA;FGG
Reactome_2016	VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921	3/248	0.00010074111188460972	0.005137796706115096	0	0	30.241935483870964	278.315219169455	FGB;FGA;FGG
Reactome_2016	Interleukin-2 signaling_Homo sapiens_R-HSA-451927	3/252	0.00010563538876558446	0.0052136175745594905	0	0	29.76190476190476	272.48562862935586	FGB;FGA;FGG
Reactome_2016	Signalling to ERKs_Homo sapiens_R-HSA-187687	3/253	0.0001068828394149176	0.0051103357595257476	0	0	29.644268774703555	271.0605913679861	FGB;FGA;FGG
Reactome_2016	Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	3/261	0.00011721171231954792	0.005434361207542676	0	0	28.73563218390805	260.10140090078585	FGB;FGA;FGG
Reactome_2016	NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165	3/266	0.00012398777554424077	0.005579449899490835	0	0	28.195488721804512	253.62765737423766	FGB;FGA;FGG
Reactome_2016	Extracellular matrix organization_Homo sapiens_R-HSA-1474244	3/283	0.00014893438361127302	0.00651056019786422	0	0	26.501766784452297	233.53369419068144	FGB;FGA;FGG
Reactome_2016	IRS-mediated signalling_Homo sapiens_R-HSA-112399	3/284	0.0001504959981133661	0.0063960799198180575	0	0	26.40845070422535	232.43593480821502	FGB;FGA;FGG
Reactome_2016	MAPK family signaling cascades_Homo sapiens_R-HSA-5683057	3/284	0.0001504959981133661	0.006223212894958111	0	0	26.40845070422535	232.43593480821502	FGB;FGA;FGG
Reactome_2016	Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751	3/287	0.0001552450353002644	0.006250655368668541	0	0	26.132404181184672	229.19440286770757	FGB;FGA;FGG
Reactome_2016	IGF1R signaling cascade_Homo sapiens_R-HSA-2428924	3/288	0.00015684955743430133	0.0061533287916533605	0	0	26.041666666666664	228.1308188780508	FGB;FGA;FGG
Reactome_2016	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192	3/288	0.00015684955743430133	0.005999495571862025	0	0	26.041666666666664	228.1308188780508	FGB;FGA;FGG
Reactome_2016	IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928	3/288	0.00015684955743430133	0.005853166411572708	0	0	26.041666666666664	228.1308188780508	FGB;FGA;FGG
Reactome_2016	FCERI mediated MAPK activation_Homo sapiens_R-HSA-2871796	3/289	0.00015846489025745768	0.005772649573664529	0	0	25.951557093425606	227.075540703003	FGB;FGA;FGG
Reactome_2016	Innate Immune System_Homo sapiens_R-HSA-168249	4/807	0.0001617125044910011	0.005753956555144922	0	0	12.391573729863694	108.1746030105172	CRP;FGB;FGA;FGG
Reactome_2016	Signaling by Insulin receptor_Homo sapiens_R-HSA-74752	3/311	0.00019680476692376147	0.006843438486212616	0	0	24.115755627009648	205.78693773631562	FGB;FGA;FGG
Reactome_2016	VEGFA-VEGFR2 Pathway_Homo sapiens_R-HSA-4420097	3/320	0.00021408378361296825	0.007278848642840919	0	0	23.4375	198.02679157859055	FGB;FGA;FGG
Reactome_2016	Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	3/325	0.00022409708684208155	0.007453663975399669	0	0	23.07692307692308	193.92533484479716	FGB;FGA;FGG
Reactome_2016	Signaling by VEGF_Homo sapiens_R-HSA-194138	3/328	0.0002302491743506652	0.007495345462904633	0	0	22.865853658536587	191.53235827859692	FGB;FGA;FGG
