Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis Homo sapiens R-HSA-163560	2/20	4.254530034649759e-05	0.06509430953014131	0	0	200.0	2012.988231837205	LIPE;PLIN1
Reactome_2016	Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923	2/71	0.0005489398561006514	0.4199389899169985	0	0	56.338028169014095	422.9589675597298	LIPE;PLIN1
Reactome_2016	Transcriptional regulation of white adipocyte differentiation Homo sapiens R-HSA-381340	2/79	0.0006791469109190254	0.34636492456870305	0	0	50.63291139240506	369.3505362105226	ADIPOQ;PLIN1
Reactome_2016	Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	3/659	0.0035931471933197123	1.0	0	0	9.104704097116844	51.24789200302726	LIPE;GPD1;PLIN1
Reactome_2016	AMPK inhibits chREBP transcriptional activation activity Homo sapiens R-HSA-163680	1/8	0.0039936462613403625	1.0	0	0	250.0	1380.762653856758	ADIPOQ
Reactome_2016	Passive transport by Aquaporins Homo sapiens R-HSA-432047	1/12	0.0059850935124877705	1.0	0	0	166.66666666666666	853.0805526030739	AQP7
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	4/1908	0.010828653734545198	1.0	0	0	4.19287211740042	18.9750923882704	LIPE;ADIPOQ;GPD1;PLIN1
Reactome_2016	Synthesis of PA Homo sapiens R-HSA-1483166	1/28	0.013915115563147841	1.0	0	0	71.42857142857143	305.34139850752837	GPD1
Reactome_2016	Aquaporin-mediated transport Homo sapiens R-HSA-445717	1/51	0.02521480619684272	1.0	0	0	39.2156862745098	144.32642782389996	AQP7
Reactome_2016	Triglyceride Biosynthesis Homo sapiens R-HSA-75109	1/66	0.0325212529076381	1.0	0	0	30.303030303030305	103.81398387119819	GPD1
Reactome_2016	Glycerophospholipid biosynthesis Homo sapiens R-HSA-1483206	1/102	0.04985605167523032	1.0	0	0	19.6078431372549	58.79638024009204	GPD1
Reactome_2016	Integration of energy metabolism Homo sapiens R-HSA-163685	1/110	0.05367005795312965	1.0	0	0	18.18181818181818	53.180000236164894	ADIPOQ
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	2/786	0.05630473115660885	1.0	0	0	5.089058524173028	14.641102863175313	ADIPOQ;PLIN1
Reactome_2016	Phospholipid metabolism Homo sapiens R-HSA-1483257	1/161	0.07766217240578246	1.0	0	0	12.422360248447205	31.74393766184866	GPD1
Reactome_2016	Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	1/217	0.10337470241563904	1.0	0	0	9.216589861751153	20.91608298921952	GPD1
Reactome_2016	Transmembrane transport of small molecules Homo sapiens R-HSA-382551	1/594	0.2603424962072657	1.0	0	0	3.3670033670033668	4.531169096737732	AQP7
