Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Activation of the AP-1 family of transcription factors_Homo sapiens_R-HSA-450341	2/10	2.354311916028365e-05	0.03602097231523398	0	0	266.6666666666667	2841.7805227267113	JUN;FOS
Reactome_2016	MAPK targets/ Nuclear events mediated by MAP kinases_Homo sapiens_R-HSA-450282	2/30	0.00022562415839746908	0.17260248117406388	0	0	88.8888888888889	746.3679963536358	JUN;FOS
Reactome_2016	MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294	2/60	0.0009062132520838293	0.462168758562753	0	0	44.444444444444436	311.3882623129902	JUN;FOS
Reactome_2016	TP53 Regulates Transcription of DNA Repair Genes_Homo sapiens_R-HSA-6796648	2/61	0.0009365269021087002	0.3582215400565778	0	0	43.715846994535525	304.8451283177618	JUN;FOS
Reactome_2016	TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	2/72	0.001301854324498629	0.3983674232965805	0	0	37.03703703703703	246.0728010148597	JUN;FOS
Reactome_2016	Senescence-Associated Secretory Phenotype (SASP)_Homo sapiens_R-HSA-2559582	2/77	0.0014870860669846193	0.3792069470810779	0	0	34.63203463203463	225.48698644384484	JUN;FOS
Reactome_2016	Toll Like Receptor 10 (TLR10) Cascade_Homo sapiens_R-HSA-168142	2/82	0.0016841894934286387	0.36811570356368817	0	0	32.520325203252035	207.69010873832767	JUN;FOS
Reactome_2016	Toll Like Receptor 5 (TLR5) Cascade_Homo sapiens_R-HSA-168176	2/82	0.0016841894934286387	0.32210124061822715	0	0	32.520325203252035	207.69010873832767	JUN;FOS
Reactome_2016	MyD88 cascade initiated on plasma membrane_Homo sapiens_R-HSA-975871	2/82	0.0016841894934286387	0.2863122138828686	0	0	32.520325203252035	207.69010873832767	JUN;FOS
Reactome_2016	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138	2/83	0.0017250277788369876	0.2639292501620591	0	0	32.1285140562249	204.41806023951358	JUN;FOS
Reactome_2016	MyD88 dependent cascade initiated on endosome_Homo sapiens_R-HSA-975155	2/85	0.0018081168721341113	0.2514926194877446	0	0	31.37254901960784	198.13237262538783	JUN;FOS
Reactome_2016	Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181	2/85	0.0018081168721341113	0.2305349011970992	0	0	31.37254901960784	198.13237262538783	JUN;FOS
Reactome_2016	Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138	2/88	0.001936272322719128	0.2278843579815589	0	0	30.303030303030305	189.30274658964456	JUN;FOS
Reactome_2016	Oxidative Stress Induced Senescence_Homo sapiens_R-HSA-2559580	2/91	0.002068638783252955	0.2260726670269301	0	0	29.304029304029307	181.12423386505932	JUN;FOS
