Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	8/807	3.452903424468e-07	0.000528294223943604	0	0	10.43500945672732	155.26125560846702	C1QB;C1QA;HCK;TYROBP;FCER1G;C3AR1;LY86;C1QC
Reactome_2016	Immune System Homo sapiens R-HSA-168256	10/1547	3.5967999995216276e-07	0.00027515519996340447	0	0	6.804341169666246	100.96316190803344	C1QB;CSF1R;C1QA;HCK;TYROBP;FCER1G;EBI3;C3AR1;LY86;C1QC
Reactome_2016	Complement cascade Homo sapiens R-HSA-166658	4/80	8.786780678121784e-07	0.0004481258145842109	0	0	52.631578947368425	733.9393291878564	C1QB;C1QA;C3AR1;C1QC
Reactome_2016	Classical antibody-mediated complement activation Homo sapiens R-HSA-173623	3/43	8.756780424589564e-06	0.0033494685124055073	0	0	73.43941248470013	855.2520625712427	C1QB;C1QA;C1QC
Reactome_2016	Creation of C4 and C2 activators Homo sapiens R-HSA-166786	3/49	1.3026140090909109e-05	0.003985998867818188	0	0	64.44683136412459	724.9335623963617	C1QB;C1QA;C1QC
Reactome_2016	Initial triggering of complement Homo sapiens R-HSA-166663	3/58	2.169839067032692e-05	0.005533089620933365	0	0	54.4464609800363	584.6609326402428	C1QB;C1QA;C1QC
Reactome_2016	Signaling by Interleukins Homo sapiens R-HSA-449147	3/392	0.005733725306442956	1.0	0	0	8.055853920515574	41.57940240680673	CSF1R;HCK;EBI3
Reactome_2016	Nef and signal transduction Homo sapiens R-HSA-164944	1/8	0.0075760122063041925	1.0	0	0	131.57894736842104	642.4695147261924	HCK
Reactome_2016	Dectin-2 family Homo sapiens R-HSA-5621480	1/10	0.009461510512395743	1.0	0	0	105.26315789473685	490.58139316316345	FCER1G
Reactome_2016	Transport of organic anions Homo sapiens R-HSA-879518	1/11	0.010402987018789436	1.0	0	0	95.69377990430624	436.90548332320844	SLCO2B1
Reactome_2016	Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160	1/13	0.012283398155032895	1.0	0	0	80.97165991902834	356.2353580422076	TYROBP
Reactome_2016	Platelet Adhesion to exposed collagen Homo sapiens R-HSA-75892	1/13	0.012283398155032895	1.0	0	0	80.97165991902834	356.2353580422076	FCER1G
Reactome_2016	Regulation of signaling by CBL Homo sapiens R-HSA-912631	1/18	0.016969630876880012	1.0	0	0	58.47953216374268	238.38186850773636	HCK
Reactome_2016	Other semaphorin interactions Homo sapiens R-HSA-416700	1/19	0.01790434673262116	1.0	0	0	55.401662049861486	222.86491752854516	TYROBP
Reactome_2016	IL-6-type cytokine receptor ligand interactions Homo sapiens R-HSA-6788467	1/20	0.018838220672014273	1.0	0	0	52.631578947368425	209.0456557081396	EBI3
Reactome_2016	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	3/620	0.019843829405673988	1.0	0	0	5.093378607809846	19.96534218005808	CSF1R;HCK;EBI3
Reactome_2016	Regulation of Complement cascade Homo sapiens R-HSA-977606	1/26	0.02442382371261493	1.0	0	0	40.48582995951417	150.29134580441178	C3AR1
Reactome_2016	Interleukin-6 family signaling Homo sapiens R-HSA-6783589	1/27	0.02535182406329611	1.0	0	0	38.98635477582846	143.2711343615588	EBI3
Reactome_2016	The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	1/28	0.02627898816211653	1.0	0	0	37.593984962406005	136.8039694853204	HCK
Reactome_2016	Transport of vitamins, nucleosides, and related molecules Homo sapiens R-HSA-425397	1/38	0.03550479080110603	1.0	0	0	27.700831024930743	92.46780164715112	SLCO2B1
Reactome_2016	Scavenging of heme from plasma Homo sapiens R-HSA-2168880	1/46	0.042825747982937014	1.0	0	0	22.883295194508015	72.09647068397621	CD163
Reactome_2016	FCGR activation Homo sapiens R-HSA-2029481	1/49	0.045557510321821836	1.0	0	0	21.482277121374864	66.35402337351628	HCK
Reactome_2016	GPVI-mediated activation cascade Homo sapiens R-HSA-114604	1/53	0.04918837257235504	1.0	0	0	19.860973187686195	59.82319787972893	FCER1G
Reactome_2016	Semaphorin interactions Homo sapiens R-HSA-373755	1/67	0.06179361679407298	1.0	0	0	15.710919088766694	43.73849501924389	TYROBP
Reactome_2016	Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	1/74	0.06803671175551504	1.0	0	0	14.224751066856332	38.23197497483018	CD163
Reactome_2016	Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	1/101	0.09175051464357864	1.0	0	0	10.422094841063052	24.89507225501689	FCER1G
Reactome_2016	Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	1/120	0.1080940988994387	1.0	0	0	8.771929824561402	19.515378465801852	HCK
Reactome_2016	Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016	1/122	0.10979817462010398	1.0	0	0	8.628127696289905	19.06049503566966	LY86
Reactome_2016	C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481	1/123	0.11064905538398992	1.0	0	0	8.557980316645272	18.83946726139534	FCER1G
Reactome_2016	Host Interactions of HIV factors Homo sapiens R-HSA-162909	1/129	0.11573818190767265	1.0	0	0	8.159934720522235	17.596284711367318	HCK
Reactome_2016	Cell-Cell communication Homo sapiens R-HSA-1500931	1/131	0.11742841776762575	1.0	0	0	8.035355564483726	17.211139747129973	TYROBP
Reactome_2016	Toll-Like Receptors Cascades Homo sapiens R-HSA-168898	1/140	0.12499667381420396	1.0	0	0	7.518796992481202	15.63509888361085	LY86
Reactome_2016	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	1/157	0.13912482327889525	1.0	0	0	6.704659738518272	13.224161847936935	TYROBP
