Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	NR1D1 (REV-ERBA) represses gene expression Homo sapiens R-HSA-1368071	2/8	2.0982540726248864e-06	0.0032103287311160762	0	0	833.3333333333335	10895.337460852255	NPAS2;ARNTL
Reactome_2016	RORA activates gene expression Homo sapiens R-HSA-1368082	2/27	2.623727537628245e-05	0.02007151566285608	0	0	246.9135802469136	2604.525786178993	NPAS2;ARNTL
Reactome_2016	BMAL1:CLOCK,NPAS2 activates circadian gene expression Homo sapiens R-HSA-1368108	2/42	6.423166440534456e-05	0.03275814884672572	0	0	158.7301587301587	1532.2244847337138	NPAS2;ARNTL
Reactome_2016	Circadian Clock Homo sapiens R-HSA-400253	2/63	0.00014528937987106567	0.05557318780068262	0	0	105.82010582010582	935.1093207518496	NPAS2;ARNTL
Reactome_2016	PPARA activates gene expression Homo sapiens R-HSA-1989781	2/113	0.00046762864437566994	0.143094365178955	0	0	58.99705014749263	452.3797092598314	NPAS2;ARNTL
Reactome_2016	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	2/116	0.0004927044447159229	0.12563963340256032	0	0	57.471264367816104	437.67822225945696	NPAS2;ARNTL
Reactome_2016	Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	2/217	0.0017079621318844653	0.3733117231118903	0	0	30.721966205837173	195.7743273391512	NPAS2;ARNTL
Reactome_2016	Glutathione conjugation Homo sapiens R-HSA-156590	1/38	0.011347288056139463	1.0	0	0	87.71929824561406	392.875131700875	GSTT2B
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	3/1908	0.01389901750649257	1.0	0	0	5.2410901467505235	22.41057193044967	GSTT2B;NPAS2;ARNTL
Reactome_2016	Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	2/659	0.01488850149544209	1.0	0	0	10.116337885685383	42.56111356265846	NPAS2;ARNTL
Reactome_2016	Phase II conjugation Homo sapiens R-HSA-156580	1/100	0.029630963394411812	1.0	0	0	33.333333333333336	117.29784679234218	GSTT2B
Reactome_2016	Biological oxidations Homo sapiens R-HSA-211859	1/199	0.05824136438187025	1.0	0	0	16.750418760469014	47.62411136485098	GSTT2B
