Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Cell Cycle, Mitotic Homo sapiens R-HSA-69278	8/462	1.1853009955474065e-11	1.8135105231875323e-08	0	0	31.48366784730421	792.0799457196309	TOP2A;CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1;NEK2
Reactome_2016	Cell Cycle Homo sapiens R-HSA-1640170	8/566	5.997428067125199e-11	4.588032471350778e-08	0	0	25.6986829424992	604.8726065167904	TOP2A;CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1;NEK2
Reactome_2016	Polo-like kinase mediated events Homo sapiens R-HSA-156711	4/16	8.979166360806969e-11	4.579374844011553e-08	0	0	454.5454545454545	10515.240444455412	CCNB2;CENPF;CCNB1;PLK1
Reactome_2016	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	5/75	2.939026299259465e-10	1.1241775594667456e-07	0	0	121.2121212121212	2660.336072021055	CDC20;CCNB1;UBE2C;PLK1;NEK2
Reactome_2016	APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	5/85	5.57171159579017e-10	1.704943748311792e-07	0	0	106.951871657754	2278.9463780654514	CDC20;CCNB1;UBE2C;PLK1;NEK2
Reactome_2016	Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	5/85	5.57171159579017e-10	1.4207864569264933e-07	0	0	106.951871657754	2278.9463780654514	CDC20;CCNB1;UBE2C;PLK1;NEK2
Reactome_2016	Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	5/99	1.2106613630953521e-09	2.6461598364798405e-07	0	0	91.82736455463728	1885.408544131152	CDC20;CCNB2;CENPF;CCNB1;PLK1
Reactome_2016	Mitotic Prometaphase Homo sapiens R-HSA-68877	5/107	1.7958733404206339e-09	3.4346077635544625e-07	0	0	84.96176720475785	1710.9408999748828	CDC20;CCNB2;CENPF;CCNB1;PLK1
Reactome_2016	M Phase Homo sapiens R-HSA-68886	6/268	2.390675256269597e-09	4.064147935658315e-07	0	0	40.70556309362279	808.0742188699129	CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1
Reactome_2016	Phosphorylation of Emi1 Homo sapiens R-HSA-176417	3/6	2.4726804772475808e-09	3.7832011301887994e-07	0	0	909.090909090909	18016.330055694933	CDC20;CCNB1;PLK1
Reactome_2016	Activation of NIMA Kinases NEK9, NEK6, NEK7 Homo sapiens R-HSA-2980767	3/7	4.325937422625365e-09	6.016985687833462e-07	0	0	779.2207792207791	15006.730110337174	CCNB2;CCNB1;PLK1
Reactome_2016	G2/M Transition Homo sapiens R-HSA-69275	5/173	2.024175944093134e-08	2.5808243287187457e-06	0	0	52.54860746190226	930.9258049083273	CCNB2;CENPF;CCNB1;PLK1;NEK2
Reactome_2016	Mitotic G2-G2/M phases Homo sapiens R-HSA-453274	5/175	2.1442815456950442e-08	2.5236544345487827e-06	0	0	51.94805194805194	917.2922696836612	CCNB2;CENPF;CCNB1;PLK1;NEK2
Reactome_2016	Golgi Cisternae Pericentriolar Stack Reorganization Homo sapiens R-HSA-162658	3/14	4.4897136580931365e-08	4.9066156406303566e-06	0	0	389.61038961038963	6591.776032786363	CCNB2;CCNB1;PLK1
