Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430	6/21	5.619922262586216e-16	8.598481061756913e-13	0	0	476.19047619047615	16721.449360178492	ZAP70;LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Generation of second messenger molecules Homo sapiens R-HSA-202433	6/35	1.6751794873618368e-14	1.2815123078318053e-11	0	0	285.7142857142857	9062.934567356157	ZAP70;LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	TCR signaling Homo sapiens R-HSA-202403	7/118	1.6056184184469518e-13	8.188653934079455e-11	0	0	98.87005649717516	2912.7214764655682	ZAP70;LCK;TRAT1;CD3G;CD247;CD3E;CD3D
Reactome_2016	Phosphorylation of CD3 and TCR zeta chains Homo sapiens R-HSA-202427	5/24	1.2555655154415703e-12	4.802538096564007e-10	0	0	347.2222222222223	9515.081609349085	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	PD-1 signaling Homo sapiens R-HSA-389948	5/26	1.942024651962538e-12	5.942595435005365e-10	0	0	320.5128205128205	8643.362196163305	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Downstream TCR signaling Homo sapiens R-HSA-202424	6/99	1.137713618483914e-11	2.901169727133981e-09	0	0	101.01010101010101	2545.3954921468394	LCK;TRAT1;CD3G;CD247;CD3E;CD3D
Reactome_2016	Costimulation by the CD28 family Homo sapiens R-HSA-388841	5/72	4.0760763795990464e-10	8.909138372552202e-08	0	0	115.74074074074076	2502.397693969231	LCK;CD3G;CD247;CD3E;CD3D
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	8/762	1.8506158184916254e-09	3.539302752865233e-07	0	0	17.497812773403325	351.8415989218965	ZAP70;LCK;TRAT1;CD3G;CD247;CD3E;RASGRP1;CD3D
Reactome_2016	Immune System Homo sapiens R-HSA-168256	8/1547	4.699081627650158e-07	7.98843876700527e-05	0	0	8.618832148243914	125.58266373374157	ZAP70;LCK;TRAT1;CD3G;CD247;CD3E;RASGRP1;CD3D
Reactome_2016	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	4/157	1.7224188861679562e-06	0.00026353008958369733	0	0	42.46284501061572	563.5575764724505	CD3G;CD247;CD3E;CD3D
Reactome_2016	Nef and signal transduction Homo sapiens R-HSA-164944	2/8	9.221402746009655e-06	0.0012826132910358885	0	0	416.66666666666674	4830.8264126327085	LCK;CD247
Reactome_2016	Innate Immune System Homo sapiens R-HSA-168249	5/807	6.60235715929633e-05	0.00841800537810282	0	0	10.32631144155308	99.39589771118484	LCK;TRAT1;CD3G;CD247;RASGRP1
Reactome_2016	The role of Nef in HIV-1 replication and disease pathogenesis Homo sapiens R-HSA-164952	2/28	0.0001236647340066097	0.014554387925393297	0	0	119.04761904761904	1071.182906205472	LCK;CD247
Reactome_2016	Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	3/192	0.00017976854304413734	0.019646133632680727	0	0	26.04166666666667	224.579177252444	LCK;TRAT1;RASGRP1
