Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Cell Cycle, Mitotic Homo sapiens R-HSA-69278	22/462	2.577163688039154e-28	3.943060442699906e-25	0	0	28.011204481792717	1779.431180821982	TOP2A;RRM2;UBE2C;BUB1B;NCAPG;CASC5;HMMR;PKMYT1;FOXM1;AURKB;CDC20;TPX2;CCNB2;CENPF;ESPL1;CDK1;BIRC5;NEK2;MYBL2;KIF20A;BUB1;GTSE1
Reactome_2016	Cell Cycle Homo sapiens R-HSA-1640170	23/566	3.3839505157447133e-28	2.5887221445447064e-25	0	0	23.903554354604033	1511.9796217622854	TOP2A;RRM2;UBE2C;HJURP;BUB1B;NCAPG;CASC5;HMMR;PKMYT1;FOXM1;AURKB;CDC20;TPX2;CCNB2;CENPF;ESPL1;CDK1;BIRC5;NEK2;MYBL2;KIF20A;BUB1;GTSE1
Reactome_2016	M Phase Homo sapiens R-HSA-68886	13/268	2.4223746200546106e-16	1.2354110562278515e-13	0	0	28.533801580333627	1025.9788660042886	UBE2C;BUB1B;NCAPG;CASC5;AURKB;CDC20;CCNB2;CENPF;ESPL1;CDK1;BIRC5;KIF20A;BUB1
Reactome_2016	Mitotic Prometaphase Homo sapiens R-HSA-68877	10/107	1.4708810927388962e-15	5.626120179726279e-13	0	0	54.97526113249039	1877.5654090633645	CDC20;CCNB2;CENPF;CDK1;BUB1B;BIRC5;NCAPG;CASC5;BUB1;AURKB
Reactome_2016	Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	9/99	5.821820537628042e-14	1.781477084514181e-11	0	0	53.47593582887701	1629.6565926168273	CDC20;CCNB2;CENPF;CDK1;BUB1B;BIRC5;CASC5;BUB1;AURKB
Reactome_2016	G2/M Transition Homo sapiens R-HSA-69275	10/173	1.9770885628843847e-13	5.041575835355182e-11	0	0	34.002040122407344	994.6270271721975	TPX2;CCNB2;CENPF;CDK1;NEK2;MYBL2;HMMR;PKMYT1;FOXM1;GTSE1
Reactome_2016	Mitotic G2-G2/M phases Homo sapiens R-HSA-453274	10/175	2.2198967228073566e-13	4.8520599798503645e-11	0	0	33.61344537815126	979.3662364833107	TPX2;CCNB2;CENPF;CDK1;NEK2;MYBL2;HMMR;PKMYT1;FOXM1;GTSE1
Reactome_2016	Separation of Sister Chromatids Homo sapiens R-HSA-2467813	9/162	5.2904948636193535e-12	1.0118071426672014e-09	0	0	32.6797385620915	848.5329845567187	CDC20;CENPF;ESPL1;UBE2C;BUB1B;BIRC5;CASC5;BUB1;AURKB
Reactome_2016	Mitotic Anaphase Homo sapiens R-HSA-68882	9/173	9.576925156698985e-12	1.6280772766388274e-09	0	0	30.601836110166612	776.419520104998	CDC20;CENPF;ESPL1;UBE2C;BUB1B;BIRC5;CASC5;BUB1;AURKB
Reactome_2016	Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396	9/174	1.0087885208320332e-11	1.5434464368730113e-09	0	0	30.425963488843816	770.3758386317389	CDC20;CENPF;ESPL1;UBE2C;BUB1B;BIRC5;CASC5;BUB1;AURKB
Reactome_2016	Polo-like kinase mediated events Homo sapiens R-HSA-156711	5/16	4.498629017069168e-11	6.257183996468933e-09	0	0	183.82352941176472	4379.533701369653	CCNB2;CENPF;MYBL2;PKMYT1;FOXM1
Reactome_2016	RHO GTPases Activate Formins Homo sapiens R-HSA-5663220	7/114	7.685185710331735e-10	9.798611780672963e-08	0	0	36.119711042311664	758.0283525056348	CDC20;CENPF;BUB1B;BIRC5;CASC5;BUB1;AURKB
Reactome_2016	APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	6/85	6.0212870142178784e-09	7.086591639810272e-07	0	0	41.522491349480966	785.9362551171597	CDC20;UBE2C;CDK1;BUB1B;NEK2;AURKB
Reactome_2016	Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	6/85	6.0212870142178784e-09	6.580406522680967e-07	0	0	41.522491349480966	785.9362551171597	CDC20;UBE2C;CDK1;BUB1B;NEK2;AURKB
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	8/255	8.52977931126031e-09	8.700374897485519e-07	0	0	18.45444059976932	342.87801333970884	CDC20;CENPF;BUB1B;BIRC5;CASC5;IQGAP3;BUB1;AURKB
Reactome_2016	Cell Cycle Checkpoints Homo sapiens R-HSA-69620	7/182	2.0121135246007983e-08	1.9240835578995133e-06	0	0	22.624434389140273	400.93880247847915	CDC20;CCNB2;UBE2C;CDK1;BUB1B;PKMYT1;GTSE1
Reactome_2016	G2/M DNA replication checkpoint Homo sapiens R-HSA-69478	3/5	4.477629864990744e-08	4.029866878491668e-06	0	0	352.94117647058823	5972.324783122545	CCNB2;CDK1;PKMYT1
Reactome_2016	Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	4/22	4.9806125714993156e-08	4.233520685774418e-06	0	0	106.95187165775404	1798.4093961663418	CCNB2;CDK1;PKMYT1;FOXM1
Reactome_2016	APC-Cdc20 mediated degradation of Nek2A Homo sapiens R-HSA-179409	4/25	8.582191481621952e-08	6.910922614148204e-06	0	0	94.11764705882355	1531.3874301767078	CDC20;UBE2C;BUB1B;NEK2
Reactome_2016	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	5/72	1.3468121876973837e-07	1.0303113235884985e-05	0	0	40.84967320261438	646.2563395964104	CDC20;UBE2C;CDK1;BUB1B;NEK2
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	8/367	1.4255673082542948e-07	1.0386276102995578e-05	0	0	12.822567719185765	202.1288771329667	CDC20;CENPF;BUB1B;BIRC5;CASC5;IQGAP3;BUB1;AURKB
Reactome_2016	APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	5/74	1.546868898610433e-07	1.075777006760892e-05	0	0	39.7456279809221	623.2854860303589	CDC20;UBE2C;CDK1;BUB1B;NEK2
Reactome_2016	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	5/75	1.655356961188678e-07	1.101172239399425e-05	0	0	39.215686274509814	612.3168227006843	CDC20;UBE2C;CDK1;BUB1B;NEK2
