Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Scavenging of heme from plasma_Homo sapiens_R-HSA-2168880	2/46	7.71711962436819e-05	0.11807193025283333	0	0	144.92753623188406	1372.3890255371834	ALB;HP
Reactome_2016	Binding and Uptake of Ligands by Scavenger Receptors_Homo sapiens_R-HSA-2173782	2/74	0.00020064087380284283	0.15349026845917474	0	0	90.0900900900901	767.0264815721837	ALB;HP
Reactome_2016	Platelet degranulation_Homo sapiens_R-HSA-114608	2/105	0.00040391610295630867	0.2059972125077174	0	0	63.4920634920635	496.14624555672475	FGB;ALB
Reactome_2016	Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005	2/110	0.00044319800358123807	0.16952323636982358	0	0	60.60606060606061	467.9693289149282	FGB;ALB
Reactome_2016	SLC transporter disorders_Homo sapiens_R-HSA-5619102	1/7	0.002098387281973246	0.6421065082838133	0	0	476.19047619047615	2936.4696144052195	ALB
Reactome_2016	Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002	2/253	0.0023120197483946165	0.5895650358406271	0	0	26.350461133069828	159.93764918353918	FGB;ALB
Reactome_2016	Transport of organic anions_Homo sapiens_R-HSA-879518	1/11	0.0032958256764104637	0.7203733264154298	0	0	303.03030303030306	1731.848047809752	ALB
Reactome_2016	Recycling of bile acids and salts_Homo sapiens_R-HSA-159418	1/15	0.004492068393214533	0.8591080802022795	0	0	222.22222222222226	1201.209337036015	ALB
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194	1/15	0.004492068393214533	0.7636516268464706	0	0	222.22222222222226	1201.209337036015	FGB
Reactome_2016	p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708	1/15	0.004492068393214533	0.6872864641618236	0	0	222.22222222222226	1201.209337036015	FGB
Reactome_2016	Disorders of transmembrane transporters_Homo sapiens_R-HSA-5619115	1/15	0.004492068393214533	0.6248058765107487	0	0	222.22222222222226	1201.209337036015	ALB
Reactome_2016	HDL-mediated lipid transport_Homo sapiens_R-HSA-194223	1/19	0.005687115738983334	0.7251072567203751	0	0	175.4385964912281	906.9389577831694	ALB
Reactome_2016	Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875	1/22	0.006582617147928667	0.7747234027946817	0	0	151.51515151515153	761.109525738989	FGB
Reactome_2016	Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192	1/27	0.00807362689081275	0.8823320816388219	0	0	123.4567901234568	594.9570949153103	FGB
Reactome_2016	Vesicle-mediated transport_Homo sapiens_R-HSA-5653656	2/492	0.008483436969632906	0.8653105709025566	0	0	13.550135501355017	64.6292629846702	ALB;HP
Reactome_2016	Lipoprotein metabolism_Homo sapiens_R-HSA-174824	1/34	0.010157908740538318	0.9713500233139768	0	0	98.0392156862745	449.9512441806299	ALB
Reactome_2016	Bile acid and bile salt metabolism_Homo sapiens_R-HSA-194068	1/35	0.01045536525535033	0.9409828729815298	0	0	95.23809523809523	434.3466676916617	ALB
Reactome_2016	Hemostasis_Homo sapiens_R-HSA-109582	2/552	0.010595074562815127	0.9005813378392856	0	0	12.07729468599034	54.9198798277681	FGB;ALB
Reactome_2016	Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009	1/37	0.011050054899886795	0.8898202103593053	0	0	90.0900900900901	405.8846741184839	FGB
Reactome_2016	MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135	1/38	0.011347288056139463	0.868067536294669	0	0	87.71929824561406	392.875131700875	FGB
