Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	tRNA modification in the nucleus and cytosol Homo sapiens R-HSA-6782315	1/39	0.01933393774979666	1.0	0	0	51.28205128205128	202.35350229087103	CTU1
Reactome_2016	Nuclear Receptor transcription pathway Homo sapiens R-HSA-383280	1/51	0.02521480619684272	1.0	0	0	39.2156862745098	144.32642782389996	NR2F6
Reactome_2016	COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005	1/68	0.03349171276321553	1.0	0	0	29.411764705882355	99.8958014987402	TRAPPC5
Reactome_2016	tRNA processing Homo sapiens R-HSA-72306	1/103	0.05033355779220386	1.0	0	0	19.41747572815534	58.04045187179624	CTU1
Reactome_2016	ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977	1/131	0.06361635628304868	1.0	0	0	15.267175572519085	42.05930789981559	TRAPPC5
Reactome_2016	Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021	1/162	0.07812708300812571	1.0	0	0	12.345679012345679	31.474302577493834	TRAPPC5
Reactome_2016	Asparagine N-linked glycosylation Homo sapiens R-HSA-446203	1/259	0.12223375664551407	1.0	0	0	7.722007722007723	16.230270497532803	TRAPPC5
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	1/420	0.19126512511998253	1.0	0	0	4.761904761904762	7.876641541942441	TRAPPC5
Reactome_2016	Gene Expression Homo sapiens R-HSA-74160	2/1631	0.19360124883787613	1.0	0	0	2.452483139178418	4.0268661031308435	CTU1;NR2F6
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	1/492	0.2205233633620704	1.0	0	0	4.0650406504065035	6.1453318431611335	TRAPPC5
Reactome_2016	Post-translational protein modification Homo sapiens R-HSA-597592	1/521	0.23203624035940806	1.0	0	0	3.838771593090211	5.607914437886263	TRAPPC5
Reactome_2016	Generic Transcription Pathway Homo sapiens R-HSA-212436	1/812	0.3393733027242171	1.0	0	0	2.4630541871921183	2.6617108115452885	NR2F6
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.42425076000508377	1.0	0	0	1.86219739292365	1.5967049971337817	TRAPPC5
