Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541	2/95	0.00033074986387049546	0.5060472917218579	0	0	70.17543859649122	562.3963625647397	EDA;TNF
Reactome_2016	TNFR1-mediated ceramide production_Homo sapiens_R-HSA-5626978	1/6	0.0017988408901478399	1.0	0	0	555.5555555555555	3511.451539679269	TNF
Reactome_2016	TNFR1-induced proapoptotic signaling_Homo sapiens_R-HSA-5357786	1/13	0.00389409648539669	1.0	0	0	256.41025641025647	1422.6393831727814	TNF
Reactome_2016	TNFs bind their physiological receptors_Homo sapiens_R-HSA-5669034	1/24	0.0071792448741713035	1.0	0	0	138.88888888888889	685.63348224737	EDA
Reactome_2016	TNFR1-induced NFkappaB signaling pathway_Homo sapiens_R-HSA-5357956	1/26	0.0077755741446350465	1.0	0	0	128.20512820512823	622.6625613684754	TNF
Reactome_2016	Regulation of TNFR1 signaling_Homo sapiens_R-HSA-5357905	1/31	0.009265092249714469	1.0	0	0	107.52688172043013	503.38725403208963	TNF
Reactome_2016	TNF signaling_Homo sapiens_R-HSA-75893	1/41	0.012238541027235605	1.0	0	0	81.30081300813009	357.98091106697336	TNF
Reactome_2016	Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215	2/620	0.01324677845585033	1.0	0	0	10.752688172043012	46.4946332421466	EDA;TNF
Reactome_2016	Death Receptor Signalling_Homo sapiens_R-HSA-73887	1/48	0.014315528554342706	1.0	0	0	69.44444444444444	294.8896123612562	TNF
Reactome_2016	Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	1/79	0.023469931862476083	1.0	0	0	42.19409282700422	158.31372035015625	TNF
Reactome_2016	Immune System_Homo sapiens_R-HSA-168256	2/1547	0.07275321015345723	1.0	0	0	4.309416074121957	11.293610205056384	EDA;TNF
Reactome_2016	Developmental Biology_Homo sapiens_R-HSA-1266738	1/786	0.21383510157316854	1.0	0	0	4.2408821034775235	6.541773173814915	TNF
Reactome_2016	Signal Transduction_Homo sapiens_R-HSA-162582	1/2465	0.5458393933340396	1.0	0	0	1.352265043948614	0.8187024988655841	TNF
