Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Platelet degranulation Homo sapiens R-HSA-114608	5/105	8.939050605865117e-10	1.367674742697363e-06	0	0	95.23809523809523	1984.325861200591	FGB;FGA;APOH;FGG;ALB
Reactome_2016	Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	5/110	1.131853782209196e-09	8.658681433900351e-07	0	0	90.9090909090909	1872.6735484698183	FGB;FGA;APOH;FGG;ALB
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins Homo sapiens R-HSA-354194	3/15	4.0821640684781646e-08	2.081903674923864e-05	0	0	400.0	6805.621394885068	FGB;FGA;FGG
Reactome_2016	p130Cas linkage to MAPK signaling for integrins Homo sapiens R-HSA-372708	3/15	4.0821640684781646e-08	1.561427756192898e-05	0	0	400.0	6805.621394885068	FGB;FGA;FGG
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	5/253	7.450686832754844e-08	2.279910170822983e-05	0	0	39.52569169960474	648.7104554740813	FGB;FGA;APOH;FGG;ALB
Reactome_2016	Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	3/22	1.379143686230442e-07	3.5168163998876266e-05	0	0	272.7272727272727	4308.1725986220035	FGB;FGA;FGG
Reactome_2016	Integrin alphaIIb beta3 signaling Homo sapiens R-HSA-354192	3/27	2.616063679145977e-07	5.7179677558476355e-05	0	0	222.22222222222217	3368.094416772989	FGB;FGA;FGG
Reactome_2016	Lipoprotein metabolism Homo sapiens R-HSA-174824	3/34	5.342194006635961e-07	0.00010216946037691272	0	0	176.47058823529412	2548.669274064928	ALB;APOA2;APOC3
Reactome_2016	Platelet Aggregation (Plug Formation) Homo sapiens R-HSA-76009	3/37	6.931197528182283e-07	0.0001178303579790988	0	0	162.16216216216216	2299.794007977698	FGB;FGA;FGG
Reactome_2016	MAP2K and MAPK activation Homo sapiens R-HSA-5674135	3/38	7.523331246964077e-07	0.00011510696807855037	0	0	157.89473684210526	2226.3294672816032	FGB;FGA;FGG
Reactome_2016	Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877	3/39	8.148142731687541e-07	0.00011333325799529033	0	0	153.84615384615384	2156.9700977473763	FGB;FGA;FGG
Reactome_2016	Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667	3/51	1.8508868377139068e-06	0.0002359880718085231	0	0	117.64705882352942	1552.9230190586727	APOA2;APOC3;GC
Reactome_2016	Hemostasis Homo sapiens R-HSA-109582	5/552	3.533681365787764e-06	0.0004158871145888676	0	0	18.115942028985508	227.4125063517009	FGB;FGA;APOH;FGG;ALB
Reactome_2016	Integrin cell surface interactions Homo sapiens R-HSA-216083	3/67	4.239876739569354e-06	0.00046335795796722217	0	0	89.55223880597015	1107.848629253665	FGB;FGA;FGG
Reactome_2016	Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923	3/71	5.053248922172518e-06	0.0005154313900615969	0	0	84.50704225352112	1030.60387357295	ALB;APOA2;APOC3
Reactome_2016	Chylomicron-mediated lipid transport Homo sapiens R-HSA-174800	2/17	3.0477759493074043e-05	0.0029144357515252053	0	0	235.29411764705884	2446.709020539461	APOA2;APOC3
Reactome_2016	HDL-mediated lipid transport Homo sapiens R-HSA-194223	2/19	3.830094710119993e-05	0.0034470852391079933	0	0	210.5263157894737	2141.0601965458022	ALB;APOC3
Reactome_2016	Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854	3/148	4.586755668662118e-05	0.0038987423183628	0	0	40.54054054054054	404.98996689796957	APOA2;APOC3;GC
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	3/235	0.00018082388550927088	0.014561081306799182	0	0	25.53191489361702	220.03371085823804	FGB;FGA;FGG
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	3/235	0.00018082388550927088	0.013833027241459222	0	0	25.53191489361702	220.03371085823804	FGB;FGA;FGG
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	3/235	0.00018082388550927088	0.013174311658532592	0	0	25.53191489361702	220.03371085823804	FGB;FGA;FGG
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	3/235	0.00018082388550927088	0.012575479310417477	0	0	25.53191489361702	220.03371085823804	FGB;FGA;FGG
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	3/235	0.00018082388550927088	0.012028719340399324	0	0	25.53191489361702	220.03371085823804	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	3/236	0.00018310377449622404	0.011672865624134285	0	0	25.423728813559322	218.78281759572602	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	3/236	0.00018310377449622404	0.011205950999168912	0	0	25.423728813559322	218.78281759572602	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	3/236	0.00018310377449622404	0.010774952883816262	0	0	25.423728813559322	218.78281759572602	FGB;FGA;FGG
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	3/236	0.00018310377449622404	0.01037588055478603	0	0	25.423728813559322	218.78281759572602	FGB;FGA;FGG
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	3/239	0.00019005575087453592	0.010385189244215713	0	0	25.104602510460246	215.10108208843238	FGB;FGA;FGG
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	3/239	0.00019005575087453592	0.010027079270277241	0	0	25.104602510460246	215.10108208843238	FGB;FGA;FGG
Reactome_2016	Retinoid metabolism and transport Homo sapiens R-HSA-975634	2/42	0.00019167176285246336	0.009775259905475632	0	0	95.23809523809523	815.2120207040997	APOA2;APOC3
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	3/240	0.00019241074355822626	0.00949640121432536	0	0	25.0	213.89695453979812	FGB;FGA;FGG
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	3/241	0.00019478468503091324	0.009313142753040541	0	0	24.89626556016597	212.70412752160047	FGB;FGA;FGG
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	3/242	0.00019717764430167352	0.009141872599441228	0	0	24.793388429752067	211.52245011154412	FGB;FGA;FGG
Reactome_2016	Signaling by Leptin Homo sapiens R-HSA-2586552	3/243	0.0001995896902285405	0.008981536060284323	0	0	24.691358024691358	210.351774014384	FGB;FGA;FGG
Reactome_2016	Interleukin receptor SHC signaling Homo sapiens R-HSA-912526	3/245	0.00020447131728597076	0.008938317584215292	0	0	24.489795918367342	208.04284530829648	FGB;FGA;FGG
Reactome_2016	Signalling to RAS Homo sapiens R-HSA-167044	3/246	0.0002069410358131716	0.008794994022059792	0	0	24.39024390243902	206.9043086931902	FGB;FGA;FGG
Reactome_2016	VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921	3/248	0.00021193862576139895	0.008763948578782174	0	0	24.19354838709677	204.65839902414382	FGB;FGA;FGG
Reactome_2016	Interleukin-2 signaling Homo sapiens R-HSA-451927	3/252	0.00022216833218475802	0.008945198637965255	0	0	23.809523809523807	200.2875050080032	FGB;FGA;FGG
Reactome_2016	Signalling to ERKs Homo sapiens R-HSA-187687	3/253	0.00022477501649325972	0.00881809680088942	0	0	23.715415019762844	199.2192233055341	FGB;FGA;FGG
Reactome_2016	Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988	3/261	0.0002463483980573952	0.009422826225695366	0	0	22.988505747126432	191.00606371736615	FGB;FGA;FGG
Reactome_2016	NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165	3/266	0.000260491924531315	0.009720796208119805	0	0	22.55639097744361	186.15651196536427	FGB;FGA;FGG
Reactome_2016	Extracellular matrix organization Homo sapiens R-HSA-1474244	3/283	0.00031250356501736845	0.011384058439918422	0	0	21.201413427561842	171.11437485789352	FGB;FGA;FGG
Reactome_2016	IRS-mediated signalling Homo sapiens R-HSA-112399	3/284	0.00031575648796281224	0.011235056432165179	0	0	21.12676056338028	170.29308272874783	FGB;FGA;FGG
Reactome_2016	MAPK family signaling cascades Homo sapiens R-HSA-5683057	3/284	0.00031575648796281224	0.01097971424052506	0	0	21.12676056338028	170.29308272874783	FGB;FGA;FGG
Reactome_2016	Insulin receptor signalling cascade Homo sapiens R-HSA-74751	3/287	0.00032564696316430576	0.011071996747586394	0	0	20.905923344947734	167.86822366148272	FGB;FGA;FGG
Reactome_2016	IGF1R signaling cascade Homo sapiens R-HSA-2428924	3/288	0.0003289879083357983	0.01094242390769068	0	0	20.83333333333333	167.07269918027148	FGB;FGA;FGG
Reactome_2016	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192	3/288	0.0003289879083357983	0.010709606377739815	0	0	20.83333333333333	167.07269918027148	FGB;FGA;FGG
Reactome_2016	IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928	3/288	0.0003289879083357983	0.01048648957820357	0	0	20.83333333333333	167.07269918027148	FGB;FGA;FGG
Reactome_2016	FCERI mediated MAPK activation Homo sapiens R-HSA-2871796	3/289	0.00033235102219996966	0.010377491101345991	0	0	20.761245674740483	166.28343636972184	FGB;FGA;FGG
Reactome_2016	Signaling by Insulin receptor Homo sapiens R-HSA-74752	3/311	0.00041207919289728206	0.01260962330265683	0	0	19.29260450160772	150.37225102216846	FGB;FGA;FGG
