Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Signaling by ERBB4 Homo sapiens R-HSA-1236394	3/330	0.0025493024368510816	1.0	0	0	10.695187165775401	63.87096803647719	ERBB3;S100B;GFRA3
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	4/786	0.0037407271763055055	1.0	0	0	5.987127675497682	33.45891485878122	FOXD3;ERBB3;GFRA3;L1CAM
Reactome_2016	GRB7 events in ERBB2 signaling Homo sapiens R-HSA-1306955	1/5	0.0042431439889969325	1.0	0	0	235.29411764705884	1285.2825359246453	ERBB3
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	3/515	0.008820073705394523	1.0	0	0	6.853226727584239	32.42073136980692	ERBB3;GFRA3;L1CAM
Reactome_2016	ERBB2 Activates PTK6 Signaling Homo sapiens R-HSA-8847993	1/13	0.010996994142530848	1.0	0	0	90.49773755656106	408.15686002678217	ERBB3
Reactome_2016	Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	1/13	0.010996994142530848	1.0	0	0	90.49773755656106	408.15686002678217	ERBB3
Reactome_2016	DEx/H-box helicases activate type I IFN and inflammatory cytokines production Homo sapiens R-HSA-3134963	1/13	0.010996994142530848	1.0	0	0	90.49773755656106	408.15686002678217	S100B
Reactome_2016	POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation Homo sapiens R-HSA-2892247	1/13	0.010996994142530848	1.0	0	0	90.49773755656106	408.15686002678217	FOXD3
Reactome_2016	Advanced glycosylation endproduct receptor signaling Homo sapiens R-HSA-879415	1/13	0.010996994142530848	1.0	0	0	90.49773755656106	408.15686002678217	S100B
Reactome_2016	ERBB2 Regulates Cell Motility Homo sapiens R-HSA-6785631	1/15	0.012678709933633065	1.0	0	0	78.43137254901961	342.57498630578084	ERBB3
Reactome_2016	PI3K events in ERBB2 signaling Homo sapiens R-HSA-1963642	1/16	0.013518558453539395	1.0	0	0	73.52941176470588	316.447929214037	ERBB3
Reactome_2016	Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642	1/17	0.014357734707201343	1.0	0	0	69.20415224913495	293.6655002076693	SLC5A7
Reactome_2016	SHC1 events in ERBB2 signaling Homo sapiens R-HSA-1250196	1/18	0.015196239191186837	1.0	0	0	65.359477124183	273.6410002206623	ERBB3
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	2/235	0.016646426591355092	1.0	0	0	10.012515644555695	41.006855616795995	ERBB3;GFRA3
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	2/235	0.016646426591355092	1.0	0	0	10.012515644555695	41.006855616795995	ERBB3;GFRA3
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	2/235	0.016646426591355092	1.0	0	0	10.012515644555695	41.006855616795995	ERBB3;GFRA3
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	2/235	0.016646426591355092	1.0	0	0	10.012515644555695	41.006855616795995	ERBB3;GFRA3
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	2/235	0.016646426591355092	1.0	0	0	10.012515644555695	41.006855616795995	ERBB3;GFRA3
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	2/236	0.0167803613567908	1.0	0	0	9.970089730807578	40.75320082956428	ERBB3;GFRA3
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	2/236	0.0167803613567908	1.0	0	0	9.970089730807578	40.75320082956428	ERBB3;GFRA3
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	2/236	0.0167803613567908	1.0	0	0	9.970089730807578	40.75320082956428	ERBB3;GFRA3
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	2/236	0.0167803613567908	1.0	0	0	9.970089730807578	40.75320082956428	ERBB3;GFRA3
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	2/239	0.01718496961322088	1.0	0	0	9.844942160964806	40.007089706100466	ERBB3;GFRA3
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	2/239	0.01718496961322088	1.0	0	0	9.844942160964806	40.007089706100466	ERBB3;GFRA3
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	2/240	0.017320771047777586	1.0	0	0	9.803921568627453	39.76322410851635	ERBB3;GFRA3
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	2/241	0.01745703716897542	1.0	0	0	9.76324139614352	39.521722582071035	ERBB3;GFRA3
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	2/242	0.01759376719493799	0.9969801410464862	0	0	9.722897423432183	39.282553002532566	ERBB3;GFRA3
Reactome_2016	Signal transduction by L1 Homo sapiens R-HSA-445144	1/21	0.01770772695128657	0.9676007941238732	0	0	56.022408963585434	225.98062654021498	L1CAM
Reactome_2016	RIP-mediated NFkB activation via ZBP1 Homo sapiens R-HSA-1810476	1/21	0.01770772695128657	0.9342352494989122	0	0	56.022408963585434	225.98062654021498	S100B
