Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Smooth Muscle Contraction Homo sapiens R-HSA-445355	8/33	1.928603924252016e-13	2.950764004105584e-10	0	0	69.26406926406926	2027.830983415641	ACTA2;TPM2;TPM1;LMOD1;MYH11;MYL9;ACTG2;MYLK
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	11/196	7.89720126568714e-11	6.041358968250665e-08	0	0	16.034985422740526	373.00466991305876	ACTA2;KCNH2;DES;PLN;TPM2;TPM1;LMOD1;MYH11;MYL9;ACTG2;MYLK
Reactome_2016	Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	5/16	1.9247927286817635e-09	9.816442916276994e-07	0	0	89.28571428571428	1791.8256739657081	ACTN1;FLNA;FLNC;FERMT2;LIMS2
Reactome_2016	RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	5/21	8.846443037049535e-09	3.383764461671447e-06	0	0	68.02721088435375	1261.4456037710415	FLNA;MYH11;PPP1R12B;MYL9;MYLK
Reactome_2016	Cell junction organization Homo sapiens R-HSA-446728	5/86	1.2697964754733875e-05	0.0038855772149485658	0	0	16.611295681063122	187.27689091154124	ACTN1;FLNA;FLNC;LIMS2;FERMT2
Reactome_2016	RHO GTPases Activate ROCKs Homo sapiens R-HSA-5627117	3/17	2.6954533689014554e-05	0.006873406090698711	0	0	50.420168067226896	530.4886915371532	MYH11;PPP1R12B;MYL9
Reactome_2016	RHO GTPases activate PKNs Homo sapiens R-HSA-5625740	4/60	5.786766005786725e-05	0.012648217126933842	0	0	19.047619047619047	185.85432147914008	PPP1R14A;MYH11;PPP1R12B;MYL9
Reactome_2016	Cell-Cell communication Homo sapiens R-HSA-1500931	5/131	9.608676823990363e-05	0.01837659442588157	0	0	10.905125408942203	100.8752337936506	ACTN1;FLNA;FLNC;LIMS2;FERMT2
Reactome_2016	Striated Muscle Contraction Homo sapiens R-HSA-390522	3/34	0.00022730011872938632	0.03864102018399567	0	0	25.210084033613448	211.49342785107467	DES;TPM2;TPM1
Reactome_2016	RHO GTPase Effectors Homo sapiens R-HSA-195258	6/255	0.0002684175654353724	0.04106788751161198	0	0	6.722689075630252	55.280448470709025	PPP1R14A;FLNA;MYH11;PPP1R12B;MYL9;MYLK
Reactome_2016	RHO GTPases activate CIT Homo sapiens R-HSA-5625900	2/16	0.0014037974466504124	0.1952554630341028	0	0	35.714285714285715	234.5919375912061	MYH11;MYL9
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	6/367	0.0017891238130445602	0.2281132861631814	0	0	4.671078240560528	29.54937766705182	PPP1R14A;FLNA;MYH11;PPP1R12B;MYL9;MYLK
Reactome_2016	Sema4D induced cell migration and growth-cone collapse Homo sapiens R-HSA-416572	2/24	0.0031709078149766263	0.3731914582241721	0	0	23.809523809523807	136.99374655063733	MYH11;MYL9
Reactome_2016	Sema4D in semaphorin signaling Homo sapiens R-HSA-400685	2/27	0.004005366311185982	0.4377293182938966	0	0	21.16402116402116	116.82794156988741	MYH11;MYL9
Reactome_2016	Potassium Channels Homo sapiens R-HSA-1296071	3/99	0.005065997742481803	0.5167317697331437	0	0	8.658008658008658	45.75934348938692	KCNH2;KCNB1;KCNMB1
Reactome_2016	EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	2/34	0.006301555401387425	0.6025862352576726	0	0	16.80672268907563	85.15897120920397	MYH11;MYL9
Reactome_2016	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion Homo sapiens R-HSA-381676	2/42	0.00949891149531593	0.8549020345784336	0	0	13.60544217687075	63.35480362422851	KCNB1;ADCY5
Reactome_2016	Voltage gated Potassium channels Homo sapiens R-HSA-1296072	2/43	0.009939917315218262	0.8448929717935524	0	0	13.289036544850497	61.27835982374429	KCNH2;KCNB1
Reactome_2016	PLC beta mediated events Homo sapiens R-HSA-112043	2/44	0.010389884912665695	0.836659153493606	0	0	12.987012987012987	59.3106824762714	GNAZ;ADCY5
Reactome_2016	G-protein mediated events Homo sapiens R-HSA-112040	2/45	0.010848748012311778	0.829929222941851	0	0	12.6984126984127	57.44388058697164	GNAZ;ADCY5
Reactome_2016	G alpha (z) signalling events Homo sapiens R-HSA-418597	2/46	0.011316440692534107	0.8244835361703421	0	0	12.422360248447205	55.67079108203784	GNAZ;ADCY5
Reactome_2016	Tachykinin receptors bind tachykinins Homo sapiens R-HSA-380095	1/5	0.017379513575201528	1.0	0	0	57.14285714285714	231.56932269453802	TACR2
Reactome_2016	Protein repair Homo sapiens R-HSA-5676934	1/6	0.020819530478468958	1.0	0	0	47.61904761904761	184.374465119811	MSRB3
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	4/301	0.021220670635629067	1.0	0	0	3.796867584243	14.628493753600928	KCNH2;KCNB1;KCNMB1;ADCY5
Reactome_2016	Semaphorin interactions Homo sapiens R-HSA-373755	2/67	0.02306442171424955	1.0	0	0	8.528784648187633	32.14894698754555	MYH11;MYL9
