Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Attenuation phase Homo sapiens R-HSA-3371568	2/26	1.624943568746254e-06	0.002486163660181769	0	0	769.2307692307692	10253.87497670073	HSPA1B;HSPA1A
Reactome_2016	HSF1 activation Homo sapiens R-HSA-3371511	2/29	2.029935198701854e-06	0.0015529004270069182	0	0	689.655172413793	9039.659784304715	HSPA1B;HSPA1A
Reactome_2016	HSF1-dependent transactivation Homo sapiens R-HSA-3371571	2/34	2.8049216580390343e-06	0.0014305100455999074	0	0	588.2352941176471	7520.079381633821	HSPA1B;HSPA1A
Reactome_2016	Regulation of HSF1-mediated heat shock response Homo sapiens R-HSA-3371453	2/80	1.5799869183645948e-05	0.006043449962744575	0	0	250.0	2763.877224370427	HSPA1B;HSPA1A
Reactome_2016	Cellular response to heat stress Homo sapiens R-HSA-3371556	2/96	2.279989792442146e-05	0.006976768764872967	0	0	208.3333333333333	2226.8238539610334	HSPA1B;HSPA1A
Reactome_2016	Cellular responses to stress Homo sapiens R-HSA-2262752	2/367	0.00033581154547679604	0.085631944096583	0	0	54.49591280653951	435.9106502402354	HSPA1B;HSPA1A
Reactome_2016	Export of Viral Ribonucleoproteins from Nucleus Homo sapiens R-HSA-168274	1/31	0.00309762542370701	0.677052414038818	0	0	322.5806451612903	1863.5869204405344	HSPA1A
Reactome_2016	AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	1/54	0.005392774079075333	1.0	0	0	185.1851851851852	967.1658064845562	HSPA1A
Reactome_2016	Regulation of mRNA stability by proteins that bind AU-rich elements Homo sapiens R-HSA-450531	1/86	0.008581630520246299	1.0	0	0	116.27906976744184	553.2710867688753	HSPA1A
Reactome_2016	Influenza Life Cycle Homo sapiens R-HSA-168255	1/136	0.013553976175435224	1.0	0	0	73.52941176470588	316.25553897215667	HSPA1A
Reactome_2016	Influenza Infection Homo sapiens R-HSA-168254	1/147	0.014646215501499313	1.0	0	0	68.02721088435375	287.31791186626367	HSPA1A
Reactome_2016	Infectious disease Homo sapiens R-HSA-5663205	1/348	0.034497899637551274	1.0	0	0	28.73563218390805	96.74875968014558	HSPA1A
Reactome_2016	Disease Homo sapiens R-HSA-1643685	1/725	0.07118742088818214	1.0	0	0	13.79310344827586	36.44743653919304	HSPA1A
Reactome_2016	Gene Expression Homo sapiens R-HSA-74160	1/1631	0.1564530055642246	1.0	0	0	6.131207847946046	11.373388093383474	HSPA1A
