,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,5.216262993829953e-06,15597.401862720995,Reactome_2016,FGB;FGA;FGG,800.0,0,0,3/15,3.409322218189512e-09,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,2.608131496914976e-06,15597.401862720995,Reactome_2016,FGB;FGA;FGG,800.0,0,0,3/15,3.409322218189512e-09,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,1.8212671475413144e-06,2963.8687679908912,Reactome_2016,FGB;FGA;FGG;ALB,152.38095238095238,0,0,4/105,3.571112054002577e-09,Platelet degranulation_Homo sapiens_R-HSA-114608
3,1.6493615650507157e-06,2801.7237714134553,Reactome_2016,FGB;FGA;FGG;ALB,145.45454545454544,0,0,4/110,4.312056379217557e-09,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
4,3.529231567916214e-06,9969.826635715215,Reactome_2016,FGB;FGA;FGG,545.4545454545454,0,0,3/22,1.1533436496458214e-08,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
5,5.584005143055944e-06,7838.607918501634,Reactome_2016,FGB;FGA;FGG,444.44444444444434,0,0,3/27,2.1898059384533117e-08,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
6,1.2705009157038752e-05,5403.4466224153475,Reactome_2016,FGB;FGA;FGG,324.3243243243243,0,0,3/37,5.81274928753407e-08,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
7,1.2068867937126098e-05,5235.304039394579,Reactome_2016,FGB;FGA;FGG,315.7894736842105,0,0,3/38,6.310519182811031e-08,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
8,1.1621014615194611e-05,5076.459671114095,Reactome_2016,FGB;FGA;FGG,307.6923076923077,0,0,3/39,6.835890950114476e-08,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
9,1.8941130211500115e-05,1005.8253103634146,Reactome_2016,FGB;FGA;FGG;ALB,63.24110671936759,0,0,4/253,1.2379823667647134e-07,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
10,4.9736243063795145e-05,2658.609742480765,Reactome_2016,FGB;FGA;FGG,179.1044776119403,0,0,3/67,3.5758083248480175e-07,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
11,0.00035797655960915755,370.5263598335587,Reactome_2016,FGB;FGA;FGG;ALB,28.98550724637681,0,0,4/552,2.807659291052216e-06,Hemostasis_Homo sapiens_R-HSA-109582
12,0.0018524585571395237,564.7309904315191,Reactome_2016,FGB;FGA;FGG,51.06382978723404,0,0,3/235,1.5739843949551512e-05,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
13,0.001720140088772415,564.7309904315191,Reactome_2016,FGB;FGA;FGG,51.06382978723404,0,0,3/235,1.5739843949551512e-05,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
14,0.0016054640828542539,564.7309904315191,Reactome_2016,FGB;FGA;FGG,51.06382978723404,0,0,3/235,1.5739843949551512e-05,SOS-mediated signalling_Homo sapiens_R-HSA-112412
15,0.001505122577675863,564.7309904315191,Reactome_2016,FGB;FGA;FGG,51.06382978723404,0,0,3/235,1.5739843949551512e-05,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
16,0.0014165859554596358,564.7309904315191,Reactome_2016,FGB;FGA;FGG,51.06382978723404,0,0,3/235,1.5739843949551512e-05,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
17,0.0013550104449655395,561.6913918326533,Reactome_2016,FGB;FGA;FGG,50.847457627118644,0,0,3/236,1.5941299352535763e-05,FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700
18,0.001283694105756827,561.6913918326533,Reactome_2016,FGB;FGA;FGG,50.847457627118644,0,0,3/236,1.5941299352535763e-05,FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712
19,0.0012195094004689858,561.6913918326533,Reactome_2016,FGB;FGA;FGG,50.847457627118644,0,0,3/236,1.5941299352535763e-05,FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706
20,0.0011614375242561769,561.6913918326533,Reactome_2016,FGB;FGA;FGG,50.847457627118644,0,0,3/236,1.5941299352535763e-05,FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693
21,0.0011513876812445473,552.7414868156201,Reactome_2016,FGB;FGA;FGG,50.20920502092049,0,0,3/239,1.6555901298941205e-05,ARMS-mediated activation_Homo sapiens_R-HSA-170984
22,0.001101327347277393,552.7414868156201,Reactome_2016,FGB;FGA;FGG,50.20920502092049,0,0,3/239,1.6555901298941205e-05,Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706
23,0.0010687179912279552,549.8132335964285,Reactome_2016,FGB;FGA;FGG,50.0,0,0,3/240,1.6764203783967925e-05,Frs2-mediated activation_Homo sapiens_R-HSA-170968
24,0.0010388232109188155,546.9118966292568,Reactome_2016,FGB;FGA;FGG,49.79253112033194,0,0,3/241,1.697423547252967e-05,MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996
25,0.0010113301963635855,544.0371205740273,Reactome_2016,FGB;FGA;FGG,49.586776859504134,0,0,3/242,1.7186003336897532e-05,Prolonged ERK activation events_Homo sapiens_R-HSA-169893
26,0.0009859724794702598,541.1885562183254,Reactome_2016,FGB;FGA;FGG,49.382716049382715,0,0,3/243,1.739951434359282e-05,Signaling by Leptin_Homo sapiens_R-HSA-2586552
27,0.0009743801524770516,535.5686955622486,Reactome_2016,FGB;FGA;FGG,48.979591836734684,0,0,3/245,1.7831793640102905e-05,Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526
