,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,0.0009733788429205004,2113.742253396209,Reactome_2016,GH1;LHB;CGA,148.14814814814812,0,0,3/81,6.361953221702618e-07,Peptide hormone metabolism_Homo sapiens_R-HSA-2980736
1,0.0005734947639495183,18804.850113673576,Reactome_2016,LHB;CGA,1333.3333333333333,0,0,2/6,7.496663581039455e-07,Mineralocorticoid biosynthesis_Homo sapiens_R-HSA-193993
2,0.0011465469422968619,10404.328990577696,Reactome_2016,LHB;CGA,800.0,0,0,2/10,2.248131259405612e-06,Glycoprotein hormones_Homo sapiens_R-HSA-209822
3,0.0008599102067226465,10404.328990577696,Reactome_2016,LHB;CGA,800.0,0,0,2/10,2.248131259405612e-06,Reactions specific to the complex N-glycan synthesis pathway_Homo sapiens_R-HSA-975578
4,0.0008407190566446594,9312.609537774711,Reactome_2016,LHB;CGA,727.2727272727273,0,0,2/11,2.747447897531567e-06,Hormone ligand-binding receptors_Homo sapiens_R-HSA-375281
5,0.0007005992138705495,9312.609537774711,Reactome_2016,LHB;CGA,727.2727272727273,0,0,2/11,2.747447897531567e-06,Androgen biosynthesis_Homo sapiens_R-HSA-193048
6,0.0007205458375380299,8415.07626054141,Reactome_2016,LHB;CGA,666.6666666666666,0,0,2/12,3.2966149429844506e-06,Peptide hormone biosynthesis_Homo sapiens_R-HSA-209952
7,0.001002737049430308,6484.588501950642,Reactome_2016,GH1;PRL,533.3333333333334,0,0,2/15,5.243069539504879e-06,Prolactin receptor signaling_Homo sapiens_R-HSA-1170546
8,0.0023408192791520587,3731.017576214832,Reactome_2016,GH1;PRL,333.3333333333333,0,0,2/24,1.3769525171482694e-05,Growth hormone receptor signaling_Homo sapiens_R-HSA-982772
9,0.002480267378121717,3393.792871461665,Reactome_2016,LHB;CGA,307.6923076923077,0,0,2/26,1.621089789622037e-05,N-glycan antennae elongation in the medial/trans-Golgi_Homo sapiens_R-HSA-975576
10,0.003016748904233492,2863.6542108869926,Reactome_2016,LHB;CGA,266.6666666666667,0,0,2/30,2.168904440952184e-05,Metabolism of steroid hormones_Homo sapiens_R-HSA-196071
11,0.00423090361314431,2229.93644393671,Reactome_2016,LHB;CGA,216.21621621621625,0,0,2/37,3.3183557750151454e-05,Steroid hormones_Homo sapiens_R-HSA-209943
12,0.004344386994652214,2093.732157964463,Reactome_2016,GH1;PRL,205.1282051282051,0,0,2/39,3.691309211142404e-05,Nuclear signaling by ERBB4_Homo sapiens_R-HSA-1251985
13,0.004326225901426073,151.01713844493332,Reactome_2016,GH1;LHB;PRL;CGA,14.8975791433892,0,0,4/1074,3.958638079736276e-05,Metabolism of proteins_Homo sapiens_R-HSA-392499
