,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,2.917253914931585e-05,8887.652872829836,Reactome_2016,FGB;FGA;FGG,500.0,0,0,3/15,1.9067019051840425e-08,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,1.4586269574657926e-05,8887.652872829836,Reactome_2016,FGB;FGA;FGG,500.0,0,0,3/15,1.9067019051840425e-08,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,2.519110787931391e-05,1602.2314488921595,Reactome_2016,FGB;FGA;FGG;ALB,95.23809523809523,0,0,4/105,4.9394329175125314e-08,Platelet degranulation_Homo sapiens_R-HSA-114608
3,2.279962577466743e-05,1512.3177353451772,Reactome_2016,FGB;FGA;FGG;ALB,90.9090909090909,0,0,4/110,5.960686477037238e-08,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
4,1.9722038574546618e-05,5644.554184122916,Reactome_2016,FGB;FGA;FGG,340.9090909090909,0,0,3/22,6.445110645276673e-08,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
5,3.1186922176592964e-05,4421.326460329564,Reactome_2016,FGB;FGA;FGG,277.77777777777777,0,0,3/27,1.2230165559448216e-07,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
6,7.087807987736622e-05,3028.715312256452,Reactome_2016,FGB;FGA;FGG,202.70270270270268,0,0,3/37,3.242787968245513e-07,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
7,6.732161518624895e-05,2932.81789519155,Reactome_2016,FGB;FGA;FGG,197.36842105263162,0,0,3/38,3.520084454182952e-07,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
8,6.481612603666049e-05,2842.260493081929,Reactome_2016,FGB;FGA;FGG,192.3076923076923,0,0,3/39,3.8127132962741454e-07,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
9,0.0002573445661161151,525.5151212744037,Reactome_2016,FGB;FGA;FGG;ALB,39.525691699604735,0,0,4/253,1.6819906282099026e-06,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
