,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,0.008021896395442464,6484.588501950642,Reactome_2016,FGB;FGA,533.3333333333334,0,0,2/15,5.243069539504879e-06,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,0.004010948197721232,6484.588501950642,Reactome_2016,FGB;FGA,533.3333333333334,0,0,2/15,5.243069539504879e-06,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,0.005878657080607315,4134.850056918626,Reactome_2016,FGB;FGA,363.6363636363636,0,0,2/22,1.1526778589426107e-05,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
3,0.006696057150875874,3245.322981932128,Reactome_2016,FGB;FGA,296.29629629629625,0,0,2/27,1.750603176699575e-05,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
4,0.010154168671546344,2229.93644393671,Reactome_2016,FGB;FGA,216.21621621621625,0,0,2/37,3.3183557750151454e-05,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
5,0.00893101826643362,2159.892296454033,Reactome_2016,FGB;FGA,210.5263157894737,0,0,2/38,3.5023601044837734e-05,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
6,0.008068147275782683,2093.732157964463,Reactome_2016,FGB;FGA,205.1282051282051,0,0,2/39,3.691309211142404e-05,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
7,0.02100578868360357,1088.5419343701624,Reactome_2016,FGB;FGA,119.40298507462687,0,0,2/67,0.0001098341891953128,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
8,0.04593455891094722,626.0065497002835,Reactome_2016,FGB;FGA,76.19047619047619,0,0,2/105,0.0002702032877114542,Platelet degranulation_Homo sapiens_R-HSA-114608
9,0.045369204502971515,590.7897920290501,Reactome_2016,FGB;FGA,72.72727272727272,0,0,2/110,0.0002965307483854346,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
