,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,2.0874083710249312e-06,20412.61028969105,Reactome_2016,FGB;FGA;FGG,1000.0,0,0,3/15,1.364319196748321e-09,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,1.0437041855124656e-06,20412.61028969105,Reactome_2016,FGB;FGA;FGG,1000.0,0,0,3/15,1.364319196748321e-09,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,2.35446043223371e-06,13086.552067015657,Reactome_2016,FGB;FGA;FGG,681.8181818181818,0,0,3/22,4.616589082811197e-09,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
3,3.3533687297581435e-06,10306.818766494007,Reactome_2016,FGB;FGA;FGG,555.5555555555555,0,0,3/27,8.766977071263121e-09,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
4,7.123783014584747e-06,7125.266251346487,Reactome_2016,FGB;FGA;FGG,405.40540540540536,0,0,3/37,2.3280336648969763e-08,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
5,6.445094293562549e-06,6905.31111960794,Reactome_2016,FGB;FGA;FGG,394.7368421052631,0,0,3/38,2.5274879582598235e-08,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
6,5.9845136193925e-06,6697.480136226502,Reactome_2016,FGB;FGA;FGG,384.6153846153846,0,0,3/39,2.7380127670423198e-08,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
7,2.7420382033572493e-05,3527.866885963997,Reactome_2016,FGB;FGA;FGG,223.8805970149253,0,0,3/67,1.4337454658077118e-07,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
8,9.52437185180154e-05,2056.4099900713954,Reactome_2016,FGB;FGA;FGG,142.85714285714286,0,0,3/105,5.602571677530319e-07,Platelet degranulation_Homo sapiens_R-HSA-114608
9,9.86690614884271e-05,1943.7514148390653,Reactome_2016,FGB;FGA;FGG,136.36363636363637,0,0,3/110,6.448958267217457e-07,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
10,0.0008833814922383508,763.8434777368881,Reactome_2016,FGB;FGA;FGG,63.82978723404255,0,0,3/235,6.351108767726705e-06,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
11,0.0008097663678851549,763.8434777368881,Reactome_2016,FGB;FGA;FGG,63.82978723404255,0,0,3/235,6.351108767726705e-06,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
12,0.0007474766472786045,763.8434777368881,Reactome_2016,FGB;FGA;FGG,63.82978723404255,0,0,3/235,6.351108767726705e-06,SOS-mediated signalling_Homo sapiens_R-HSA-112412
13,0.0006940854581872758,763.8434777368881,Reactome_2016,FGB;FGA;FGG,63.82978723404255,0,0,3/235,6.351108767726705e-06,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
14,0.0006478130943081238,763.8434777368881,Reactome_2016,FGB;FGA;FGG,63.82978723404255,0,0,3/235,6.351108767726705e-06,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
15,0.0006151212233750878,759.796111687456,Reactome_2016,FGB;FGA;FGG,63.5593220338983,0,0,3/236,6.432640244445363e-06,FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700
16,0.0005789376220000826,759.796111687456,Reactome_2016,FGB;FGA;FGG,63.5593220338983,0,0,3/236,6.432640244445363e-06,FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712
17,0.0005467744207778559,759.796111687456,Reactome_2016,FGB;FGA;FGG,63.5593220338983,0,0,3/236,6.432640244445363e-06,FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706
18,0.0005179968196842845,759.796111687456,Reactome_2016,FGB;FGA;FGG,63.5593220338983,0,0,3/236,6.432640244445363e-06,FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693
19,0.0005111272879108101,747.8775717926594,Reactome_2016,FGB;FGA;FGG,62.761506276150634,0,0,3/239,6.68140245635046e-06,ARMS-mediated activation_Homo sapiens_R-HSA-170984
20,0.0004867878932483907,747.8775717926594,Reactome_2016,FGB;FGA;FGG,62.761506276150634,0,0,3/239,6.68140245635046e-06,Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706
21,0.0004705252188670659,743.9775975788064,Reactome_2016,FGB;FGA;FGG,62.5,0,0,3/240,6.7657221013565025e-06,Frs2-mediated activation_Homo sapiens_R-HSA-170968
22,0.0004557235397806028,740.1132574590628,Reactome_2016,FGB;FGA;FGG,62.24066390041494,0,0,3/241,6.850746022845665e-06,MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996
23,0.0004422004160088802,736.2840826121301,Reactome_2016,FGB;FGA;FGG,61.98347107438016,0,0,3/242,6.9364771138647875e-06,Prolonged ERK activation events_Homo sapiens_R-HSA-169893
24,0.00042980259788402117,732.4896122771801,Reactome_2016,FGB;FGA;FGG,61.72839506172839,0,0,3/243,7.022918266078778e-06,Signaling by Leptin_Homo sapiens_R-HSA-2586552
25,0.00042357122129691176,725.0029813042345,Reactome_2016,FGB;FGA;FGG,61.22448979591836,0,0,3/245,7.197942322692618e-06,Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526
