,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,0.007219457715372126,7007.999115405087,Reactome_2016,JUN;FOS,571.4285714285714,0,0,2/10,4.71859981396871e-06,Activation of the AP-1 family of transcription factors_Homo sapiens_R-HSA-450341
1,0.03477870303566076,1904.5001704951212,Reactome_2016,JUN;FOS,190.47619047619045,0,0,2/30,4.546235690936047e-05,MAPK targets/ Nuclear events mediated by MAP kinases_Homo sapiens_R-HSA-450282
11,0.04713715554044445,531.2813504921742,Reactome_2016,JUN;FOS,67.22689075630252,0,0,2/85,0.0003697031807093683,Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181
12,0.04663239388300505,508.671005751608,Reactome_2016,JUN;FOS,64.93506493506493,0,0,2/88,0.0003962229545614808,Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138
13,0.04629858478667425,487.69918802454436,Reactome_2016,JUN;FOS,62.79434850863422,0,0,2/91,0.00042364718105453565,Oxidative Stress Induced Senescence_Homo sapiens_R-HSA-2559580
14,0.04416491275587271,481.0433197195366,Reactome_2016,JUN;FOS,62.111801242236034,0,0,2/92,0.0004329893407438501,MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058
15,0.041404605708630665,481.0433197195366,Reactome_2016,JUN;FOS,62.111801242236034,0,0,2/92,0.0004329893407438501,Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179
16,0.038969040666946515,481.0433197195366,Reactome_2016,JUN;FOS,62.111801242236034,0,0,2/92,0.0004329893407438501,Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188
17,0.036804093963227265,481.0433197195366,Reactome_2016,JUN;FOS,62.111801242236034,0,0,2/92,0.0004329893407438501,Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438
18,0.038749542730962865,450.0277089227528,Reactome_2016,JUN;FOS,58.91016200294551,0,0,2/97,0.00048120347182241467,MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166
19,0.03681206559441472,450.0277089227528,Reactome_2016,JUN;FOS,58.91016200294551,0,0,2/97,0.00048120347182241467,Toll Like Receptor 3 (TLR3) Cascade_Homo sapiens_R-HSA-168164
20,0.03505911008991878,450.0277089227528,Reactome_2016,JUN;FOS,58.91016200294551,0,0,2/97,0.00048120347182241467,TRIF-mediated TLR3/TLR4 signaling_Homo sapiens_R-HSA-937061
21,0.044566511051831716,375.14046613817015,Reactome_2016,JUN;FOS,51.020408163265294,0,0,2/112,0.0006408256491113056,Activated TLR4 signalling_Homo sapiens_R-HSA-166054
