,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,6.245711024771592e-05,6805.621394885068,Reactome_2016,FGB;FGA;FGG,400.0,0,0,3/15,4.0821640684781646e-08,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,3.122855512385796e-05,6805.621394885068,Reactome_2016,FGB;FGA;FGG,400.0,0,0,3/15,4.0821640684781646e-08,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,7.033632799775255e-05,4308.1725986220035,Reactome_2016,FGB;FGA;FGG,272.7272727272727,0,0,3/22,1.379143686230442e-07,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
3,5.622405776376909e-05,1198.6967216640285,Reactome_2016,FGB;FGA;FGG;ALB,76.19047619047619,0,0,4/105,1.4699100068959241e-07,Platelet degranulation_Homo sapiens_R-HSA-114608
4,5.425715749701129e-05,1130.5716902378194,Reactome_2016,FGB;FGA;FGG;ALB,72.72727272727272,0,0,4/110,1.773109722124552e-07,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
5,6.670962381822242e-05,3368.094416772989,Reactome_2016,FGB;FGA;FGG,222.22222222222217,0,0,3/27,2.616063679145977e-07,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
6,0.00015149617454455558,2299.794007977698,Reactome_2016,FGB;FGA;FGG,162.16216216216216,0,0,3/37,6.931197528182283e-07,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
7,0.00014388371009818796,2226.3294672816032,Reactome_2016,FGB;FGA;FGG,157.89473684210526,0,0,3/38,7.523331246964077e-07,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
8,0.00013851842643868817,2156.9700977473763,Reactome_2016,FGB;FGA;FGG,153.84615384615384,0,0,3/39,8.148142731687541e-07,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
9,0.0006487011411541111,1107.848629253665,Reactome_2016,FGB;FGA;FGG,89.55223880597015,0,0,3/67,4.239876739569354e-06,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
10,0.0006879673519824326,386.3050408303209,Reactome_2016,FGB;FGA;FGG;ALB,31.620553359683797,0,0,4/253,4.946170504448861e-06,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
11,0.013462115447267229,132.69553864116213,Reactome_2016,FGB;FGA;FGG;ALB,14.492753623188404,0,0,4/552,0.00010558521919425275,Hemostasis_Homo sapiens_R-HSA-109582
12,0.021281580371475727,220.03371085823804,Reactome_2016,FGB;FGA;FGG,25.53191489361702,0,0,3/235,0.00018082388550927088,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
13,0.01976146748779889,220.03371085823804,Reactome_2016,FGB;FGA;FGG,25.53191489361702,0,0,3/235,0.00018082388550927088,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
14,0.01844403632194563,220.03371085823804,Reactome_2016,FGB;FGA;FGG,25.53191489361702,0,0,3/235,0.00018082388550927088,SOS-mediated signalling_Homo sapiens_R-HSA-112412
15,0.017291284051824028,220.03371085823804,Reactome_2016,FGB;FGA;FGG,25.53191489361702,0,0,3/235,0.00018082388550927088,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
16,0.016274149695834378,220.03371085823804,Reactome_2016,FGB;FGA;FGG,25.53191489361702,0,0,3/235,0.00018082388550927088,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
