,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,1.8240900234433248e-05,10425.6384194083,Reactome_2016,FGB;FGA;FGG,571.4285714285714,0,0,3/15,1.1922157015969443e-08,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,9.120450117216624e-06,10425.6384194083,Reactome_2016,FGB;FGA;FGG,571.4285714285714,0,0,3/15,1.1922157015969443e-08,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,1.2646495449522953e-05,1906.1269275053135,Reactome_2016,FGB;FGA;FGG;ALB,108.843537414966,0,0,4/105,2.47970499010254e-08,Platelet degranulation_Homo sapiens_R-HSA-114608
3,1.1448217096445124e-05,1799.9382031642458,Reactome_2016,FGB;FGA;FGG;ALB,103.8961038961039,0,0,4/110,2.992997933711144e-08,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
4,1.2334971514809399e-05,6633.762552949083,Reactome_2016,FGB;FGA;FGG,389.61038961038963,0,0,3/22,4.03103644274817e-08,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
5,1.950924565451288e-05,5201.868448822587,Reactome_2016,FGB;FGA;FGG,317.46031746031747,0,0,3/27,7.650684570397207e-08,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
6,4.435505203699284e-05,3569.976094547535,Reactome_2016,FGB;FGA;FGG,231.66023166023172,0,0,3/37,2.0293161062676464e-07,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
7,4.2131021947776936e-05,3457.5130145786798,Reactome_2016,FGB;FGA;FGG,225.5639097744361,0,0,3/38,2.202929252171343e-07,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
8,4.056456790683957e-05,3351.299784856169,Reactome_2016,FGB;FGA;FGG,219.7802197802198,0,0,3/39,2.386151053343504e-07,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
9,0.00012996439137013302,631.4483559100828,Reactome_2016,FGB;FGA;FGG;ALB,45.17221908526257,0,0,4/253,8.494404664714577e-07,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
10,0.00017324531993169638,1739.3513443789127,Reactome_2016,FGB;FGA;FGG,127.93176972281451,0,0,3/67,1.2455545877442223e-06,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
11,0.0023973568824467114,225.2899547015028,Reactome_2016,FGB;FGA;FGG;ALB,20.703933747412012,0,0,4/552,1.8802799078013425e-05,Hemostasis_Homo sapiens_R-HSA-109582
12,0.0063714936681440355,358.3220064078525,Reactome_2016,FGB;FGA;FGG,36.474164133738604,0,0,3/235,5.41368743044918e-05,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
13,0.0059163869775623185,358.3220064078525,Reactome_2016,FGB;FGA;FGG,36.474164133738604,0,0,3/235,5.41368743044918e-05,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
14,0.005521961179058164,358.3220064078525,Reactome_2016,FGB;FGA;FGG,36.474164133738604,0,0,3/235,5.41368743044918e-05,SOS-mediated signalling_Homo sapiens_R-HSA-112412
15,0.005176838605367029,358.3220064078525,Reactome_2016,FGB;FGA;FGG,36.474164133738604,0,0,3/235,5.41368743044918e-05,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
16,0.004872318687404263,358.3220064078525,Reactome_2016,FGB;FGA;FGG,36.474164133738604,0,0,3/235,5.41368743044918e-05,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
17,0.00466017924734781,356.3445262583014,Reactome_2016,FGB;FGA;FGG,36.31961259079903,0,0,3/236,5.482563820409188e-05,FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700
18,0.004414906655382136,356.3445262583014,Reactome_2016,FGB;FGA;FGG,36.31961259079903,0,0,3/236,5.482563820409188e-05,FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712
19,0.004194161322613029,356.3445262583014,Reactome_2016,FGB;FGA;FGG,36.31961259079903,0,0,3/236,5.482563820409188e-05,FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706
20,0.003994439354869551,356.3445262583014,Reactome_2016,FGB;FGA;FGG,36.31961259079903,0,0,3/236,5.482563820409188e-05,FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693
21,0.003958979229609174,350.52299886215536,Reactome_2016,FGB;FGA;FGG,35.86371787208607,0,0,3/239,5.692649872640642e-05,ARMS-mediated activation_Homo sapiens_R-HSA-170984
22,0.003786849697887036,350.52299886215536,Reactome_2016,FGB;FGA;FGG,35.86371787208607,0,0,3/239,5.692649872640642e-05,Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706
23,0.0036744469838133936,348.6186365097932,Reactome_2016,FGB;FGA;FGG,35.714285714285715,0,0,3/240,5.7638384059817944e-05,Frs2-mediated activation_Homo sapiens_R-HSA-170968
24,0.0035713937108243546,346.73194618984047,Reactome_2016,FGB;FGA;FGG,35.56609365737996,0,0,3/241,5.835610638601887e-05,MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996
25,0.003476612427514318,344.86269336591414,Reactome_2016,FGB;FGA;FGG,35.419126328217246,0,0,3/242,5.907968831070083e-05,Prolonged ERK activation events_Homo sapiens_R-HSA-169893
26,0.0033891853054941828,343.01064753852444,Reactome_2016,FGB;FGA;FGG,35.273368606701936,0,0,3/243,5.980915244989736e-05,Signaling by Leptin_Homo sapiens_R-HSA-2586552
27,0.0033488321828045557,339.35727464537104,Reactome_2016,FGB;FGA;FGG,34.98542274052478,0,0,3/245,6.128581772452781e-05,Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526
28,0.003272778893554964,337.55550609122355,Reactome_2016,FGB;FGA;FGG,34.84320557491289,0,0,3/246,6.203306399548623e-05,Signalling to RAS_Homo sapiens_R-HSA-167044
29,0.003240820323964123,334.00072906243594,Reactome_2016,FGB;FGA;FGG,34.56221198156682,0,0,3/248,6.354549654831614e-05,VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921
30,0.0032891422832406854,327.080417084272,Reactome_2016,FGB;FGA;FGG,34.013605442176875,0,0,3/252,6.664275214409229e-05,Interleukin-2 signaling_Homo sapiens_R-HSA-451927
31,0.0032241058182207872,325.3885966493855,Reactome_2016,FGB;FGA;FGG,33.87916431394692,0,0,3/253,6.7432278551023e-05,Signalling to ERKs_Homo sapiens_R-HSA-187687
32,0.003429566833095225,312.3755916724662,Reactome_2016,FGB;FGA;FGG,32.84072249589491,0,0,3/261,7.397104934126957e-05,"Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988"
33,0.003521794272942901,304.6868046954628,Reactome_2016,FGB;FGA;FGG,32.223415682062296,0,0,3/266,7.826209495428668e-05,NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165
34,0.003651384094397538,132.9838758324648,Reactome_2016,CRP;FGB;FGA;FGG,14.161798548415652,0,0,4/807,8.352839431628354e-05,Innate Immune System_Homo sapiens_R-HSA-168249
35,0.003997926268174535,280.81222295351284,Reactome_2016,FGB;FGA;FGG,30.28773346794549,0,0,3/283,9.40688533688126e-05,Extracellular matrix organization_Homo sapiens_R-HSA-1474244
36,0.003930808694691693,279.50750104470507,Reactome_2016,FGB;FGA;FGG,30.18108651911469,0,0,3/284,9.505877235528931e-05,IRS-mediated signalling_Homo sapiens_R-HSA-112399
37,0.00382736636062086,279.50750104470507,Reactome_2016,FGB;FGA;FGG,30.18108651911469,0,0,3/284,9.505877235528931e-05,MAPK family signaling cascades_Homo sapiens_R-HSA-5683057
38,0.00384734303468594,275.654570175503,Reactome_2016,FGB;FGA;FGG,29.86560477849677,0,0,3/287,9.80695283351318e-05,Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751
39,0.003790072135966183,274.3902912828874,Reactome_2016,FGB;FGA;FGG,29.76190476190476,0,0,3/288,9.908685322787403e-05,IGF1R signaling cascade_Homo sapiens_R-HSA-2428924
40,0.0036976313521621296,274.3902912828874,Reactome_2016,FGB;FGA;FGG,29.76190476190476,0,0,3/288,9.908685322787403e-05,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192
41,0.0036095925104439844,274.3902912828874,Reactome_2016,FGB;FGA;FGG,29.76190476190476,0,0,3/288,9.908685322787403e-05,IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928
42,0.003562092075841849,273.13584212545743,Reactome_2016,FGB;FGA;FGG,29.65892239248641,0,0,3/289,0.00010011108448444414,FCERI mediated MAPK activation_Homo sapiens_R-HSA-2871796
43,0.0043269686850409455,247.81960777235057,Reactome_2016,FGB;FGA;FGG,27.560863573725314,0,0,3/311,0.00012443570074627556,Signaling by Insulin receptor_Homo sapiens_R-HSA-74752
44,0.004603832286946833,238.58643056478488,Reactome_2016,FGB;FGA;FGG,26.785714285714285,0,0,3/320,0.0001354068319690245,VEGFA-VEGFR2 Pathway_Homo sapiens_R-HSA-4420097
45,0.004715291278473743,233.7053065244692,Reactome_2016,FGB;FGA;FGG,26.373626373626376,0,0,3/325,0.00014176692732666154,Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557
46,0.0047421962112890095,230.8570643086265,Reactome_2016,FGB;FGA;FGG,26.132404181184672,0,0,3/328,0.0001456753084513617,Signaling by VEGF_Homo sapiens_R-HSA-194138
47,0.0046854215684806345,229.92066143860905,Reactome_2016,FGB;FGA;FGG,26.052974381241857,0,0,3/329,0.00014699361783468654,Downstream signaling of activated FGFR2_Homo sapiens_R-HSA-5654696
48,0.0045898007201442955,229.92066143860905,Reactome_2016,FGB;FGA;FGG,26.052974381241857,0,0,3/329,0.00014699361783468654,Downstream signaling of activated FGFR4_Homo sapiens_R-HSA-5654716
49,0.00449800470574141,229.92066143860905,Reactome_2016,FGB;FGA;FGG,26.052974381241857,0,0,3/329,0.00014699361783468654,Downstream signaling of activated FGFR3_Homo sapiens_R-HSA-5654708
50,0.0044495916191250465,228.99065817299984,Reactome_2016,FGB;FGA;FGG,25.97402597402597,0,0,3/330,0.00014831972063750158,Signaling by ERBB4_Homo sapiens_R-HSA-1236394
