,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,8.584031016271871e-05,6071.289040279727,Reactome_2016,FGB;FGA;FGG,363.6363636363636,0,0,3/15,5.6104777884129884e-08,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,4.2920155081359364e-05,6071.289040279727,Reactome_2016,FGB;FGA;FGG,363.6363636363636,0,0,3/15,5.6104777884129884e-08,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,9.66439925604628e-05,3837.740637174302,Reactome_2016,FGB;FGA;FGG,247.93388429752065,0,0,3/22,1.894980246283584e-07,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
3,8.799592794624887e-05,1058.6977434570654,Reactome_2016,FGB;FGA;FGG;ALB,69.26406926406926,0,0,4/105,2.3005471358496442e-07,Platelet degranulation_Homo sapiens_R-HSA-114608
4,8.490051286347568e-05,998.1894562527492,Reactome_2016,FGB;FGA;FGG;ALB,66.11570247933885,0,0,4/110,2.7745265641658715e-07,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
5,9.164359278331345e-05,2997.750917353722,Reactome_2016,FGB;FGA;FGG,202.020202020202,0,0,3/27,3.593866383659351e-07,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
6,0.0002080425686608624,2043.9627578639029,Reactome_2016,FGB;FGA;FGG,147.42014742014743,0,0,3/37,9.518287455072136e-07,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
7,0.0001975813110393812,1978.4127028120072,Reactome_2016,FGB;FGA;FGG,143.54066985645932,0,0,3/38,1.0331048943235618e-06,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
8,0.00019020655475027867,1916.531242389875,Reactome_2016,FGB;FGA;FGG,139.86013986013987,0,0,3/39,1.1188620867663451e-06,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
9,0.0008898280812561768,981.4046297761943,Reactome_2016,FGB;FGA;FGG,81.4111261872456,0,0,3/67,5.815869812131874e-06,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
10,0.001070351600688002,338.4806561925792,Reactome_2016,FGB;FGA;FGG;ALB,28.745957599712533,0,0,4/253,7.695338305600015e-06,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
11,0.02069353760473873,114.96772312331314,Reactome_2016,FGB;FGA;FGG;ALB,13.175230566534914,0,0,4/552,0.000162302255723441,Hemostasis_Homo sapiens_R-HSA-109582
12,0.029008602889980275,192.84107926965484,Reactome_2016,FGB;FGA;FGG,23.21083172147001,0,0,3/235,0.00024647832520898274,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
13,0.02693655982641025,192.84107926965484,Reactome_2016,FGB;FGA;FGG,23.21083172147001,0,0,3/235,0.00024647832520898274,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
14,0.02514078917131624,192.84107926965484,Reactome_2016,FGB;FGA;FGG,23.21083172147001,0,0,3/235,0.00024647832520898274,SOS-mediated signalling_Homo sapiens_R-HSA-112412
15,0.02356948984810897,192.84107926965484,Reactome_2016,FGB;FGA;FGG,23.21083172147001,0,0,3/235,0.00024647832520898274,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
16,0.022183049268808448,192.84107926965484,Reactome_2016,FGB;FGA;FGG,23.21083172147001,0,0,3/235,0.00024647832520898274,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
17,0.021214014394410795,191.7352353433556,Reactome_2016,FGB;FGA;FGG,23.112480739599384,0,0,3/236,0.00024957663993424464,FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700
