RPL38	['RPL13A', 'RPL37A', 'RPL27A']
REG1A	['SYCN', 'PLA2G1B', 'CELA2A', 'CTRB2', 'CTRB1', 'CELA3B', 'CELA3A', 'CPB1', 'PNLIP', 'PRSS1', 'REG1B', 'CPA1', 'GP2', 'PNLIPRP1', 'CLPS']
PWP2	['C21orf33']
CKM	['MYL2', 'ACTA1', 'MYH2', 'TNNI1', 'MB', 'MYL1']
C1QB	['C1QA', 'C1QC']
KRT13	['KRT4', 'CRNN', 'SPRR3']
RPS3A	['RPL31', 'RPL32', 'RPL23', 'RPS29', 'RPL30', 'RPS21']
CALML5	['KRT2', 'CASP14']
PRM2	['PRM1']
RPS27	['RPS15A']
PGC	['LIPF']
TMEM160	['C4orf48']
S100A9	['S100A8']
HBD	['HBB', 'HBA1', 'HBA2']
FGA	['FGB']
RPL36A	['RPL26']
SFTPB	['SFTPA1']
ZFX	['KDM5C']
