GP2	['PNLIPRP1', 'CTRB1', 'PLA2G1B', 'CPB1', 'SPINK1', 'PNLIP', 'CTRC', 'CTRB2', 'CLPS', 'CELA3A', 'CELA2A', 'CPA1', 'REG1B', 'PRSS1', 'REG1A', 'SYCN', 'CELA3B']
HBA2	['ALAS2', 'HBD', 'HBB', 'HBA1']
CD74	['HLA.DRA']
KDM5C	['ZFX', 'DDX3X']
RPS15A	['RPL35A', 'RPS27']
RPS12	['RPL32', 'RPL26', 'RPL23', 'RPL11', 'RPL37A', 'RPL31', 'RPL30', 'RPL36A', 'RPL21', 'RPL13A', 'RPS21', 'RPS3A', 'RPS16', 'RPS29', 'RPL27A', 'RPL38']
TMEM160	['C4orf48', 'PRR7', 'CCDC85B', 'PCSK1N', 'ZNF771', 'TPGS1', 'PDXP']
MYH2	['MB', 'TNNT3', 'MYL1', 'MYL2', 'CKM', 'TNNI1', 'MYH1', 'ACTA1']
SFTPB	['SFTPA1']
FGA	['FGB', 'ORM1']
HSPA1A	['HSPA1B']
LIPF	['PGC']
PRM2	['PRM1']
COL4A2	['COL4A1']
OAS2	['IFI44L', 'IFI44', 'OAS1']
ACTA2	['MYH11', 'MYL9']
FCGR3B	['CXCR1']
C1QA	['C1QB', 'C1QC']
CASP14	['KRT2', 'CALML5', 'KRT1']
MOBP	['MBP']
FOS	['DUSP1']
C21orf33	['PWP2']
SPRR3	['KRT6A', 'CRNN', 'KRT13', 'KRT4']
S100A8	['S100A9']
GH1	['PRL']
